Frequency (GHz),Gain (dB)
2,8.79
2.1,8.91
2.2,9.06
2.3,9.21
2.4,9.36
2.5,9.51
2.6,9.66
2.7,9.83
2.8,9.98
2.9,10.14
3,10.32
3.1,10.39
3.2,10.49
3.3,10.59
3.4,10.69
3.5,10.79
3.6,10.88
3.7,10.98
3.8,11.08
3.9,11.19
4,11.3
4.1,11.44
4.2,11.63
4.3,11.81
4.4,11.99
4.5,12.16
4.6,12.34
4.7,12.53
4.8,12.72
4.9,12.91
5,13.1
5.1,13.15
5.2,13.21
5.3,13.25
5.4,13.31
5.5,13.37
5.6,13.42
5.7,13.48
5.8,13.53
5.9,13.59
6,13.66
6.1,13.74
6.2,13.85
6.3,13.95
6.4,14.06
6.5,14.16
6.6,14.27
6.7,14.37
6.8,14.48
6.9,14.59
7,14.7
7.1,14.73
7.2,14.77
7.3,14.8
7.4,14.83
7.5,14.87
7.6,14.91
7.7,14.95
7.8,14.98
7.9,15.02
8,15.05
8.1,15.13
8.2,15.2
8.3,15.27
8.4,15.35
8.5,15.42
8.6,15.5
8.7,15.57
8.8,15.64
8.9,15.74
9,15.79
9.1,15.81
9.2,15.81
9.3,15.81
9.4,15.81
9.5,15.81
9.6,15.81
9.7,15.81
9.8,15.81
9.9,15.82
10,15.86
10.1,15.89
10.2,15.91
10.3,15.96
10.4,16
10.5,16.04
10.6,16.09
10.7,16.13
10.8,16.17
10.9,16.2
11,16.23
11.1,16.27
11.2,16.28
11.3,16.29
11.4,16.3
11.5,16.3
11.6,16.31
11.7,16.34
11.8,16.35
11.9,16.36
12,16.38
12.1,16.42
12.2,16.45
12.3,16.49
12.4,16.53
12.5,16.57
12.6,16.61
12.7,16.65
12.8,16.7
12.9,16.74
13,16.78
13.1,16.93
13.2,17.06
13.3,17.2
13.4,17.34
13.5,17.48
13.6,17.63
13.7,17.78
13.8,17.91
13.9,18.06
14,18.22
14.1,18.34
14.2,18.47
14.3,18.61
14.4,18.74
14.5,18.88
14.6,19.01
14.7,19.15
14.8,19.29
14.9,19.43
15,19.57
15.1,19.68
15.2,19.8
15.3,19.92
15.4,20.04
15.5,20.17
15.6,20.29
15.7,20.4
15.8,20.53
15.9,20.66
16,20.76
16.1,20.7
16.2,20.64
16.3,20.59
16.4,20.52
16.5,20.47
16.6,20.41
16.7,20.35
16.8,20.28
16.9,20.22
17,20.18
17.1,19.96
17.2,19.74
17.3,19.54
17.4,19.33
17.5,19.13
17.6,18.93
17.7,18.73
17.8,18.53
17.9,18.33
18,18.16
