Frequency (GHz),Peak S21 (dB)
2,-13.71
2.1,-15.27
2.2,-16.45
2.3,-17.31
2.4,-16.81
2.5,-15.82
2.6,-16.53
2.7,-17.8
2.8,-17.6
2.9,-17.23
3,-16.24
3.1,-15.61
3.2,-17.52
3.3,-19.29
3.4,-18.66
3.5,-18.06
3.6,-17.47
3.7,-17.35
3.8,-17.93
3.9,-17.68
4,-16.67
4.1,-16.29
4.2,-16.29
4.3,-16.36
4.4,-16.47
4.5,-16.68
4.6,-16.93
4.7,-16.46
4.8,-15.94
4.9,-16
5,-16.13
5.1,-16.93
5.2,-17.51
5.3,-16.9
5.4,-16.69
5.5,-17.41
5.6,-17.91
5.7,-18.02
5.8,-17.86
5.9,-17.43
6,-17.45
6.1,-17.78
6.2,-18.28
6.3,-18.88
6.4,-18.76
6.5,-18.47
6.6,-18.98
6.7,-19.62
6.8,-18.8
6.9,-18.15
7,-18.41
7.1,-18.68
7.2,-18.97
7.3,-19.24
7.4,-19.42
7.5,-19.25
7.6,-18.57
7.7,-18.71
7.8,-19.7
7.9,-19.77
8,-19.2
8.1,-19.06
8.2,-19.09
8.3,-19.15
8.4,-19.21
8.5,-19.19
8.6,-19.15
8.7,-19.57
8.8,-19.97
8.9,-20.09
9,-20.28
9.1,-20.77
9.2,-21.13
9.3,-21.12
9.4,-21.16
9.5,-21.27
9.6,-21.4
9.7,-21.56
9.8,-22.09
9.9,-22.95
10,-22.77
10.1,-22.16
10.2,-22.28
10.3,-22.59
10.4,-22.58
10.5,-22.53
10.6,-22.76
10.7,-23.02
10.8,-23.4
10.9,-23.74
11,-23.89
11.1,-24.33
11.2,-25.59
11.3,-26.66
11.4,-27.25
11.5,-26.46
11.6,-24.6
11.7,-24.32
11.8,-24.94
11.9,-24.91
12,-24.6
12.1,-24.21
12.2,-23.81
12.3,-24.11
12.4,-24.5
12.5,-24.98
12.6,-25.45
12.7,-25.57
12.8,-25.97
12.9,-27.62
13,-28.93
13.1,-28.7
13.2,-28.43
13.3,-28.08
13.4,-27.64
13.5,-27.14
13.6,-27.11
13.7,-27.4
13.8,-27.73
13.9,-28.09
14,-28.14
14.1,-28.11
14.2,-28.15
14.3,-28.19
14.4,-31.19
14.5,-34.61
14.6,-30.14
14.7,-27.42
14.8,-26.06
14.9,-25.32
15,-25.68
15.1,-25.71
15.2,-25.27
15.3,-24.87
15.4,-24.52
15.5,-24.6
15.6,-24.96
15.7,-25.14
15.8,-25.24
15.9,-25.71
16,-26.31
16.1,-26.12
16.2,-25.86
16.3,-26.93
16.4,-27.95
16.5,-27.17
16.6,-26.72
16.7,-27.37
16.8,-28.12
16.9,-29.08
17,-29.73
17.1,-29.78
17.2,-30.29
17.3,-31.35
17.4,-31.8
17.5,-31.79
17.6,-32.21
17.7,-32.84
17.8,-33.34
17.9,-33.83
18,-33.6
