Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,90,2,-8.45,-30.24
-179,90,2.32,-8.036,-33.69
-179,90,2.64,-4.278,-32.99
-179,90,2.96,-2.608,-30.92
-179,90,3.28,-1.712,-31.73
-179,90,3.6,-5.63,-33.08
-179,90,3.92,-10.032,-37.58
-179,90,4.24,-11.296,-40.32
-179,90,4.56,-9.446,-39.26
-179,90,4.88,-8.47,-38.6
-179,90,5.2,-7,-38.42
-179,90,5.52,-10.558,-40.84
-179,90,5.84,-10.282,-41.73
-179,90,6.16,-10.66,-42.7
-179,90,6.48,-11.306,-45.39
-179,90,6.8,-13.29,-46.79
-179,90,7.12,-13.506,-48.1
-179,90,7.44,-11.376,-45.71
-179,90,7.76,-8.008,-43.23
-179,90,8.08,-10.816,-45.62
-179,90,8.4,-15.94,-51.32
-179,90,8.72,-12.208,-49.51
-179,90,9.04,-16.534,-54.32
-179,90,9.36,-15.454,-53.52
-179,90,9.68,-15.59,-54.48
-179,90,10,-12.17,-51.24
-179,90,10.32,-12.872,-52.5
-179,90,10.64,-17.168,-57.18
-179,90,10.96,-16.716,-56.7
-179,90,11.28,-19.686,-60.13
-179,90,11.6,-22.9,-63.77
-179,90,11.92,-18.224,-59.35
-179,90,12.24,-25.414,-67.67
-179,90,12.56,-16.44,-60.51
-179,90,12.88,-24.616,-69.82
-179,90,13.2,-26.12,-72.9
-179,90,13.52,-26.852,-72.86
-179,90,13.84,-22.658,-70.14
-179,90,14.16,-21.146,-69.37
-179,90,14.48,-29.834,-81.66
-179,90,14.8,-16.25,-64.26
-179,90,15.12,-22.9,-69.33
-179,90,15.44,-28.126,-74.44
-179,90,15.76,-26.808,-74
-179,90,16.08,-23.122,-70.58
-179,90,16.4,-27.59,-77.4
-179,90,16.72,-24.118,-73.6
-179,90,17.04,-33.606,-84.86
-179,90,17.36,-26.826,-79.47
-179,90,17.68,-43.792,-96.87
-179,90,18,-23.9,-76.71
-178,90,2,-8.45,-30.24
-178,90,2.32,-7.966,-33.62
-178,90,2.64,-4.548,-33.26
-178,90,2.96,-2.548,-30.86
-178,90,3.28,-1.812,-31.83
-178,90,3.6,-5.82,-33.27
-178,90,3.92,-10.002,-37.55
-178,90,4.24,-11.536,-40.56
-178,90,4.56,-9.546,-39.36
-178,90,4.88,-8.8,-38.93
-178,90,5.2,-7.54,-38.96
-178,90,5.52,-10.768,-41.05
-178,90,5.84,-9.862,-41.31
-178,90,6.16,-10.64,-42.68
-178,90,6.48,-11.246,-45.33
-178,90,6.8,-13.04,-46.54
-178,90,7.12,-14.056,-48.65
-178,90,7.44,-11.336,-45.67
-178,90,7.76,-8.328,-43.55
-178,90,8.08,-11.816,-46.62
-178,90,8.4,-14.04,-49.42
-178,90,8.72,-12.738,-50.04
-178,90,9.04,-16.564,-54.35
-178,90,9.36,-16.174,-54.24
-178,90,9.68,-15.25,-54.14
-178,90,10,-12.85,-51.92
-178,90,10.32,-15.072,-54.7
-178,90,10.64,-17.568,-57.58
-178,90,10.96,-15.566,-55.55
-178,90,11.28,-18.516,-58.96
-178,90,11.6,-23.38,-64.25
-178,90,11.92,-19.324,-60.45
-178,90,12.24,-21.634,-63.89
-178,90,12.56,-18.51,-62.58
-178,90,12.88,-29.306,-74.51
-178,90,13.2,-25.14,-71.92
-178,90,13.52,-28.532,-74.54
-178,90,13.84,-20.478,-67.96
-178,90,14.16,-21.956,-70.18
-178,90,14.48,-31.474,-83.3
-178,90,14.8,-21.34,-69.35
-178,90,15.12,-28.02,-74.45
-178,90,15.44,-29.936,-76.25
-178,90,15.76,-35.688,-82.88
-178,90,16.08,-27.202,-74.66
-178,90,16.4,-23.64,-73.45
-178,90,16.72,-22.958,-72.44
-178,90,17.04,-22.186,-73.44
-178,90,17.36,-23.876,-76.52
-178,90,17.68,-32.042,-85.12
-178,90,18,-16.93,-69.74
-177,90,2,-8.44,-30.23
-177,90,2.32,-7.986,-33.64
-177,90,2.64,-4.998,-33.71
-177,90,2.96,-2.368,-30.68
-177,90,3.28,-1.892,-31.91
-177,90,3.6,-6.16,-33.61
-177,90,3.92,-9.842,-37.39
-177,90,4.24,-11.466,-40.49
-177,90,4.56,-9.346,-39.16
-177,90,4.88,-9.5,-39.63
-177,90,5.2,-7.93,-39.35
-177,90,5.52,-10.618,-40.9
-177,90,5.84,-9.642,-41.09
-177,90,6.16,-10.73,-42.77
-177,90,6.48,-11.606,-45.69
-177,90,6.8,-13.18,-46.68
-177,90,7.12,-14.296,-48.89
-177,90,7.44,-11.796,-46.13
-177,90,7.76,-8.348,-43.57
-177,90,8.08,-12.486,-47.29
-177,90,8.4,-13.54,-48.92
-177,90,8.72,-12.808,-50.11
-177,90,9.04,-16.614,-54.4
-177,90,9.36,-15.484,-53.55
-177,90,9.68,-15.11,-54
-177,90,10,-14.03,-53.1
-177,90,10.32,-14.802,-54.43
-177,90,10.64,-16.438,-56.45
-177,90,10.96,-18.866,-58.85
-177,90,11.28,-16.146,-56.59
-177,90,11.6,-19.72,-60.59
-177,90,11.92,-17.304,-58.43
-177,90,12.24,-29.144,-71.4
-177,90,12.56,-15.26,-59.33
-177,90,12.88,-31.206,-76.41
-177,90,13.2,-37.7,-84.48
-177,90,13.52,-25.042,-71.05
-177,90,13.84,-16.388,-63.87
-177,90,14.16,-20.276,-68.5
-177,90,14.48,-25.734,-77.56
-177,90,14.8,-23.9,-71.91
-177,90,15.12,-20.01,-66.44
-177,90,15.44,-22.226,-68.54
-177,90,15.76,-22.368,-69.56
-177,90,16.08,-24.292,-71.75
-177,90,16.4,-19.02,-68.83
-177,90,16.72,-21.568,-71.05
-177,90,17.04,-25.476,-76.73
-177,90,17.36,-22.796,-75.44
-177,90,17.68,-29.892,-82.97
-177,90,18,-32.54,-85.35
-176,90,2,-8.54,-30.33
-176,90,2.32,-7.936,-33.59
-176,90,2.64,-5.548,-34.26
-176,90,2.96,-2.128,-30.44
-176,90,3.28,-2.282,-32.3
-176,90,3.6,-6.29,-33.74
-176,90,3.92,-9.912,-37.46
-176,90,4.24,-11.436,-40.46
-176,90,4.56,-9.116,-38.93
-176,90,4.88,-10.79,-40.92
-176,90,5.2,-8.12,-39.54
-176,90,5.52,-10.668,-40.95
-176,90,5.84,-9.572,-41.02
-176,90,6.16,-11.17,-43.21
-176,90,6.48,-11.976,-46.06
-176,90,6.8,-13.26,-46.76
-176,90,7.12,-14.856,-49.45
-176,90,7.44,-11.886,-46.22
-176,90,7.76,-8.528,-43.75
-176,90,8.08,-12.536,-47.34
-176,90,8.4,-13.44,-48.82
-176,90,8.72,-12.418,-49.72
-176,90,9.04,-16.104,-53.89
-176,90,9.36,-15.704,-53.77
-176,90,9.68,-15.41,-54.3
-176,90,10,-15.19,-54.26
-176,90,10.32,-14.132,-53.76
-176,90,10.64,-15.978,-55.99
-176,90,10.96,-18.466,-58.45
-176,90,11.28,-14.946,-55.39
-176,90,11.6,-20.04,-60.91
-176,90,11.92,-16.414,-57.54
-176,90,12.24,-23.934,-66.19
-176,90,12.56,-16.64,-60.71
-176,90,12.88,-24.376,-69.58
-176,90,13.2,-26.57,-73.35
-176,90,13.52,-26.602,-72.61
-176,90,13.84,-21.408,-68.89
-176,90,14.16,-21.656,-69.88
-176,90,14.48,-21.314,-73.14
-176,90,14.8,-20.97,-68.98
-176,90,15.12,-39.16,-85.59
-176,90,15.44,-29.636,-75.95
-176,90,15.76,-31.388,-78.58
-176,90,16.08,-25.812,-73.27
-176,90,16.4,-22.83,-72.64
-176,90,16.72,-21.188,-70.67
-176,90,17.04,-24.636,-75.89
-176,90,17.36,-18.506,-71.15
-176,90,17.68,-25.412,-78.49
-176,90,18,-20.03,-72.84
-175,90,2,-8.71,-30.5
-175,90,2.32,-7.756,-33.41
-175,90,2.64,-6.248,-34.96
-175,90,2.96,-1.758,-30.07
-175,90,3.28,-2.592,-32.61
-175,90,3.6,-6.58,-34.03
-175,90,3.92,-10.022,-37.57
-175,90,4.24,-11.566,-40.59
-175,90,4.56,-9.146,-38.96
-175,90,4.88,-12.15,-42.28
-175,90,5.2,-7.66,-39.08
-175,90,5.52,-10.458,-40.74
-175,90,5.84,-10.112,-41.56
-175,90,6.16,-10.91,-42.95
-175,90,6.48,-12.416,-46.5
-175,90,6.8,-13.52,-47.02
-175,90,7.12,-14.506,-49.1
-175,90,7.44,-12.296,-46.63
-175,90,7.76,-9.138,-44.36
-175,90,8.08,-12.516,-47.32
-175,90,8.4,-14.71,-50.09
-175,90,8.72,-12.728,-50.03
-175,90,9.04,-16.954,-54.74
-175,90,9.36,-16.274,-54.34
-175,90,9.68,-15.42,-54.31
-175,90,10,-14.4,-53.47
-175,90,10.32,-13.262,-52.89
-175,90,10.64,-15.388,-55.4
-175,90,10.96,-19.016,-59
-175,90,11.28,-17.566,-58.01
-175,90,11.6,-19.97,-60.84
-175,90,11.92,-17.484,-58.61
-175,90,12.24,-24.054,-66.31
-175,90,12.56,-17.87,-61.94
-175,90,12.88,-23.956,-69.16
-175,90,13.2,-24.44,-71.22
-175,90,13.52,-34.472,-80.48
-175,90,13.84,-24.228,-71.71
-175,90,14.16,-17.096,-65.32
-175,90,14.48,-29.464,-81.29
-175,90,14.8,-21.74,-69.75
-175,90,15.12,-32.75,-79.18
-175,90,15.44,-22.466,-68.78
-175,90,15.76,-27.088,-74.28
-175,90,16.08,-28.872,-76.33
-175,90,16.4,-17.16,-66.97
-175,90,16.72,-26.788,-76.27
-175,90,17.04,-24.946,-76.2
-175,90,17.36,-18.446,-71.09
-175,90,17.68,-38.552,-91.63
-175,90,18,-27.44,-80.25
