Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-179,2,-49.04,-70.83
0,-179,2.32,-52.246,-77.9
0,-179,2.64,-45.798,-74.51
0,-179,2.96,-44.508,-72.82
0,-179,3.28,-44.472,-74.49
0,-179,3.6,-48.64,-76.09
0,-179,3.92,-54.462,-82.01
0,-179,4.24,-46.726,-75.75
0,-179,4.56,-41.026,-70.84
0,-179,4.88,-43.85,-73.98
0,-179,5.2,-39.05,-70.47
0,-179,5.52,-52.758,-83.04
0,-179,5.84,-44.542,-75.99
0,-179,6.16,-49.41,-81.45
0,-179,6.48,-37.026,-71.11
0,-179,6.8,-37.52,-71.02
0,-179,7.12,-38.246,-72.84
0,-179,7.44,-37.516,-71.85
0,-179,7.76,-36.358,-71.58
0,-179,8.08,-34.996,-69.8
0,-179,8.4,-57.48,-92.86
0,-179,8.72,-40.898,-78.2
0,-179,9.04,-40.874,-78.66
0,-179,9.36,-44.364,-82.43
0,-179,9.68,-34.1,-72.99
0,-179,10,-44.33,-83.4
0,-179,10.32,-33.662,-73.29
0,-179,10.64,-29.078,-69.09
0,-179,10.96,-38.156,-78.14
0,-179,11.28,-35.816,-76.26
0,-179,11.6,-36.97,-77.84
0,-179,11.92,-37.734,-78.86
0,-179,12.24,-33.054,-75.31
0,-179,12.56,-32.22,-76.29
0,-179,12.88,-30.086,-75.29
0,-179,13.2,-29.22,-76
0,-179,13.52,-41.202,-87.21
0,-179,13.84,-35.178,-82.66
0,-179,14.16,-22.656,-70.88
0,-179,14.48,-20.204,-72.03
0,-179,14.8,-21.59,-69.6
0,-179,15.12,-20.73,-67.16
0,-179,15.44,-24.846,-71.16
0,-179,15.76,-24.358,-71.55
0,-179,16.08,-22.972,-70.43
0,-179,16.4,-29.1,-78.91
0,-179,16.72,-24.548,-74.03
0,-179,17.04,-27.486,-78.74
0,-179,17.36,-21.696,-74.34
0,-179,17.68,-17.452,-70.53
0,-179,18,-28.15,-80.96
0,-179,2,-2.42,-24.21
0,-179,2.32,-12.606,-38.26
0,-179,2.64,-20.198,-48.91
0,-179,2.96,-8.728,-37.04
0,-179,3.28,-1.132,-31.15
0,-179,3.6,-7.59,-35.04
0,-179,3.92,-8.282,-35.83
0,-179,4.24,-27.166,-56.19
0,-179,4.56,-9.906,-39.72
0,-179,4.88,-4.26,-34.39
0,-179,5.2,-3.81,-35.23
0,-179,5.52,-11.668,-41.95
0,-179,5.84,-12.132,-43.58
0,-179,6.16,-10.77,-42.81
0,-179,6.48,-24.556,-58.64
0,-179,6.8,-15.74,-49.24
0,-179,7.12,-10.126,-44.72
0,-179,7.44,-17.146,-51.48
0,-179,7.76,-3.508,-38.73
