Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,90,2,-9.72,-31.51
-179,90,2.32,-8.616,-34.27
-179,90,2.64,-9.178,-37.89
-179,90,2.96,-2.528,-30.84
-179,90,3.28,-6.422,-36.44
-179,90,3.6,-8.63,-36.08
-179,90,3.92,-13.602,-41.15
-179,90,4.24,-19.446,-48.47
-179,90,4.56,-14.006,-43.82
-179,90,4.88,-15.8,-45.93
-179,90,5.2,-9.2,-40.62
-179,90,5.52,-14.188,-44.47
-179,90,5.84,-13.512,-44.96
-179,90,6.16,-15.49,-47.53
-179,90,6.48,-19.696,-53.78
-179,90,6.8,-20.67,-54.17
-179,90,7.12,-22.106,-56.7
-179,90,7.44,-20.816,-55.15
-179,90,7.76,-21.708,-56.93
-179,90,8.08,-21.506,-56.31
-179,90,8.4,-27.4,-62.78
-179,90,8.72,-26.578,-63.88
-179,90,9.04,-22.894,-60.68
-179,90,9.36,-22.024,-60.09
-179,90,9.68,-27.49,-66.38
-179,90,10,-20.82,-59.89
-179,90,10.32,-25.222,-64.85
-179,90,10.64,-22.008,-62.02
-179,90,10.96,-28.476,-68.46
-179,90,11.28,-30.206,-70.65
-179,90,11.6,-32.03,-72.9
-179,90,11.92,-27.464,-68.59
-179,90,12.24,-23.684,-65.94
-179,90,12.56,-21.52,-65.59
-179,90,12.88,-25.416,-70.62
-179,90,13.2,-21.34,-68.12
-179,90,13.52,-23.322,-69.33
-179,90,13.84,-21.918,-69.4
-179,90,14.16,-15.036,-63.26
-179,90,14.48,-25.464,-77.29
-179,90,14.8,-25.46,-73.47
-179,90,15.12,-24.29,-70.72
-179,90,15.44,-23.056,-69.37
-179,90,15.76,-18.928,-66.12
-179,90,16.08,-20.292,-67.75
-179,90,16.4,-18.99,-68.8
-179,90,16.72,-19.638,-69.12
-179,90,17.04,-29.666,-80.92
-179,90,17.36,-16.126,-68.77
-179,90,17.68,-25.882,-78.96
-179,90,18,-25.87,-78.68
-178,90,2,-9.51,-31.3
-178,90,2.32,-8.726,-34.38
-178,90,2.64,-9.278,-37.99
-178,90,2.96,-2.638,-30.95
-178,90,3.28,-6.25200000000001,-36.27
-178,90,3.6,-8.85,-36.3
-178,90,3.92,-13.542,-41.09
-178,90,4.24,-18.526,-47.55
-178,90,4.56,-13.246,-43.06
-178,90,4.88,-15.78,-45.91
-178,90,5.2,-9.82,-41.24
-178,90,5.52,-13.528,-43.81
-178,90,5.84,-14.462,-45.91
-178,90,6.16,-15.95,-47.99
-178,90,6.48,-21.376,-55.46
-178,90,6.8,-20.68,-54.18
-178,90,7.12,-24.206,-58.8
-178,90,7.44,-20.626,-54.96
-178,90,7.76,-18.088,-53.31
-178,90,8.08,-20.966,-55.77
-178,90,8.4,-25.89,-61.27
-178,90,8.72,-24.338,-61.64
-178,90,9.04,-25.054,-62.84
-178,90,9.36,-23.454,-61.52
-178,90,9.68,-28.34,-67.23
-178,90,10,-20.32,-59.39
-178,90,10.32,-25.822,-65.45
-178,90,10.64,-22.688,-62.7
-178,90,10.96,-25.366,-65.35
-178,90,11.28,-30.946,-71.39
-178,90,11.6,-28.05,-68.92
-178,90,11.92,-33.934,-75.06
-178,90,12.24,-19.844,-62.1
-178,90,12.56,-27.96,-72.03
-178,90,12.88,-25.766,-70.97
-178,90,13.2,-19.53,-66.31
-178,90,13.52,-24.322,-70.33
-178,90,13.84,-24.318,-71.8
-178,90,14.16,-21.206,-69.43
-178,90,14.48,-23.934,-75.76
-178,90,14.8,-19.84,-67.85
-178,90,15.12,-24.38,-70.81
-178,90,15.44,-24.646,-70.96
-178,90,15.76,-23.088,-70.28
-178,90,16.08,-21.992,-69.45
-178,90,16.4,-22.65,-72.46
-178,90,16.72,-20.388,-69.87
-178,90,17.04,-39.236,-90.49
-178,90,17.36,-24.576,-77.22
-178,90,17.68,-22.822,-75.9
-178,90,18,-17.41,-70.22
-177,90,2,-9.27,-31.06
-177,90,2.32,-8.826,-34.48
-177,90,2.64,-9.438,-38.15
-177,90,2.96,-3.048,-31.36
-177,90,3.28,-6.582,-36.6
-177,90,3.6,-9.07,-36.52
-177,90,3.92,-13.662,-41.21
-177,90,4.24,-18.036,-47.06
-177,90,4.56,-11.986,-41.8
-177,90,4.88,-15.01,-45.14
-177,90,5.2,-11.11,-42.53
-177,90,5.52,-13.138,-43.42
-177,90,5.84,-15.832,-47.28
-177,90,6.16,-16.55,-48.59
-177,90,6.48,-22.296,-56.38
-177,90,6.8,-21.07,-54.57
-177,90,7.12,-28.476,-63.07
-177,90,7.44,-17.476,-51.81
-177,90,7.76,-16.478,-51.7
-177,90,8.08,-18.506,-53.31
-177,90,8.4,-23.37,-58.75
-177,90,8.72,-21.718,-59.02
-177,90,9.04,-26.954,-64.74
-177,90,9.36,-22.734,-60.8
-177,90,9.68,-25.99,-64.88
-177,90,10,-20.1,-59.17
-177,90,10.32,-24.472,-64.1
-177,90,10.64,-20.818,-60.83
-177,90,10.96,-23.596,-63.58
-177,90,11.28,-30.816,-71.26
-177,90,11.6,-26.3,-67.17
-177,90,11.92,-32.464,-73.59
-177,90,12.24,-20.554,-62.81
-177,90,12.56,-25.24,-69.31
-177,90,12.88,-26.606,-71.81
-177,90,13.2,-22.99,-69.77
-177,90,13.52,-23.122,-69.13
-177,90,13.84,-21.798,-69.28
-177,90,14.16,-22.086,-70.31
-177,90,14.48,-21.974,-73.8
-177,90,14.8,-23.45,-71.46
-177,90,15.12,-25.31,-71.74
-177,90,15.44,-28.136,-74.45
-177,90,15.76,-24.898,-72.09
-177,90,16.08,-25.602,-73.06
-177,90,16.4,-18.8,-68.61
-177,90,16.72,-22.648,-72.13
-177,90,17.04,-17.856,-69.11
-177,90,17.36,-20.246,-72.89
-177,90,17.68,-41.752,-94.83
-177,90,18,-30.69,-83.5
-176,90,2,-9.33,-31.12
-176,90,2.32,-9.006,-34.66
-176,90,2.64,-9.658,-38.37
-176,90,2.96,-3.578,-31.89
-176,90,3.28,-6.82200000000001,-36.84
-176,90,3.6,-9.22,-36.67
-176,90,3.92,-13.762,-41.31
-176,90,4.24,-17.106,-46.13
-176,90,4.56,-10.796,-40.61
-176,90,4.88,-14.25,-44.38
-176,90,5.2,-12.21,-43.63
-176,90,5.52,-12.768,-43.05
-176,90,5.84,-17.802,-49.25
-176,90,6.16,-17.04,-49.08
-176,90,6.48,-22.326,-56.41
-176,90,6.8,-19.2,-52.7
-176,90,7.12,-25.286,-59.88
-176,90,7.44,-16.946,-51.28
-176,90,7.76,-15.978,-51.2
-176,90,8.08,-16.086,-50.89
-176,90,8.4,-20.67,-56.05
-176,90,8.72,-22.728,-60.03
-176,90,9.04,-23.634,-61.42
-176,90,9.36,-24.144,-62.21
-176,90,9.68,-24.13,-63.02
-176,90,10,-19.57,-58.64
-176,90,10.32,-22.532,-62.16
-176,90,10.64,-20.698,-60.71
-176,90,10.96,-24.186,-64.17
-176,90,11.28,-24.676,-65.12
-176,90,11.6,-29.7,-70.57
-176,90,11.92,-28.244,-69.37
-176,90,12.24,-19.614,-61.87
-176,90,12.56,-26.77,-70.84
-176,90,12.88,-24.376,-69.58
-176,90,13.2,-24.46,-71.24
-176,90,13.52,-24.962,-70.97
-176,90,13.84,-21.678,-69.16
-176,90,14.16,-16.486,-64.71
-176,90,14.48,-21.594,-73.42
-176,90,14.8,-24.14,-72.15
-176,90,15.12,-27.96,-74.39
-176,90,15.44,-30.506,-76.82
-176,90,15.76,-22.728,-69.92
-176,90,16.08,-21.442,-68.9
-176,90,16.4,-23.22,-73.03
-176,90,16.72,-38.878,-88.36
-176,90,17.04,-26.766,-78.02
-176,90,17.36,-27.366,-80.01
-176,90,17.68,-24.532,-77.61
-176,90,18,-29.43,-82.24
-175,90,2,-9.32,-31.11
-175,90,2.32,-9.236,-34.89
-175,90,2.64,-10.018,-38.73
-175,90,2.96,-4.308,-32.62
-175,90,3.28,-7.152,-37.17
-175,90,3.6,-9.55,-37
-175,90,3.92,-13.992,-41.54
-175,90,4.24,-17.006,-46.03
-175,90,4.56,-9.756,-39.57
-175,90,4.88,-13.71,-43.84
-175,90,5.2,-13.85,-45.27
-175,90,5.52,-13.018,-43.3
-175,90,5.84,-18.432,-49.88
-175,90,6.16,-17.19,-49.23
-175,90,6.48,-21.546,-55.63
-175,90,6.8,-18.62,-52.12
-175,90,7.12,-24.016,-58.61
-175,90,7.44,-16.766,-51.1
-175,90,7.76,-16.258,-51.48
-175,90,8.08,-16.326,-51.13
-175,90,8.4,-23.83,-59.21
-175,90,8.72,-19.168,-56.47
-175,90,9.04,-20.034,-57.82
-175,90,9.36,-20.364,-58.43
-175,90,9.68,-23.55,-62.44
-175,90,10,-23.37,-62.44
-175,90,10.32,-20.202,-59.83
-175,90,10.64,-22.098,-62.11
-175,90,10.96,-29.156,-69.14
-175,90,11.28,-22.826,-63.27
-175,90,11.6,-24.7,-65.57
-175,90,11.92,-24.004,-65.13
-175,90,12.24,-15.854,-58.11
-175,90,12.56,-23.09,-67.16
-175,90,12.88,-29.716,-74.92
-175,90,13.2,-25.65,-72.43
-175,90,13.52,-21.892,-67.9
-175,90,13.84,-18.518,-66
-175,90,14.16,-41.576,-89.8
-175,90,14.48,-21.704,-73.53
-175,90,14.8,-23.77,-71.78
-175,90,15.12,-25.96,-72.39
-175,90,15.44,-25.696,-72.01
-175,90,15.76,-24.128,-71.32
-175,90,16.08,-27.682,-75.14
-175,90,16.4,-19.05,-68.86
-175,90,16.72,-25.718,-75.2
-175,90,17.04,-33.876,-85.13
-175,90,17.36,-21.676,-74.32
-175,90,17.68,-19.252,-72.33
-175,90,18,-37.24,-90.05
-174,90,2,-9.4,-31.19
-174,90,2.32,-9.386,-35.04
-174,90,2.64,-10.428,-39.14
-174,90,2.96,-5.008,-33.32
-174,90,3.28,-7.512,-37.53
-174,90,3.6,-9.88,-37.33
-174,90,3.92,-14.102,-41.65
-174,90,4.24,-16.706,-45.73
-174,90,4.56,-9.396,-39.21
-174,90,4.88,-13.68,-43.81
-174,90,5.2,-14.44,-45.86
-174,90,5.52,-13.938,-44.22
-174,90,5.84,-19.142,-50.59
-174,90,6.16,-16.49,-48.53
-174,90,6.48,-19.556,-53.64
-174,90,6.8,-18.51,-52.01
-174,90,7.12,-21.596,-56.19
-174,90,7.44,-17.486,-51.82
-174,90,7.76,-16.408,-51.63
-174,90,8.08,-17.636,-52.44
-174,90,8.4,-25.23,-60.61
-174,90,8.72,-17.148,-54.45
-174,90,9.04,-17.994,-55.78
-174,90,9.36,-18.794,-56.86
-174,90,9.68,-19.77,-58.66
-174,90,10,-22.16,-61.23
-174,90,10.32,-19.102,-58.73
-174,90,10.64,-22.748,-62.76
-174,90,10.96,-25.316,-65.3
-174,90,11.28,-22.496,-62.94
-174,90,11.6,-21.77,-62.64
-174,90,11.92,-22.754,-63.88
-174,90,12.24,-20.254,-62.51
-174,90,12.56,-21.86,-65.93
-174,90,12.88,-25.736,-70.94
-174,90,13.2,-23.36,-70.14
-174,90,13.52,-21.512,-67.52
-174,90,13.84,-23.218,-70.7
-174,90,14.16,-22.366,-70.59
-174,90,14.48,-21.834,-73.66
-174,90,14.8,-24.23,-72.24
-174,90,15.12,-25.37,-71.8
-174,90,15.44,-32.396,-78.71
-174,90,15.76,-35.168,-82.36
-174,90,16.08,-25.642,-73.1
-174,90,16.4,-18.43,-68.24
-174,90,16.72,-27.038,-76.52
-174,90,17.04,-27.606,-78.86
-174,90,17.36,-35.336,-87.98
-174,90,17.68,-24.032,-77.11
-174,90,18,-18.86,-71.67
-173,90,2,-9.59,-31.38
-173,90,2.32,-9.706,-35.36
-173,90,2.64,-11.048,-39.76
-173,90,2.96,-5.568,-33.88
-173,90,3.28,-7.712,-37.73
-173,90,3.6,-10.2,-37.65
-173,90,3.92,-13.952,-41.5
-173,90,4.24,-16.896,-45.92
-173,90,4.56,-9.406,-39.22
-173,90,4.88,-14.37,-44.5
-173,90,5.2,-14.06,-45.48
-173,90,5.52,-14.778,-45.06
-173,90,5.84,-17.742,-49.19
-173,90,6.16,-16.1,-48.14
-173,90,6.48,-18.096,-52.18
-173,90,6.8,-18.56,-52.06
-173,90,7.12,-21.406,-56
-173,90,7.44,-17.526,-51.86
-173,90,7.76,-16.908,-52.13
