Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-179,2,-2.7,-24.49
0,-179,2.32,-14.446,-40.1
0,-179,2.64,-9.818,-38.53
0,-179,2.96,-2.558,-30.87
0,-179,3.28,-21.482,-51.5
0,-179,3.6,-5.95,-33.4
0,-179,3.92,-9.482,-37.03
0,-179,4.24,-3.52599999999999,-32.55
0,-179,4.56,-4.116,-33.93
0,-179,4.88,-5.91999999999999,-36.05
0,-179,5.2,-2.12,-33.54
0,-179,5.52,-7.278,-37.56
0,-179,5.84,-6.162,-37.61
0,-179,6.16,-11.68,-43.72
0,-179,6.48,-16.346,-50.43
0,-179,6.8,-16.09,-49.59
0,-179,7.12,-12.776,-47.37
0,-179,7.44,-21.546,-55.88
0,-179,7.76,-8.168,-43.39
0,-179,8.08,-9.196,-44
0,-179,8.4,-10,-45.38
0,-179,8.72,-3.488,-40.79
0,-179,9.04,-12.094,-49.88
0,-179,9.36,-5.684,-43.75
0,-179,9.68,-10.98,-49.87
0,-179,10,-7.62,-46.69
0,-179,10.32,-14.522,-54.15
0,-179,10.64,-11.688,-51.7
0,-179,10.96,-12.076,-52.06
0,-179,11.28,-14.896,-55.34
0,-179,11.6,-0.890000000000001,-41.76
0,-179,11.92,-2.024,-43.15
0,-179,12.24,-1.624,-43.88
0,-179,12.56,-3.21999999999999,-47.29
0,-179,12.88,-19.616,-64.82
0,-179,13.2,-1.98,-48.76
0,-179,13.52,-0.0919999999999987,-46.1
0,-179,13.84,-2.558,-50.04
0,-179,14.16,-7.39599999999999,-55.62
0,-179,14.48,-1.88399999999999,-53.71
0,-179,14.8,-4.86,-52.87
0,-179,15.12,-10.71,-57.14
0,-179,15.44,-21.526,-67.84
0,-179,15.76,-10.628,-57.82
0,-179,16.08,-8.122,-55.58
0,-179,16.4,-9.69,-59.5
0,-179,16.72,-13.678,-63.16
0,-179,17.04,-9.38600000000001,-60.64
0,-179,17.36,-20.406,-73.05
0,-179,17.68,-20.492,-73.57
0,-179,18,-14.83,-67.64
0,-178,2,-3.16,-24.95
0,-178,2.32,-12.896,-38.55
0,-178,2.64,-10.788,-39.5
0,-178,2.96,-2.588,-30.9
0,-178,3.28,-19.642,-49.66
0,-178,3.6,-6.03,-33.48
0,-178,3.92,-9.462,-37.01
0,-178,4.24,-2.76599999999999,-31.79
0,-178,4.56,-6.166,-35.98
0,-178,4.88,-6.68,-36.81
0,-178,5.2,-2.07,-33.49
0,-178,5.52,-8.938,-39.22
0,-178,5.84,-4.072,-35.52
0,-178,6.16,-12.91,-44.95
0,-178,6.48,-14.246,-48.33
0,-178,6.8,-17.99,-51.49
0,-178,7.12,-10.596,-45.19
0,-178,7.44,-12.576,-46.91
0,-178,7.76,-12.628,-47.85
0,-178,8.08,-10.146,-44.95
0,-178,8.4,-8.83,-44.21
0,-178,8.72,-3.098,-40.4
0,-178,9.04,-12.654,-50.44
0,-178,9.36,-5.724,-43.79
0,-178,9.68,-9.54,-48.43
0,-178,10,-10.42,-49.49
0,-178,10.32,-20.572,-60.2
