# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-55.0,-15.0],"do_not_modify_vna":false},"created_local":"2026-04-15 14:29:37","created_utc":"2026-04-15T18:29:37.172108Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
0.0,90.0,2.0,-14.38,73.98593747546772
0.0,90.0,2.32,-16.44,88.26115730110477
0.0,90.0,2.64,-18.28,159.6235619245862
0.0,90.0,2.96,-17.23,-141.79476588342678
0.0,90.0,3.28,-19.57,-70.33501849783077
0.0,90.0,3.6,-18.06,6.897514230873633
0.0,90.0,3.92,-17.7,107.65681278540669
0.0,90.0,4.24,-18.45,-169.3953350712147
0.0,90.0,4.56,-16.93,-91.2893259985732
0.0,90.0,4.88,-16.31,1.3103993151281936
0.0,90.0,5.2,-18.06,78.42346752153955
0.0,90.0,5.52,-18.03,175.12405993791683
0.0,90.0,5.84,-19.18,-86.20597131574986
0.0,90.0,6.16,-19.46,1.256633298881468
0.0,90.0,6.48,-21.44,104.74094994639852
0.0,90.0,6.8,-20.03,-157.5297051839167
0.0,90.0,7.12,-20.78,-66.90324908885655
0.0,90.0,7.44,-20.57,22.749158220222576
0.0,90.0,7.76,-21.49,108.36388163363787
0.0,90.0,8.08,-20.48,-153.69626180347606
0.0,90.0,8.4,-21.24,-67.92388084154517
0.0,90.0,8.72,-22.88,26.37066246897268
0.0,90.0,9.04,-22.95,117.42148016573793
0.0,90.0,9.36,-23.81,-149.35006578880763
0.0,90.0,9.68,-25.66,-54.81868072672664
0.0,90.0,10.0,-25.0,35.061310739672614
0.0,90.0,10.32,-25.23,118.1513666710314
0.0,90.0,10.64,-25.8,-151.34026886571175
0.0,90.0,10.96,-25.28,-64.41223238876582
0.0,90.0,11.28,-25.66,9.991388184106185
0.0,90.0,11.6,-26.92,97.99168279752718
0.0,90.0,11.92,-26.98,-178.93881256859666
0.0,90.0,12.24,-28.12,-101.98144735994875
0.0,90.0,12.56,-29.35,-22.722798707074812
0.0,90.0,12.88,-34.4,56.584200995974584
0.0,90.0,13.2,-32.16,160.6892453368634
