# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-04-15 14:16:48","created_utc":"2026-04-15T18:16:48.767410Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
0.0,0.0,2.0,-69.27,14.345412779788953
0.0,0.0,2.32,-72.07,-99.59431418225532
0.0,0.0,2.64,-75.67,160.2418549042145
0.0,0.0,2.96,-74.94,-165.82291089118715
0.0,0.0,3.28,-76.05,-151.54852224689057
0.0,0.0,3.6,-70.74,176.77706771844962
0.0,0.0,3.92,-76.02,112.18108329340014
0.0,0.0,4.24,-77.72,-115.9103505639932
0.0,0.0,4.56,-78.95,30.785988339689258
0.0,0.0,4.88,-81.64,-151.78244093785193
0.0,0.0,5.2,-78.5,-129.18376119187414
0.0,0.0,5.52,-80.08,86.86564558816879
0.0,0.0,5.84,-74.01,172.14393196026555
0.0,0.0,6.16,-74.02,-67.5718633548201
0.0,0.0,6.48,-72.04,139.365715148563
0.0,0.0,6.8,-67.68,160.9548444790184
0.0,0.0,7.12,-77.6,137.44104990005013
0.0,0.0,7.44,-72.74,163.9975506666423
0.0,0.0,7.76,-76.9,-106.35526942932141
0.0,0.0,8.08,-74.03,167.3412073429847
0.0,0.0,8.4,-71.77,120.02080906794669
0.0,0.0,8.72,-75.05,128.60807710439542
0.0,0.0,9.04,-78.83,-67.04191521770325
0.0,0.0,9.36,-83.35,-57.73507481899322
0.0,0.0,9.68,-73.34,150.88168527873464
0.0,0.0,10.0,-78.47,-91.30717338431647
0.0,0.0,10.32,-92.69,-179.30187948837124
0.0,0.0,10.64,-88.31,164.3076885904435
0.0,0.0,10.96,-78.77,145.65000121032554
0.0,0.0,11.28,-76.56,154.50808759479565
0.0,0.0,11.6,-77.74,-139.38266834377654
0.0,0.0,11.92,-73.06,158.56806944856436
0.0,0.0,12.24,-73.24,-165.5760425739397
0.0,0.0,12.56,-85.29,99.66970438484387
0.0,0.0,12.88,-83.17,174.28801407622655
0.0,0.0,13.2,-78.32,-110.7033549148003
0.0,0.0,13.52,-71.76,35.72963824899097
0.0,0.0,13.84,-75.19,-150.04662327634784
0.0,0.0,14.16,-70.46,94.71487209349979
0.0,0.0,14.48,-72.04,110.31734293273753
0.0,0.0,14.8,-68.84,169.89173089784816
0.0,0.0,15.12,-77.24,-46.906705835405035
0.0,0.0,15.44,-69.31,179.66970815032465
0.0,0.0,15.76,-67.9,15.487492689569738
0.0,0.0,16.08,-72.29,123.46771641007261
0.0,0.0,16.4,-84.12,28.154065965191702
0.0,0.0,16.72,-73.33,121.66272548366014
0.0,0.0,17.04,-74.54,-28.86560950383663
0.0,0.0,17.36,-76.03,-130.27900685101864
0.0,0.0,17.68,-72.57,93.39464651375668
0.0,0.0,18.0,-72.26,127.04578398673677
0.0,1.0,2.0,-71.01,36.71513674144212
0.0,1.0,2.32,-82.53,-179.92160616422905
0.0,1.0,2.64,-76.75,-169.3330439250203
0.0,1.0,2.96,-70.69,106.05740779698239
0.0,1.0,3.28,-77.92,136.88901319964742
0.0,1.0,3.6,-72.73,-150.5913641160601
0.0,1.0,3.92,-71.84,143.6343599629863
0.0,1.0,4.24,-73.72,-71.9076357659479
0.0,1.0,4.56,-81.64,101.79007176602403
0.0,1.0,4.88,-72.1,71.34035939967231
0.0,1.0,5.2,-69.44,178.86240018178557
0.0,1.0,5.52,-74.94,120.47416365681906
0.0,1.0,5.84,-81.43,-101.3901837918326
0.0,1.0,6.16,-80.29,-54.91546893544504
0.0,1.0,6.48,-72.57,-178.58716465966842
0.0,1.0,6.8,-72.66,146.82556641763003
0.0,1.0,7.12,-90.31,70.75091279781745
0.0,1.0,7.44,-77.58,96.92024448556623
0.0,1.0,7.76,-74.43,-71.55284763386001
0.0,1.0,8.08,-76.21,153.83360495765092
0.0,1.0,8.4,-78.98,170.24096769186062
0.0,1.0,8.72,-71.98,124.43067710709319
0.0,1.0,9.04,-77.08,-152.21510489078875
0.0,1.0,9.36,-70.12,13.36902415252696
0.0,1.0,9.68,-73.93,-170.71225755903276
0.0,1.0,10.0,-82.43,-14.683603807249389
0.0,1.0,10.32,-72.91,104.12399186474376
0.0,1.0,10.64,-78.44,112.08969709261227
0.0,1.0,10.96,-73.17,51.29208731321315
0.0,1.0,11.28,-73.32,58.59342868331529
0.0,1.0,11.6,-72.57,72.94021225721944
0.0,1.0,11.92,-84.89,122.67676278469732
0.0,1.0,12.24,-83.02,91.13851959325916
0.0,1.0,12.56,-73.79,106.29663073709429
0.0,1.0,12.88,-76.59,164.81488556969117
0.0,1.0,13.2,-79.32,-166.21237064718827
0.0,1.0,13.52,-83.74,67.17312985710564
0.0,1.0,13.84,-73.41,-114.84839778880888
0.0,1.0,14.16,-75.05,65.43466242245114
0.0,1.0,14.48,-74.72,83.97598594858067
0.0,1.0,14.8,-65.55,-167.0782968187023
0.0,1.0,15.12,-69.75,48.72705467154943
0.0,1.0,15.44,-65.8,-164.08885051028997
0.0,1.0,15.76,-66.98,40.029866731746274
0.0,1.0,16.08,-67.19,133.37610562887158
0.0,1.0,16.4,-79.37,131.7730587390774
0.0,1.0,16.72,-74.49,118.96864045746851
0.0,1.0,17.04,-76.8,63.57703979215176
0.0,1.0,17.36,-74.46,-43.42682556986812
0.0,1.0,17.68,-80.55,33.357098326646955
0.0,1.0,18.0,-83.91,105.08380958375997
0.0,2.0,2.0,-68.56,47.987885855821794
0.0,2.0,2.32,-92.77,105.74260728051841
0.0,2.0,2.64,-73.78,-166.11497972646123
0.0,2.0,2.96,-76.41,105.02267600684594
0.0,2.0,3.28,-77.4,-165.3851209330769
0.0,2.0,3.6,-74.47,146.39724579264674
0.0,2.0,3.92,-79.67,127.46907778953175
