# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-55.0,-10.0],"do_not_modify_vna":false},"created_local":"2026-04-15 14:00:05","created_utc":"2026-04-15T18:00:05.228117Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
0.0,90.0,2.0,-14.23,82.5806395863021
0.0,90.0,2.32,-16.28,158.04796359700302
0.0,90.0,2.64,-17.5,-76.81962603880406
0.0,90.0,2.96,-15.93,43.60287515007617
0.0,90.0,3.28,-19.18,176.92730086164113
0.0,90.0,3.6,-17.16,-47.40316606680932
0.0,90.0,3.92,-17.01,113.71979120858566
0.0,90.0,4.24,-17.74,-101.50253345123437
0.0,90.0,4.56,-16.41,31.671459545678616
0.0,90.0,4.88,-15.83,-177.8476857734579
0.0,90.0,5.2,-17.68,-39.223513909891274
0.0,90.0,5.52,-17.86,114.85725706483052
0.0,90.0,5.84,-18.75,-87.50976231940872
0.0,90.0,6.16,-18.91,60.457966377654245
0.0,90.0,6.48,-20.75,-137.0101819581729
0.0,90.0,6.8,-19.7,20.380130431776827
0.0,90.0,7.12,-20.67,170.16474901734205
0.0,90.0,7.44,-20.25,-41.9502807884478
0.0,90.0,7.76,-21.11,103.34269363549053
0.0,90.0,8.08,-20.46,-99.92461495530308
0.0,90.0,8.4,-20.84,43.881490854432755
0.0,90.0,8.72,-22.31,-161.12726755338068
0.0,90.0,9.04,-22.45,-8.490482599958469
0.0,90.0,9.36,-22.91,140.46850856023826
0.0,90.0,9.68,-24.94,-67.24733086241
0.0,90.0,10.0,-24.64,82.60914015153887
0.0,90.0,10.32,-24.94,-135.3899689961441
0.0,90.0,10.64,-25.58,13.959149307553318
0.0,90.0,10.96,-24.9,161.07715155483413
0.0,90.0,11.28,-25.37,-64.53114412529409
0.0,90.0,11.6,-26.48,83.54048448526436
0.0,90.0,11.92,-26.53,-133.85401186686292
0.0,90.0,12.24,-27.61,1.2287392967595163
0.0,90.0,12.56,-29.12,138.64341939610674
0.0,90.0,12.88,-34.0,-71.72702942608916
0.0,90.0,13.2,-31.71,78.42262979971686
0.0,90.0,13.52,-32.14,-149.55134224360472
0.0,90.0,13.84,-32.14,-5.563487112133922
0.0,90.0,14.16,-30.23,116.49247282248514
0.0,90.0,14.48,-32.45,105.4402808765747
0.0,90.0,14.8,-27.41,59.79218023109169
0.0,90.0,15.12,-26.45,158.38028097127795
0.0,90.0,15.44,-26.66,-87.84360317395817
0.0,90.0,15.76,-27.18,22.74477817098186
0.0,90.0,16.08,-26.78,135.45011111408144
0.0,90.0,16.4,-29.53,-115.14366118660028
0.0,90.0,16.72,-30.03,-27.591740901985684
0.0,90.0,17.04,-32.36,71.75831916851459
0.0,90.0,17.36,-37.12,171.96704835733448
0.0,90.0,17.68,-41.65,-67.79730306052504
0.0,90.0,18.0,-41.32,60.84762079986558
1.0,90.0,2.0,-14.21,82.02514629419736
1.0,90.0,2.32,-16.3,157.65623315057599
1.0,90.0,2.64,-17.52,-77.13344360715487
1.0,90.0,2.96,-15.94,43.16915828695358
1.0,90.0,3.28,-19.18,176.46056863502827
1.0,90.0,3.6,-17.21,-48.19145185660507
1.0,90.0,3.92,-17.01,112.77582715038348
1.0,90.0,4.24,-17.71,-102.61430833579925
1.0,90.0,4.56,-16.42,30.692903108097806
1.0,90.0,4.88,-15.83,-178.78320724900172
1.0,90.0,5.2,-17.74,-40.367106411436815
1.0,90.0,5.52,-17.9,113.78223351185936
1.0,90.0,5.84,-18.76,-88.33102613444642
1.0,90.0,6.16,-18.89,59.82845124557947
1.0,90.0,6.48,-20.75,-137.62437940250408
1.0,90.0,6.8,-19.71,19.659656435029586
1.0,90.0,7.12,-20.6,169.55851155572702
1.0,90.0,7.44,-20.17,-42.73233406146945
1.0,90.0,7.76,-21.08,103.13042761956841
1.0,90.0,8.08,-20.44,-100.41488646378957
1.0,90.0,8.4,-20.88,43.613378619384385
1.0,90.0,8.72,-22.32,-161.26726992383144
1.0,90.0,9.04,-22.45,-8.36794998196804
1.0,90.0,9.36,-22.92,140.4404073103983
1.0,90.0,9.68,-25.07,-66.48504915667587
1.0,90.0,10.0,-24.64,83.75766504252461
1.0,90.0,10.32,-24.87,-135.1568940888569
1.0,90.0,10.64,-25.56,14.480289193801626
1.0,90.0,10.96,-24.89,161.41062625277803
1.0,90.0,11.28,-25.43,-63.673840695485836
1.0,90.0,11.6,-26.49,83.52189996037596
1.0,90.0,11.92,-26.54,-133.7305185788634
1.0,90.0,12.24,-27.67,1.8712415247829002
1.0,90.0,12.56,-29.09,138.62979871470392
1.0,90.0,12.88,-34.11,-73.08324543551437
1.0,90.0,13.2,-31.66,77.5835283975679
1.0,90.0,13.52,-32.09,-150.03920356175863
1.0,90.0,13.84,-32.13,-6.531641863669416
1.0,90.0,14.16,-30.21,115.17574847315369
1.0,90.0,14.48,-32.38,105.17927416611626
1.0,90.0,14.8,-27.45,58.03517009593739
1.0,90.0,15.12,-26.46,155.8825163073655
1.0,90.0,15.44,-26.77,-89.72963516502058
1.0,90.0,15.76,-27.45,19.995214110501845
1.0,90.0,16.08,-26.92,133.23862720303583
1.0,90.0,16.4,-29.58,-116.91164683422275
1.0,90.0,16.72,-30.19,-29.317954108230744
1.0,90.0,17.04,-32.59,69.84646445399359
1.0,90.0,17.36,-37.52,170.87564674451949
1.0,90.0,17.68,-41.71,-69.06537627222657
1.0,90.0,18.0,-41.37,60.50435447214563
2.0,90.0,2.0,-14.25,81.72511813400229
2.0,90.0,2.32,-16.31,157.4687030013576
2.0,90.0,2.64,-17.55,-77.24862426463258
2.0,90.0,2.96,-15.97,43.23067261398285
2.0,90.0,3.28,-19.2,176.15516833580077
2.0,90.0,3.6,-17.31,-48.29828424592719
2.0,90.0,3.92,-16.99,112.95559175052607
2.0,90.0,4.24,-17.65,-103.31852618874923
2.0,90.0,4.56,-16.42,29.838605329133177
2.0,90.0,4.88,-15.86,-179.73729930189015
2.0,90.0,5.2,-17.73,-41.16847451561782
