# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-04-15 13:53:34","created_utc":"2026-04-15T17:53:34.271297Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB),Phase (deg)
0.0,0.0,2.0,-29.46,70.27350354961723
0.0,0.0,2.32,-38.94,72.36903993498233
0.0,0.0,2.64,-44.45,-129.13891691805406
0.0,0.0,2.96,-34.75,44.904561436272644
0.0,0.0,3.28,-34.03,80.11663398579363
0.0,0.0,3.6,-34.31,133.47013627982616
0.0,0.0,3.92,-41.53,-94.8015394683064
0.0,0.0,4.24,-46.93,19.676960090125366
0.0,0.0,4.56,-44.79,78.63684133381874
0.0,0.0,4.88,-43.92,-32.43320002557162
0.0,0.0,5.2,-38.66,13.891515061008784
0.0,0.0,5.52,-37.63,113.63143655620152
0.0,0.0,5.84,-39.69,-176.6802216904651
0.0,0.0,6.16,-45.52,-74.76085152686584
0.0,0.0,6.48,-60.75,84.13289913825513
0.0,0.0,6.8,-55.95,-73.34596916749703
0.0,0.0,7.12,-48.42,43.644664287065986
0.0,0.0,7.44,-48.45,105.81837370223279
0.0,0.0,7.76,-42.46,-170.346875055859
0.0,0.0,8.08,-45.7,-92.92320297707516
0.0,0.0,8.4,-60.63,138.62729614063431
0.0,0.0,8.72,-59.13,-177.53569527629762
0.0,0.0,9.04,-54.87,-60.40425014648172
0.0,0.0,9.36,-50.03,71.07772704948276
0.0,0.0,9.68,-50.4,-166.92803476524324
0.0,0.0,10.0,-51.39,-102.62026977383506
0.0,0.0,10.32,-53.65,-12.56137541432698
0.0,0.0,10.64,-55.9,72.88571959044832
0.0,0.0,10.96,-58.51,-104.02856474883028
0.0,0.0,11.28,-62.07,-14.030990977513213
0.0,0.0,11.6,-59.46,134.846207867103
0.0,0.0,11.92,-56.14,-151.71052531067386
0.0,0.0,12.24,-56.45,-84.15100004126334
0.0,0.0,12.56,-59.92,-10.183265707416092
0.0,0.0,12.88,-70.03,101.9692226644911
0.0,0.0,13.2,-63.47,-104.92791820035184
0.0,0.0,13.52,-74.08,25.162368275177556
0.0,0.0,13.84,-62.88,100.0178901893729
0.0,0.0,14.16,-62.98,158.5155006918699
0.0,0.0,14.48,-62.31,112.42070012886008
0.0,0.0,14.8,-62.94,2.084312518305665
0.0,0.0,15.12,-69.99,101.65944223568641
0.0,0.0,15.44,-65.2,-161.84091954126072
0.0,0.0,15.76,-69.72,-91.14318068670521
0.0,0.0,16.08,-66.02,-20.866814894699168
0.0,0.0,16.4,-63.29,90.91885084745236
0.0,0.0,16.72,-59.95,110.34953484259509
0.0,0.0,17.04,-70.93,-169.5420824488461
0.0,0.0,17.36,-73.28,168.84965717107883
0.0,0.0,17.68,-76.9,-5.8323496053815225
0.0,0.0,18.0,-70.43,67.72190960741433
0.0,1.0,2.0,-29.19,74.61736390920072
0.0,1.0,2.32,-39.62,78.00012112233875
0.0,1.0,2.64,-44.15,-128.72992645897332
0.0,1.0,2.96,-34.03,57.043498563444096
0.0,1.0,3.28,-34.16,90.27331809473509
0.0,1.0,3.6,-34.19,140.51601685070327
0.0,1.0,3.92,-40.39,-86.05922266040201
0.0,1.0,4.24,-45.47,43.217561143472174
0.0,1.0,4.56,-44.83,85.02285424134409
0.0,1.0,4.88,-42.52,-17.615215948271544
0.0,1.0,5.2,-39.43,32.89126388509689
0.0,1.0,5.52,-37.4,132.0699424282914
0.0,1.0,5.84,-39.65,-159.8700517690669
0.0,1.0,6.16,-45.06,-56.07495748066883
0.0,1.0,6.48,-60.11,91.9712445853638
0.0,1.0,6.8,-54.21,-68.24529257582388
0.0,1.0,7.12,-46.72,60.57519619016876
0.0,1.0,7.44,-47.08,143.90541003002232
0.0,1.0,7.76,-42.78,-145.77411855000076
0.0,1.0,8.08,-45.3,-69.67955630131605
0.0,1.0,8.4,-59.96,135.64694217727217
0.0,1.0,8.72,-56.19,-126.84031045935592
0.0,1.0,9.04,-59.43,-21.53612957115914
0.0,1.0,9.36,-50.94,95.07583299646573
0.0,1.0,9.68,-49.87,-151.99225142191037
0.0,1.0,10.0,-50.36,-63.14003456584187
0.0,1.0,10.32,-53.3,12.721657810721863
0.0,1.0,10.64,-55.42,86.06678710247014
0.0,1.0,10.96,-57.16,-90.57798817661143
0.0,1.0,11.28,-59.59,19.340712873307574
0.0,1.0,11.6,-59.33,150.7919743757048
0.0,1.0,11.92,-54.6,-113.84746655832257
0.0,1.0,12.24,-58.75,-39.397586228345396
0.0,1.0,12.56,-61.36,22.168421409000537
0.0,1.0,12.88,-69.89,152.95933002554452
0.0,1.0,13.2,-62.23,-62.78062859865917
0.0,1.0,13.52,-65.14,63.72108484261161
0.0,1.0,13.84,-69.32,151.09868148984685
0.0,1.0,14.16,-60.23,-131.34819933567775
0.0,1.0,14.48,-63.05,152.19235577592391
0.0,1.0,14.8,-62.42,54.77557138535782
0.0,1.0,15.12,-66.82,108.67317447055562
0.0,1.0,15.44,-63.95,-115.70642887673087
0.0,1.0,15.76,-63.96,-39.588965245893256
0.0,1.0,16.08,-69.59,83.7788969413865
0.0,1.0,16.4,-62.08,111.17519249908247
0.0,1.0,16.72,-62.76,154.96300644624174
0.0,1.0,17.04,-67.39,-123.05703278119506
0.0,1.0,17.36,-72.58,-33.724452382612796
0.0,1.0,17.68,-71.13,57.72765898955646
0.0,1.0,18.0,-104.92,-78.59308757617761
0.0,2.0,2.0,-28.93,79.11930311375411
0.0,2.0,2.32,-40.71,84.99536480912728
0.0,2.0,2.64,-43.75,-128.85144951037108
0.0,2.0,2.96,-33.22,66.05122864197989
0.0,2.0,3.28,-34.2,100.7514758543126
0.0,2.0,3.6,-34.32,148.75011914517222
0.0,2.0,3.92,-39.72,-77.2804751668214
0.0,2.0,4.24,-43.68,59.06365279037485
0.0,2.0,4.56,-45.87,87.66089749607735
0.0,2.0,4.88,-41.62,-7.435133543257952
0.0,2.0,5.2,-39.95,53.72257510168191
0.0,2.0,5.52,-37.29,150.13271286761756
0.0,2.0,5.84,-40.06,-141.69607692925317
0.0,2.0,6.16,-45.17,-36.96739310340058
0.0,2.0,6.48,-58.97,93.64509353284991
0.0,2.0,6.8,-52.39,-62.4291857916334
0.0,2.0,7.12,-46.08,76.94662826227817
0.0,2.0,7.44,-45.26,171.79115454350625
0.0,2.0,7.76,-43.25,-119.50882760977868
0.0,2.0,8.08,-44.91,-43.9467190476351
0.0,2.0,8.4,-55.97,133.13016083354913
0.0,2.0,8.72,-54.15,-104.62328483734768
0.0,2.0,9.04,-58.49,45.44325104306801
0.0,2.0,9.36,-52.36,124.69815163330527
0.0,2.0,9.68,-51.0,-126.38141561890696
0.0,2.0,10.0,-49.35,-30.389361903057775
