Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,90,7,-25.63,-60.13
-179,90,7.12,-20.146,-54.74
-179,90,7.24,-25.746,-60.18
-179,90,7.36,-19.776,-54.21
-179,90,7.48,-24.452,-58.63
-179,90,7.6,-22.15,-55.55
-179,90,7.72,-21.556,-56.53
-179,90,7.84,-22.416,-57.55
-179,90,7.96,-24.376,-59
-179,90,8.08,-26.106,-60.91
-179,90,8.2,-22.93,-57.97
-179,90,8.32,-20.146,-55.39
-179,90,8.44,-19.762,-55.35
-179,90,8.56,-17.622,-53.9
-179,90,8.68,-19.268,-56.43
-179,90,8.8,-19.68,-56.91
-179,90,8.92,-28.514,-65.72
-179,90,9.04,-23.644,-61.43
-179,90,9.16,-14.648,-53.22
-179,90,9.28,-15.84,-54.18
-179,90,9.4,-19.35,-57.32
-179,90,9.52,-21.732,-60.11
-179,90,9.64,-35.41,-74.18
-179,90,9.76,-20.104,-59.15
-179,90,9.88,-29.382,-68.5
-179,90,10,-37.57,-76.64
-179,90,10.12,-30.036,-69.59
-179,90,10.24,-28.392,-68.09
-179,90,10.36,-28.496,-68.08
-179,90,10.48,-41.428,-80.96
-179,90,10.6,-24.25,-64.17
-179,90,10.72,-28.636,-68.81
-179,90,10.84,-30.1,-70.27
-179,90,10.96,-31.586,-71.57
-179,90,11.08,-29.302,-69.47
-179,90,11.2,-33.19,-73.53
-179,90,11.32,-30.984,-71.5
-179,90,11.44,-31.292,-72.04
-179,90,11.56,-30.32,-71.17
-179,90,11.68,-26.102,-67.14
-179,90,11.8,-25.13,-66.27
-179,90,11.92,-31.274,-72.4
-179,90,12.04,-31.03,-72.94
-179,90,12.16,-24.748,-67
-179,90,12.28,-26.178,-68.49
-179,90,12.4,-21.9,-64.56
-179,90,12.52,-26.4,-70.19
-179,90,12.64,-24.774,-69.18
-179,90,12.76,-30.642,-75.33
-179,90,12.88,-24.306,-69.51
-179,90,13,-20.1,-66.41
-178,90,7,-23.7,-58.2
-178,90,7.12,-19.956,-54.55
-178,90,7.24,-24.746,-59.18
-178,90,7.36,-21.406,-55.84
-178,90,7.48,-26.612,-60.79
-178,90,7.6,-22.86,-56.26
-178,90,7.72,-22.136,-57.11
-178,90,7.84,-23.486,-58.62
-178,90,7.96,-24.976,-59.6
-178,90,8.08,-25.906,-60.71
-178,90,8.2,-24.37,-59.41
-178,90,8.32,-23.816,-59.06
-178,90,8.44,-18.382,-53.97
-178,90,8.56,-16.302,-52.58
-178,90,8.68,-20.438,-57.6
-178,90,8.8,-20.48,-57.71
-178,90,8.92,-36.664,-73.87
-178,90,9.04,-20.344,-58.13
-178,90,9.16,-13.538,-52.11
-178,90,9.28,-16.08,-54.42
-178,90,9.4,-19.11,-57.08
-178,90,9.52,-25.432,-63.81
-178,90,9.64,-27.31,-66.08
-178,90,9.76,-18.314,-57.36
-178,90,9.88,-24.102,-63.22
-178,90,10,-53.78,-92.85
-178,90,10.12,-23.446,-63
-178,90,10.24,-24.422,-64.12
-178,90,10.36,-25.986,-65.57
-178,90,10.48,-37.068,-76.6
-178,90,10.6,-22.79,-62.71
-178,90,10.72,-23.686,-63.86
-178,90,10.84,-26.74,-66.91
-178,90,10.96,-36.286,-76.27
-178,90,11.08,-33.402,-73.57
-178,90,11.2,-30.49,-70.83
-178,90,11.32,-34.324,-74.84
-178,90,11.44,-25.482,-66.23
-178,90,11.56,-28.94,-69.79
-178,90,11.68,-27.152,-68.19
-178,90,11.8,-31.91,-73.05
-178,90,11.92,-31.574,-72.7
-178,90,12.04,-29.75,-71.66
-178,90,12.16,-26.298,-68.55
-178,90,12.28,-28.008,-70.32
-178,90,12.4,-19.16,-61.82
-178,90,12.52,-22.66,-66.45
-178,90,12.64,-30.144,-74.55
-178,90,12.76,-30.672,-75.36
-178,90,12.88,-25.256,-70.46
-178,90,13,-19.62,-65.93
-177,90,7,-21.9,-56.4
-177,90,7.12,-19.756,-54.35
-177,90,7.24,-22.826,-57.26
-177,90,7.36,-21.696,-56.13
-177,90,7.48,-26.762,-60.94
-177,90,7.6,-23,-56.4
-177,90,7.72,-22.096,-57.07
-177,90,7.84,-24.846,-59.98
-177,90,7.96,-26.036,-60.66
-177,90,8.08,-25.736,-60.54
-177,90,8.2,-27.69,-62.73
-177,90,8.32,-22.836,-58.08
-177,90,8.44,-17.232,-52.82
-177,90,8.56,-16.402,-52.68
-177,90,8.68,-18.928,-56.09
-177,90,8.8,-23.38,-60.61
-177,90,8.92,-29.084,-66.29
-177,90,9.04,-18.264,-56.05
-177,90,9.16,-13.428,-52
-177,90,9.28,-14.84,-53.18
-177,90,9.4,-19.56,-57.53
-177,90,9.52,-25.152,-63.53
-177,90,9.64,-23.22,-61.99
-177,90,9.76,-16.854,-55.9
-177,90,9.88,-22.682,-61.8
-177,90,10,-30.87,-69.94
-177,90,10.12,-26.566,-66.12
-177,90,10.24,-23.592,-63.29
-177,90,10.36,-25.556,-65.14
-177,90,10.48,-34.278,-73.81
-177,90,10.6,-22.62,-62.54
-177,90,10.72,-20.006,-60.18
-177,90,10.84,-24.33,-64.5
-177,90,10.96,-30.926,-70.91
-177,90,11.08,-30.112,-70.28
-177,90,11.2,-30.24,-70.58
-177,90,11.32,-24.524,-65.04
-177,90,11.44,-25.002,-65.75
-177,90,11.56,-24.64,-65.49
-177,90,11.68,-21.972,-63.01
-177,90,11.8,-28.38,-69.52
-177,90,11.92,-31.914,-73.04
-177,90,12.04,-28.47,-70.38
-177,90,12.16,-24.318,-66.57
-177,90,12.28,-24.108,-66.42
-177,90,12.4,-21.74,-64.4
-177,90,12.52,-24.35,-68.14
-177,90,12.64,-32.904,-77.31
-177,90,12.76,-34.602,-79.29
-177,90,12.88,-22.126,-67.33
-177,90,13,-21.06,-67.37
-176,90,7,-20.67,-55.17
-176,90,7.12,-19.376,-53.97
-176,90,7.24,-23.376,-57.81
-176,90,7.36,-21.306,-55.74
-176,90,7.48,-25.912,-60.09
-176,90,7.6,-24.04,-57.44
-176,90,7.72,-20.586,-55.56
-176,90,7.84,-21.106,-56.24
-176,90,7.96,-23.326,-57.95
-176,90,8.08,-22.786,-57.59
-176,90,8.2,-26.12,-61.16
-176,90,8.32,-20.616,-55.86
-176,90,8.44,-17.892,-53.48
-176,90,8.56,-16.722,-53
-176,90,8.68,-19.278,-56.44
-176,90,8.8,-20.55,-57.78
-176,90,8.92,-23.714,-60.92
-176,90,9.04,-16.834,-54.62
-176,90,9.16,-12.548,-51.12
-176,90,9.28,-14.89,-53.23
-176,90,9.4,-18.71,-56.68
-176,90,9.52,-27.742,-66.12
-176,90,9.64,-18.6,-57.37
-176,90,9.76,-15.284,-54.33
-176,90,9.88,-22.242,-61.36
