Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,0,2,-4.92,-26.71
0,0,2.16,-6.628,-30.04
0,0,2.32,-8.576,-34.23
0,0,2.48,-14.474,-41.72
0,0,2.64,-14.998,-43.71
0,0,2.8,-28.44,-55.5
0,0,2.96,-9.918,-38.23
0,0,3.12,-8.646,-36.88
0,0,3.28,-6.722,-36.74
0,0,3.44,-5.712,-34.36
0,0,3.6,-6.51,-33.96
0,0,3.76,-11.304,-40.79
0,0,3.92,-13.072,-40.62
0,0,4.08,-12.082,-39.75
0,0,4.24,-17.856,-46.88
0,0,4.4,-14.41,-44.22
0,0,4.56,-14.636,-44.45
0,0,4.72,-18.524,-48.51
0,0,4.88,-14.71,-44.84
0,0,5.04,-8.95,-39
0,0,5.2,-8.19,-39.61
0,0,5.36,-8.87,-39.67
0,0,5.52,-6.858,-37.14
0,0,5.68,-5.76000000000001,-37.13
0,0,5.84,-7.582,-39.03
0,0,6,-11.72,-43.26
0,0,6.16,-14.1,-46.14
0,0,6.32,-20.508,-54
0,0,6.48,-20.586,-54.67
0,0,6.64,-23.378,-57.77
0,0,6.8,-26.9,-60.4
0,0,6.96,-15.982,-50.31
0,0,7.12,-11.846,-46.44
0,0,7.28,-9.572,-43.95
0,0,7.44,-10.546,-44.88
0,0,7.6,-9.99,-43.39
0,0,7.76,-7.658,-42.88
0,0,7.92,-8.032,-42.66
0,0,8.08,-10.966,-45.77
0,0,8.24,-16.142,-51.25
0,0,8.4,-24.67,-60.05
0,0,8.56,-19.002,-55.28
0,0,8.72,-20.648,-57.95
0,0,8.88,-24.328,-61.47
0,0,9.04,-19.694,-57.48
0,0,9.2,-15.01,-53.87
0,0,9.36,-14.334,-52.4
0,0,9.52,-12.432,-50.81
0,0,9.68,-12.43,-51.32
0,0,9.84,-10.656,-49.77
0,0,10,-10.52,-49.59
0,0,10.16,-11.978,-51.62
0,0,10.32,-13.542,-53.17
0,0,10.48,-14.978,-54.51
0,0,10.64,-17.758,-57.77
0,0,10.8,-16.07,-56.34
0,0,10.96,-12.346,-52.33
0,0,11.12,-18.056,-58.3
0,0,11.28,-19.176,-59.62
0,0,11.44,-20.012,-60.76
0,0,11.6,-19.3,-60.17
0,0,11.76,-12.964,-54.08
0,0,11.92,-13.324,-54.45
0,0,12.08,-13.81,-56
0,0,12.24,-11.974,-54.23
0,0,12.4,-11.07,-53.73
0,0,12.56,-13.94,-58.01
0,0,12.72,-15.294,-59.85
0,0,12.88,-20.246,-65.45
0,0,13.04,-18.568,-65.07
0,0,13.2,-16.09,-62.87
0,0,13.36,-20.854,-67.07
0,0,13.52,-26.052,-72.06
0,0,13.68,-20.03,-66.71
0,0,13.84,-15.388,-62.87
0,0,14,-13.35,-61.2
0,0,14.16,-10.766,-58.99
0,0,14.32,-12.936,-61.89
0,0,14.48,-14.864,-66.69
0,0,14.64,-13.264,-62.72
0,0,14.8,-13.57,-61.58
0,0,14.96,-15.052,-62.18
0,0,15.12,-21.63,-68.06
0,0,15.28,-18.11,-64.66
0,0,15.44,-21.376,-67.69
0,0,15.6,-17.08,-63.71
0,0,15.76,-14.358,-61.55
0,0,15.92,-18.102,-65.28
0,0,16.08,-17.492,-64.95
0,0,16.24,-12.504,-60.63
0,0,16.4,-14.06,-63.87
0,0,16.56,-11.278,-60.21
0,0,16.72,-16.358,-65.84
0,0,16.88,-19.274,-69.74
0,0,17.04,-15.816,-67.07
0,0,17.2,-17.38,-69.81
0,0,17.36,-17.036,-69.68
0,0,17.52,-21.636,-74.17
0,0,17.68,-16.172,-69.25
0,0,17.84,-21.968,-74.88
0,0,18,-19.18,-71.99
0,1,2,-4.75,-26.54
0,1,2.16,-6.638,-30.05
0,1,2.32,-8.816,-34.47
0,1,2.48,-13.384,-40.63
0,1,2.64,-14.558,-43.27
0,1,2.8,-26.5,-53.56
0,1,2.96,-9.618,-37.93
