Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,90,2,8.57,-13.22
0,90,2.16,8.992,-14.42
0,90,2.32,8.974,-16.68
0,90,2.48,9.516,-17.73
0,90,2.64,8.852,-19.86
0,90,2.8,9.74,-17.32
0,90,2.96,9.772,-18.54
0,90,3.12,10.694,-17.54
0,90,3.28,10.038,-19.98
0,90,3.44,10.788,-17.86
0,90,3.6,10.89,-16.56
0,90,3.76,9.876,-19.61
0,90,3.92,11.488,-16.06
0,90,4.08,11.528,-16.14
0,90,4.24,11.524,-17.5
0,90,4.4,11.98,-17.83
0,90,4.56,12.294,-17.52
0,90,4.72,12.556,-17.43
0,90,4.88,12.82,-17.31
0,90,5.04,13.41,-16.64
0,90,5.2,13.21,-18.21
0,90,5.36,13.26,-17.54
0,90,5.52,13.562,-16.72
0,90,5.68,13.29,-18.08
0,90,5.84,13.598,-17.85
0,90,6,13.66,-17.88
0,90,6.16,14.04,-18
0,90,6.32,13.792,-19.7
0,90,6.48,14.124,-19.96
0,90,6.64,14.032,-20.36
0,90,6.8,14.47,-19.03
0,90,6.96,14.548,-19.78
0,90,7.12,14.694,-19.9
0,90,7.28,14.838,-19.54
0,90,7.44,14.604,-19.73
0,90,7.6,14.91,-18.49
0,90,7.76,14.322,-20.9
0,90,7.92,15.168,-19.46
0,90,8.08,15.084,-19.72
0,90,8.24,15.228,-19.88
0,90,8.4,15.35,-20.03
0,90,8.56,15.508,-20.77
0,90,8.72,15.392,-21.91
0,90,8.88,15.852,-21.29
0,90,9.04,15.866,-21.92
0,90,9.2,15.77,-23.09
0,90,9.36,15.996,-22.07
0,90,9.52,15.808,-22.57
0,90,9.68,15.77,-23.12
0,90,9.84,15.744,-23.37
0,90,10,15.82,-23.25
0,90,10.16,15.742,-23.9
0,90,10.32,15.958,-23.67
0,90,10.48,16.102,-23.43
0,90,10.64,16.032,-23.98
0,90,10.8,16.15,-24.12
0,90,10.96,16.304,-23.68
0,90,11.12,16.254,-23.99
0,90,11.28,16.284,-24.16
0,90,11.44,16.188,-24.56
0,90,11.6,16.31,-24.56
0,90,11.76,16.256,-24.86
0,90,11.92,16.486,-24.64
0,90,12.08,16.2,-25.99
0,90,12.24,16.546,-25.71
0,90,12.4,16.47,-26.19
0,90,12.56,16.29,-27.78
0,90,12.72,16.676,-27.88
0,90,12.88,16.774,-28.43
0,90,13.04,16.582,-29.92
0,90,13.2,17.06,-29.72
0,90,13.36,17.336,-28.88
0,90,13.52,17.538,-28.47
0,90,13.68,17.72,-28.96
0,90,13.84,17.802,-29.68
0,90,14,18.18,-29.67
0,90,14.16,18.394,-29.83
0,90,14.32,18.934,-30.02
0,90,14.48,17.976,-33.85
0,90,14.64,19.326,-30.13
0,90,14.8,19.21,-28.8
0,90,14.96,19.498,-27.63
0,90,15.12,19.74,-26.69
0,90,15.28,19.76,-26.79
0,90,15.44,20.154,-26.16
0,90,15.6,20.2,-26.43
0,90,15.76,20.232,-26.96
0,90,15.92,20.618,-26.56
0,90,16.08,20.608,-26.85
0,90,16.24,20.676,-27.45
0,90,16.4,20.44,-29.37
0,90,16.56,20.702,-28.23
0,90,16.72,20.332,-29.15
0,90,16.88,20.146,-30.32
0,90,17.04,20.224,-31.03
0,90,17.2,19.76,-32.67
0,90,17.36,19.324,-33.32
