Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,0,8,-13.79,-48.41
-179,0,8.04,-15.688,-50.4
-179,0,8.08,-17.556,-52.36
-179,0,8.12,-20.192,-55.08
-179,0,8.16,-18.576,-53.54
-179,0,8.2,-15.69,-50.73
-179,0,8.24,-11.842,-46.95
-179,0,8.28,-10.644,-45.82
-179,0,8.32,-8.236,-43.48
-179,0,8.36,-7.008,-42.32
-179,0,8.4,-6.95,-42.33
-179,0,8.44,-6.552,-42.14
-179,0,8.48,-6.604,-42.4
-179,0,8.52,-6.544,-42.57
-179,0,8.56,-6.22199999999999,-42.5
-179,0,8.6,-6.6,-43.13
-179,0,8.64,-7.97399999999999,-44.82
-179,0,8.68,-8.478,-45.64
-179,0,8.72,-9.918,-47.22
-179,0,8.76,-10.664,-47.93
-179,0,8.8,-9.68,-46.91
-179,0,8.84,-6.13400000000001,-43.32
-179,0,8.88,-4.608,-41.75
-179,0,8.92,-3.294,-40.5
-179,0,8.96,-1.582,-38.96
-179,0,9,1.16,-36.39
-179,0,9.04,1.666,-36.12
-179,0,9.08,3.73200000000001,-34.29
-179,0,9.12,3.714,-34.57
-179,0,9.16,4.722,-33.85
-179,0,9.2,5.43,-33.43
-179,0,9.24,6.13,-32.47
-179,0,9.28,6.05000000000001,-32.29
-179,0,9.32,6.372,-31.79
-179,0,9.36,6.676,-31.39
-179,0,9.4,5.85,-32.12
-179,0,9.44,5.226,-32.88
-179,0,9.48,5.33200000000001,-32.91
-179,0,9.52,5.298,-33.08
-179,0,9.56,4.57400000000001,-33.94
-179,0,9.6,3.12,-35.53
-179,0,9.64,3.40000000000001,-35.37
-179,0,9.68,3.1,-35.79
-179,0,9.72,3.102,-35.88
-179,0,9.76,3.246,-35.8
-179,0,9.8,3.76,-35.35
-179,0,9.84,3.654,-35.46
-179,0,9.88,3.16799999999999,-35.95
-179,0,9.92,2.76,-36.35
-179,0,9.96,2.37,-36.72
-179,0,10,1.58,-37.49
-179,0,10.04,0.385999999999996,-38.86
-179,0,10.08,-0.828000000000003,-40.25
-179,0,10.12,-3.816,-43.37
-179,0,10.16,-7.088,-46.73
-179,0,10.2,-7.46,-47.19
-179,0,10.24,-5.45200000000001,-45.15
-179,0,10.28,-3.484,-43.15
-179,0,10.32,-2.982,-42.61
-179,0,10.36,-2.956,-42.54
-179,0,10.4,-2.65,-42.19
-179,0,10.44,-2.794,-42.33
-179,0,10.48,-2.58799999999999,-42.12
-179,0,10.52,-3.54199999999999,-43.15
-179,0,10.56,-3.566,-43.33
-179,0,10.6,-4.07,-43.99
-179,0,10.64,-5.498,-45.51
-179,0,10.68,-7.64599999999999,-47.75
-179,0,10.72,-8.716,-48.89
-179,0,10.76,-9.658,-49.88
-179,0,10.8,-9.69,-49.96
-179,0,10.84,-9.23,-49.4
-179,0,10.88,-8.83999999999999,-48.91
-179,0,10.92,-7.95199999999999,-47.96
-179,0,10.96,-6.836,-46.82
-179,0,11,-6.06,-46.02
-179,0,11.04,-6.47600000000001,-46.54
-179,0,11.08,-7.452,-47.62
-179,0,11.12,-6.356,-46.6
-179,0,11.16,-6.678,-46.97
-179,0,11.2,-6.86,-47.2
-179,0,11.24,-7.568,-47.96
-179,0,11.28,-8.506,-48.95
-179,0,11.32,-10.434,-50.95
-179,0,11.36,-11.622,-52.23
-179,0,11.4,-12.32,-53.02
-179,0,11.44,-11.952,-52.7
-179,0,11.48,-10.664,-51.46
-179,0,11.52,-11.22,-52.05
-179,0,11.56,-11.77,-52.62
-179,0,11.6,-11.53,-52.4
-179,0,11.64,-11.456,-52.41
-179,0,11.68,-10.972,-52.01
-179,0,11.72,-11.918,-53.01
-179,0,11.76,-12.654,-53.77
-179,0,11.8,-13.14,-54.28
-179,0,11.84,-14.536,-55.62
-179,0,11.88,-14.022,-55.05
-179,0,11.92,-12.544,-53.67
-179,0,11.96,-12.392,-53.77
-179,0,12,-13.74,-55.37
-178,0,8,-17.31,-51.93
-178,0,8.04,-21.048,-55.76
-178,0,8.08,-20.966,-55.77
-178,0,8.12,-16.672,-51.56
-178,0,8.16,-13.796,-48.76
-178,0,8.2,-12.19,-47.23
-178,0,8.24,-9.48200000000001,-44.59
-178,0,8.28,-8.444,-43.62
-178,0,8.32,-6.976,-42.22
-178,0,8.36,-6.288,-41.6
-178,0,8.4,-6.65,-42.03
-178,0,8.44,-6.772,-42.36
-178,0,8.48,-7.374,-43.17
-178,0,8.52,-7.934,-43.96
-178,0,8.56,-8.40199999999999,-44.68
-178,0,8.6,-8.6,-45.13
-178,0,8.64,-10.344,-47.19
-178,0,8.68,-9.458,-46.62
-178,0,8.72,-9.738,-47.04
-178,0,8.76,-7.504,-44.77
-178,0,8.8,-5.7,-42.93
-178,0,8.84,-2.544,-39.73
-178,0,8.88,-1.288,-38.43
-178,0,8.92,-0.263999999999996,-37.47
-178,0,8.96,0.847999999999999,-36.53
-178,0,9,3.3,-34.25
-178,0,9.04,3.43599999999999,-34.35
-178,0,9.08,5.16200000000001,-32.86
-178,0,9.12,5.004,-33.28
-178,0,9.16,5.862,-32.71
-178,0,9.2,6.29,-32.57
-178,0,9.24,6.81999999999999,-31.78
-178,0,9.28,6.42000000000001,-31.92
-178,0,9.32,6.492,-31.67
-178,0,9.36,6.636,-31.43
-178,0,9.4,5.7,-32.27
-178,0,9.44,5.176,-32.93
-178,0,9.48,5.252,-32.99
-178,0,9.52,5.078,-33.3
-178,0,9.56,4.424,-34.09
-178,0,9.6,2.86,-35.79
-178,0,9.64,3.06,-35.71
-178,0,9.68,2.69,-36.2
-178,0,9.72,2.602,-36.38
-178,0,9.76,2.646,-36.4
-178,0,9.8,3.13,-35.98
-178,0,9.84,2.614,-36.5
-178,0,9.88,1.818,-37.3
-178,0,9.92,1.45,-37.66
-178,0,9.96,0.680000000000007,-38.41
-178,0,10,-0.560000000000002,-39.63
-178,0,10.04,-2.294,-41.54
-178,0,10.08,-3.688,-43.11
-178,0,10.12,-7.26600000000001,-46.82
-178,0,10.16,-9.858,-49.5
-178,0,10.2,-6.43,-46.16
-178,0,10.24,-3.58200000000001,-43.28
-178,0,10.28,-2.204,-41.87
-178,0,10.32,-2.212,-41.84
-178,0,10.36,-2.776,-42.36
-178,0,10.4,-2.56,-42.1
-178,0,10.44,-3.304,-42.84
-178,0,10.48,-3.578,-43.11
-178,0,10.52,-5.092,-44.7
-178,0,10.56,-5.486,-45.25
-178,0,10.6,-6.48,-46.4
-178,0,10.64,-8.708,-48.72
-178,0,10.68,-10.886,-50.99
-178,0,10.72,-10.626,-50.8
-178,0,10.76,-8.648,-48.87
-178,0,10.8,-7.72,-47.99
-178,0,10.84,-7.71,-47.88
-178,0,10.88,-8.14999999999999,-48.22
-178,0,10.92,-7.59199999999999,-47.6
-178,0,10.96,-6.336,-46.32
-178,0,11,-6.06,-46.02
-178,0,11.04,-6.88600000000001,-46.95
-178,0,11.08,-7.642,-47.81
-178,0,11.12,-7.646,-47.89
-178,0,11.16,-7.438,-47.73
-178,0,11.2,-8.25,-48.59
-178,0,11.24,-9.308,-49.7
-178,0,11.28,-10.346,-50.79
-178,0,11.32,-12.524,-53.04
-178,0,11.36,-12.722,-53.33
-178,0,11.4,-12.34,-53.04
-178,0,11.44,-11.312,-52.06
-178,0,11.48,-11.164,-51.96
-178,0,11.52,-11.7,-52.53
-178,0,11.56,-12.07,-52.92
-178,0,11.6,-11.97,-52.84
-178,0,11.64,-12.676,-53.63
-178,0,11.68,-12.312,-53.35
-178,0,11.72,-12.358,-53.45
-178,0,11.76,-13.164,-54.28
-178,0,11.8,-13.64,-54.78
-178,0,11.84,-13.596,-54.68
-178,0,11.88,-13.532,-54.56
-178,0,11.92,-14.004,-55.13
-178,0,11.96,-14.872,-56.25
-178,0,12,-14.48,-56.11
-177,0,8,-21.19,-55.81
-177,0,8.04,-21.068,-55.78
-177,0,8.08,-16.366,-51.17
-177,0,8.12,-12.592,-47.48
-177,0,8.16,-10.146,-45.11
