Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-179,8,-10.19,-44.81
0,-179,8.04,-11.628,-46.34
0,-179,8.08,-13.276,-48.08
0,-179,8.12,-13.942,-48.83
0,-179,8.16,-16.596,-51.56
0,-179,8.2,-20.41,-55.45
0,-179,8.24,-18.002,-53.11
0,-179,8.28,-16.524,-51.7
0,-179,8.32,-13.656,-48.9
0,-179,8.36,-11.458,-46.77
0,-179,8.4,-9.22,-44.6
0,-179,8.44,-7.222,-42.81
0,-179,8.48,-6.154,-41.95
0,-179,8.52,-4.96400000000001,-40.99
0,-179,8.56,-4.70199999999999,-40.98
0,-179,8.6,-4.8,-41.33
0,-179,8.64,-5.84399999999999,-42.69
0,-179,8.68,-6.018,-43.18
0,-179,8.72,-7.658,-44.96
0,-179,8.76,-8.644,-45.91
0,-179,8.8,-10.5,-47.73
0,-179,8.84,-10.974,-48.16
0,-179,8.88,-10.018,-47.16
0,-179,8.92,-6.80399999999999,-44.01
0,-179,8.96,-5.302,-42.68
0,-179,9,-2.07,-39.62
0,-179,9.04,-1.194,-38.98
0,-179,9.08,0.872000000000007,-37.15
0,-179,9.12,1.194,-37.09
0,-179,9.16,2.642,-35.93
0,-179,9.2,3.57,-35.29
0,-179,9.24,4.59,-34.01
0,-179,9.28,4.76000000000001,-33.58
0,-179,9.32,5.162,-33
0,-179,9.36,5.806,-32.26
0,-179,9.4,5.27,-32.7
0,-179,9.44,5.116,-32.99
0,-179,9.48,5.34200000000001,-32.9
0,-179,9.52,5.798,-32.58
0,-179,9.56,5.39400000000001,-33.12
0,-179,9.6,4.08,-34.57
0,-179,9.64,4,-34.77
0,-179,9.68,3.76,-35.13
0,-179,9.72,3.84200000000001,-35.14
0,-179,9.76,4.026,-35.02
0,-179,9.8,4.39,-34.72
0,-179,9.84,4.184,-34.93
0,-179,9.88,3.638,-35.48
0,-179,9.92,3.44,-35.67
0,-179,9.96,3.48,-35.61
0,-179,10,3.16,-35.91
0,-179,10.04,2.36599999999999,-36.88
0,-179,10.08,2.282,-37.14
0,-179,10.12,0.303999999999995,-39.25
0,-179,10.16,-1.428,-41.07
0,-179,10.2,-2.40000000000001,-42.13
0,-179,10.24,-3.80200000000001,-43.5
0,-179,10.28,-4.78400000000001,-44.45
0,-179,10.32,-5.012,-44.64
0,-179,10.36,-4.796,-44.38
0,-179,10.4,-3.87,-43.41
0,-179,10.44,-3.304,-42.84
0,-179,10.48,-2.598,-42.13
0,-179,10.52,-2.632,-42.24
0,-179,10.56,-2.21599999999999,-41.98
0,-179,10.6,-2.86,-42.78
0,-179,10.64,-3.438,-43.45
0,-179,10.68,-4.60599999999999,-44.71
0,-179,10.72,-4.556,-44.73
0,-179,10.76,-4.858,-45.08
0,-179,10.8,-6.32,-46.59
0,-179,10.84,-7.61,-47.78
0,-179,10.88,-8.14999999999999,-48.22
0,-179,10.92,-8.72199999999999,-48.73
0,-179,10.96,-8.126,-48.11
0,-179,11,-7.27,-47.23
0,-179,11.04,-7.666,-47.73
0,-179,11.08,-7.712,-47.88
0,-179,11.12,-7.026,-47.27
0,-179,11.16,-7.058,-47.35
0,-179,11.2,-7.66999999999999,-48.01
0,-179,11.24,-7.468,-47.86
0,-179,11.28,-7.326,-47.77
0,-179,11.32,-8.014,-48.53
0,-179,11.36,-7.982,-48.59
0,-179,11.4,-8.11,-48.81
0,-179,11.44,-8.47199999999999,-49.22
0,-179,11.48,-9.264,-50.06
0,-179,11.52,-10.59,-51.42
0,-179,11.56,-12.18,-53.03
0,-179,11.6,-11.92,-52.79
0,-179,11.64,-11.796,-52.75
0,-179,11.68,-10.832,-51.87
0,-179,11.72,-10.818,-51.91
0,-179,11.76,-10.894,-52.01
0,-179,11.8,-12.63,-53.77
0,-179,11.84,-13.246,-54.33
0,-179,11.88,-13.362,-54.39
0,-179,11.92,-13.234,-54.36
0,-179,11.96,-12.832,-54.21
0,-179,12,-14.5,-56.13
0,-178,8,-10.51,-45.13
0,-178,8.04,-12.128,-46.84
0,-178,8.08,-13.746,-48.55
0,-178,8.12,-14.452,-49.34
0,-178,8.16,-15.846,-50.81
0,-178,8.2,-18.59,-53.63
0,-178,8.24,-17.702,-52.81
0,-178,8.28,-15.944,-51.12
0,-178,8.32,-13.336,-48.58
0,-178,8.36,-11.278,-46.59
0,-178,8.4,-9.08,-44.46
0,-178,8.44,-6.762,-42.35
0,-178,8.48,-5.854,-41.65
0,-178,8.52,-5.044,-41.07
0,-178,8.56,-4.29199999999999,-40.57
0,-178,8.6,-4.52,-41.05
0,-178,8.64,-5.30399999999999,-42.15
0,-178,8.68,-5.928,-43.09
0,-178,8.72,-8.228,-45.53
0,-178,8.76,-9.804,-47.07
0,-178,8.8,-11.76,-48.99
0,-178,8.84,-11.804,-48.99
0,-178,8.88,-9.408,-46.55
0,-178,8.92,-6.614,-43.82
0,-178,8.96,-4.872,-42.25
0,-178,9,-1.75,-39.3
0,-178,9.04,-0.984000000000009,-38.77
0,-178,9.08,0.972000000000008,-37.05
0,-178,9.12,1.244,-37.04
0,-178,9.16,2.732,-35.84
0,-178,9.2,3.78,-35.08
0,-178,9.24,4.73,-33.87
0,-178,9.28,4.92000000000001,-33.42
0,-178,9.32,5.262,-32.9
0,-178,9.36,5.83600000000001,-32.23
0,-178,9.4,5.36,-32.61
0,-178,9.44,5.306,-32.8
0,-178,9.48,5.562,-32.68
0,-178,9.52,6.038,-32.34
0,-178,9.56,5.774,-32.74
0,-178,9.6,4.19,-34.46
0,-178,9.64,4.03,-34.74
0,-178,9.68,3.66,-35.23
0,-178,9.72,3.62200000000001,-35.36
0,-178,9.76,3.716,-35.33
0,-178,9.8,4.1,-35.01
0,-178,9.84,3.844,-35.27
0,-178,9.88,3.19799999999999,-35.92
0,-178,9.92,3.21,-35.9
0,-178,9.96,3.02,-36.07
0,-178,10,2.74,-36.33
0,-178,10.04,2.346,-36.9
0,-178,10.08,2.29199999999999,-37.13
0,-178,10.12,0.513999999999996,-39.04
0,-178,10.16,-1.20800000000001,-40.85
0,-178,10.2,-2.22000000000001,-41.95
0,-178,10.24,-3.40200000000001,-43.1
0,-178,10.28,-4.42400000000001,-44.09
0,-178,10.32,-4.992,-44.62
0,-178,10.36,-4.906,-44.49
0,-178,10.4,-4.05,-43.59
0,-178,10.44,-3.674,-43.21
0,-178,10.48,-2.648,-42.18
0,-178,10.52,-2.79199999999999,-42.4
0,-178,10.56,-2.666,-42.43
0,-178,10.6,-3.01,-42.93
0,-178,10.64,-3.528,-43.54
0,-178,10.68,-4.57599999999999,-44.68
0,-178,10.72,-4.556,-44.73
0,-178,10.76,-4.628,-44.85
0,-178,10.8,-5.98,-46.25
0,-178,10.84,-7.8,-47.97
0,-178,10.88,-8.16999999999999,-48.24
0,-178,10.92,-8.20199999999999,-48.21
0,-178,10.96,-8.606,-48.59
0,-178,11,-7.52,-47.48
0,-178,11.04,-7.306,-47.37
0,-178,11.08,-7.902,-48.07
0,-178,11.12,-7.266,-47.51
0,-178,11.16,-7.208,-47.5
0,-178,11.2,-7.55,-47.89
0,-178,11.24,-7.788,-48.18
0,-178,11.28,-7.936,-48.38
0,-178,11.32,-8.084,-48.6
0,-178,11.36,-8.432,-49.04
0,-178,11.4,-8.37,-49.07
0,-178,11.44,-8.62199999999999,-49.37
0,-178,11.48,-9.38399999999999,-50.18
0,-178,11.52,-10.82,-51.65
0,-178,11.56,-12.21,-53.06
0,-178,11.6,-12.04,-52.91
0,-178,11.64,-11.856,-52.81
0,-178,11.68,-10.742,-51.78
0,-178,11.72,-9.688,-50.78
0,-178,11.76,-10.314,-51.43
0,-178,11.8,-11.59,-52.73
0,-178,11.84,-12.556,-53.64
0,-178,11.88,-12.652,-53.68
