# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-46.0,-14.0],"do_not_modify_vna":false},"created_local":"2026-03-25 14:23:59","created_utc":"2026-03-25T18:23:59.328411Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,90.0,2.0,-15.56,-43.94066717261818
0.0,90.0,2.32,-17.42,-115.20718289509614
0.0,90.0,2.64,-19.11,-43.08462317015213
0.0,90.0,2.96,-17.03,14.432048380000946
0.0,90.0,3.28,-18.72,89.91937449377296
0.0,90.0,3.6,-17.8,167.6134529166734
0.0,90.0,3.92,-17.75,-95.23808472526544
0.0,90.0,4.24,-18.73,-10.011020285967973
0.0,90.0,4.56,-17.8,71.36991891401213
0.0,90.0,4.88,-17.43,164.01373245576093
0.0,90.0,5.2,-19.05,-112.36776551577819
0.0,90.0,5.52,-18.58,-13.184293656827238
0.0,90.0,5.84,-19.57,85.664694737526
0.0,90.0,6.16,-19.65,173.45188700854527
0.0,90.0,6.48,-21.71,-84.55887625669551
0.0,90.0,6.8,-20.54,12.8844195828445
0.0,90.0,7.12,-21.11,103.99589929187123
0.0,90.0,7.44,-21.39,-165.8601761829071
0.0,90.0,7.76,-22.28,-78.68766578540286
0.0,90.0,8.08,-21.31,20.857033497596085
0.0,90.0,8.4,-21.9,108.71399930955498
0.0,90.0,8.72,-23.41,-156.49213936552945
0.0,90.0,9.04,-23.44,-64.51343994278214
0.0,90.0,9.36,-24.21,28.44620480711995
0.0,90.0,9.68,-25.95,121.24042507799592
0.0,90.0,10.0,-25.47,-149.3425191635006
0.0,90.0,10.32,-26.06,-66.22336778713014
0.0,90.0,10.64,-26.59,26.448205474512864
0.0,90.0,10.96,-26.14,112.98974674680689
0.0,90.0,11.28,-26.72,-169.7596344861021
0.0,90.0,11.6,-27.69,-81.14181428252466
0.0,90.0,11.92,-27.56,3.4125264880898127
0.0,90.0,12.24,-28.44,77.80303883857053
0.0,90.0,12.56,-30.32,154.17977525157116
0.0,90.0,12.88,-33.94,-102.02518283156388
0.0,90.0,13.2,-32.67,-19.57451523392834
0.0,90.0,13.52,-32.99,54.38756515104389
0.0,90.0,13.84,-32.81,136.11123346053412
0.0,90.0,14.16,-31.22,-159.91803339898337
0.0,90.0,14.48,-33.31,131.40389720360744
0.0,90.0,14.8,-28.28,25.878612488298007
0.0,90.0,15.12,-27.23,64.8662255793803
0.0,90.0,15.44,-27.58,120.64302134187005
0.0,90.0,15.76,-28.39,171.8636551434638
0.0,90.0,16.08,-27.83,-132.92379357974627
0.0,90.0,16.4,-30.54,-82.7995070438201
0.0,90.0,16.72,-31.26,-52.538357207537366
0.0,90.0,17.04,-33.62,-13.292677002375479
0.0,90.0,17.36,-37.92,30.554173221515082
0.0,90.0,17.68,-42.2,86.0301049788942
0.0,90.0,18.0,-42.76,157.24973065067854
1.0,90.0,2.0,-15.78,-44.691177853144254
1.0,90.0,2.32,-17.65,-113.77851342880875
1.0,90.0,2.64,-19.38,-41.77041128428424
1.0,90.0,2.96,-17.32,15.464057409183354
1.0,90.0,3.28,-19.08,90.73778668509686
1.0,90.0,3.6,-18.19,168.77608288964757
1.0,90.0,3.92,-18.09,-93.33228499121098
1.0,90.0,4.24,-19.27,-8.403843743777477
1.0,90.0,4.56,-18.14,74.74280740896083
1.0,90.0,4.88,-17.66,167.3309833190437
1.0,90.0,5.2,-19.27,-109.38138843382649
1.0,90.0,5.52,-18.75,-11.005241857326197
1.0,90.0,5.84,-19.75,87.92676013741068
1.0,90.0,6.16,-19.88,175.49626833965712
1.0,90.0,6.48,-21.92,-81.99981620480959
1.0,90.0,6.8,-20.78,15.750938777464471
1.0,90.0,7.12,-21.29,106.46363796094732
1.0,90.0,7.44,-21.44,-163.14599644101727
1.0,90.0,7.76,-22.37,-76.17201399728322
1.0,90.0,8.08,-21.38,22.80523255484808
1.0,90.0,8.4,-21.97,109.76711984800698
1.0,90.0,8.72,-23.46,-155.48996019871913
1.0,90.0,9.04,-23.57,-63.36262932377375
1.0,90.0,9.36,-24.33,29.867096325238933
1.0,90.0,9.68,-26.06,123.3878195439615
1.0,90.0,10.0,-25.46,-147.14156996530434
1.0,90.0,10.32,-25.93,-63.84165414601484
1.0,90.0,10.64,-26.5,28.205908123617803
1.0,90.0,10.96,-26.04,114.74512827203962
1.0,90.0,11.28,-26.63,-167.95027951124914
1.0,90.0,11.6,-27.54,-79.57478475251835
1.0,90.0,11.92,-27.45,4.763276558871004
1.0,90.0,12.24,-28.46,78.88282676090293
1.0,90.0,12.56,-30.16,155.1683534624665
1.0,90.0,12.88,-33.97,-101.34190081905248
1.0,90.0,13.2,-32.44,-18.53671315740721
1.0,90.0,13.52,-32.86,55.311736099191506
1.0,90.0,13.84,-32.71,136.2820529347717
1.0,90.0,14.16,-31.18,-159.5709883388557
1.0,90.0,14.48,-33.17,132.92689698792194
1.0,90.0,14.8,-28.25,26.329479122876048
1.0,90.0,15.12,-27.16,65.56716393371323
1.0,90.0,15.44,-27.55,121.6493044198015
1.0,90.0,15.76,-28.29,172.2342230539969
1.0,90.0,16.08,-27.7,-132.65327998030867
1.0,90.0,16.4,-30.56,-81.21385603262517
1.0,90.0,16.72,-31.06,-52.468994765738096
1.0,90.0,17.04,-33.41,-13.161715635475675
1.0,90.0,17.36,-38.12,29.654064195429736
1.0,90.0,17.68,-42.58,85.1735781241409
1.0,90.0,18.0,-43.0,162.60169117025418
2.0,90.0,2.0,-16.0,-46.53404534080884
2.0,90.0,2.32,-17.84,-112.03527888934417
2.0,90.0,2.64,-19.62,-40.01749745104941
2.0,90.0,2.96,-17.57,16.906146613888563
2.0,90.0,3.28,-19.36,91.70144297115806
2.0,90.0,3.6,-18.59,170.5876704085415
2.0,90.0,3.92,-18.5,-91.34224720501521
2.0,90.0,4.24,-19.45,-3.6315088345172053
2.0,90.0,4.56,-18.16,77.02268332010648
2.0,90.0,4.88,-17.78,170.09072533544992
2.0,90.0,5.2,-19.19,-107.31780916215288
2.0,90.0,5.52,-18.76,-9.528801495746727
2.0,90.0,5.84,-19.82,89.48598491189654
2.0,90.0,6.16,-19.98,177.14297562522864
2.0,90.0,6.48,-21.96,-80.35584842830681
2.0,90.0,6.8,-20.89,17.792282002763756
2.0,90.0,7.12,-21.36,108.14847156647568
2.0,90.0,7.44,-21.39,-160.90999461716137
2.0,90.0,7.76,-22.29,-73.88122277536252
2.0,90.0,8.08,-21.34,24.97666223713114
2.0,90.0,8.4,-21.93,111.49499865575984
2.0,90.0,8.72,-23.6,-153.1000500217682
2.0,90.0,9.04,-23.54,-60.13192377533465
2.0,90.0,9.36,-24.05,31.36555689305605
2.0,90.0,9.68,-25.8,123.44761992226171
2.0,90.0,10.0,-25.35,-147.36241428558245
2.0,90.0,10.32,-25.76,-63.29300112995058
2.0,90.0,10.64,-26.44,28.0720159231297
2.0,90.0,10.96,-26.05,113.9222330085761
2.0,90.0,11.28,-26.78,-168.9076771442338
2.0,90.0,11.6,-27.78,-79.62381144102534
2.0,90.0,11.92,-27.68,5.012343077435861
2.0,90.0,12.24,-28.66,79.42410524726283
2.0,90.0,12.56,-30.35,155.7717201642831
2.0,90.0,12.88,-34.23,-100.7748160515298
2.0,90.0,13.2,-32.69,-17.151305749220125
2.0,90.0,13.52,-33.12,56.49921806519673
2.0,90.0,13.84,-32.71,137.81291832357692
2.0,90.0,14.16,-31.28,-157.82176251666635
2.0,90.0,14.48,-33.4,135.03255989830166
2.0,90.0,14.8,-28.43,28.96719106162993
2.0,90.0,15.12,-27.36,68.57574159106868
2.0,90.0,15.44,-27.65,123.49769183625416
2.0,90.0,15.76,-28.35,174.12073678509574
2.0,90.0,16.08,-27.76,-131.0453660930242
2.0,90.0,16.4,-30.56,-81.66638296499958
2.0,90.0,16.72,-31.27,-52.30541751265257
2.0,90.0,17.04,-33.72,-11.760476373894825
2.0,90.0,17.36,-38.46,30.101596758651905
2.0,90.0,17.68,-42.87,88.9975323263135
2.0,90.0,18.0,-43.56,167.12489804726195
3.0,90.0,2.0,-16.2,-48.776018228735815
3.0,90.0,2.32,-18.04,-110.06316157731223
3.0,90.0,2.64,-19.86,-37.72970270899454
3.0,90.0,2.96,-17.73,19.338139220086216
3.0,90.0,3.28,-19.66,93.69731658861465
3.0,90.0,3.6,-18.94,173.52495431454432
3.0,90.0,3.92,-18.75,-88.6187390326449
3.0,90.0,4.24,-19.69,-0.308880749429375
3.0,90.0,4.56,-18.22,80.17501144827673
3.0,90.0,4.88,-17.86,172.95171782010289
3.0,90.0,5.2,-19.19,-104.7736363573824
3.0,90.0,5.52,-18.83,-7.727360972730867
3.0,90.0,5.84,-19.93,91.1553413697652
3.0,90.0,6.16,-20.06,178.13374248524352
3.0,90.0,6.48,-22.08,-79.34932832738167
3.0,90.0,6.8,-20.99,19.867829629749753
3.0,90.0,7.12,-21.42,109.8455616701141
3.0,90.0,7.44,-21.41,-159.05321053729793
3.0,90.0,7.76,-22.22,-72.04487861797958
3.0,90.0,8.08,-21.39,26.875689715205556
3.0,90.0,8.4,-21.92,113.0014619482735
3.0,90.0,8.72,-23.74,-152.16256222336457
3.0,90.0,9.04,-23.62,-58.928261617320416
3.0,90.0,9.36,-24.11,32.677343463081186
3.0,90.0,9.68,-25.78,124.85568854444709
3.0,90.0,10.0,-25.34,-145.7697361379412
3.0,90.0,10.32,-25.76,-61.734003636383335
3.0,90.0,10.64,-26.5,29.298382582265994
3.0,90.0,10.96,-26.1,115.24595599433805
3.0,90.0,11.28,-26.87,-168.12742485325398
3.0,90.0,11.6,-27.98,-79.08186130689116
3.0,90.0,11.92,-27.9,5.901645423504258
3.0,90.0,12.24,-28.88,81.05550331003307
3.0,90.0,12.56,-30.57,157.97989311958483
3.0,90.0,12.88,-34.32,-99.43715127721262
3.0,90.0,13.2,-32.87,-15.732937547062143
3.0,90.0,13.52,-33.24,57.829936685987406
3.0,90.0,13.84,-32.92,139.82641932586188
3.0,90.0,14.16,-31.61,-157.09266603271237
3.0,90.0,14.48,-33.76,136.27860632834245
3.0,90.0,14.8,-28.72,28.535512601907055
3.0,90.0,15.12,-27.77,68.8723902745477
3.0,90.0,15.44,-28.12,124.21387584429006
3.0,90.0,15.76,-28.5,176.09909319636162
3.0,90.0,16.08,-28.06,-129.26287535161853
3.0,90.0,16.4,-30.96,-80.28891422172138
3.0,90.0,16.72,-31.82,-50.031216779642904
3.0,90.0,17.04,-34.38,-9.41819413106422
3.0,90.0,17.36,-39.37,34.30357824957717
3.0,90.0,17.68,-44.14,93.45516366031312
3.0,90.0,18.0,-44.23,173.2456254054508
4.0,90.0,2.0,-16.53,-55.65579695399888
4.0,90.0,2.32,-18.26,-103.91311406327328
4.0,90.0,2.64,-20.09,-31.383155709205848
4.0,90.0,2.96,-17.98,26.004274116992175
4.0,90.0,3.28,-20.06,98.87526558881095
4.0,90.0,3.6,-19.24,179.63169354855924
4.0,90.0,3.92,-18.96,-82.55108741998579
4.0,90.0,4.24,-19.79,5.916330708689604
4.0,90.0,4.56,-18.06,85.72440917255047
4.0,90.0,4.88,-17.67,177.89846344358625
4.0,90.0,5.2,-18.99,-100.6634824701911
4.0,90.0,5.52,-18.78,-4.56253382153461
4.0,90.0,5.84,-19.89,94.34256607126474
4.0,90.0,6.16,-20.03,-178.94774465226556
4.0,90.0,6.48,-22.07,-75.78706970782731
4.0,90.0,6.8,-20.92,23.605562011392028
4.0,90.0,7.12,-21.36,113.701525075413
4.0,90.0,7.44,-21.36,-155.95240248548333
4.0,90.0,7.76,-22.18,-68.71252292907336
4.0,90.0,8.08,-21.33,29.83244596011848
4.0,90.0,8.4,-21.92,115.23119492087535
4.0,90.0,8.72,-23.64,-151.6362773179542
4.0,90.0,9.04,-23.6,-57.775407385895605
4.0,90.0,9.36,-24.09,33.7060075285349
4.0,90.0,9.68,-25.82,127.30832300390128
4.0,90.0,10.0,-25.34,-143.69965176245748
4.0,90.0,10.32,-25.74,-60.27443908947843
4.0,90.0,10.64,-26.5,29.818465753865084
4.0,90.0,10.96,-26.19,116.18650705492385
4.0,90.0,11.28,-27.0,-167.49888400244615
4.0,90.0,11.6,-28.17,-77.13823369965164
4.0,90.0,11.92,-28.1,7.2266188264178695
4.0,90.0,12.24,-29.17,83.07303697421754
4.0,90.0,12.56,-30.9,159.5652248625224
4.0,90.0,12.88,-34.46,-95.95812302833103
4.0,90.0,13.2,-32.94,-13.038077196802236
4.0,90.0,13.52,-33.31,58.98046369480192
4.0,90.0,13.84,-33.14,141.05704873091716
4.0,90.0,14.16,-31.72,-156.04609987346808
4.0,90.0,14.48,-33.93,136.2435290828992
