# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-03-25 14:16:15","created_utc":"2026-03-25T18:16:15.236047Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,2.0,-29.1,-36.23394052423267
0.0,0.0,2.32,-36.21,-105.9919951063828
0.0,0.0,2.64,-55.87,-0.6903784221424559
0.0,0.0,2.96,-31.54,-173.9115617058742
0.0,0.0,3.28,-33.99,-96.75565800672129
0.0,0.0,3.6,-34.78,-61.32096664722439
0.0,0.0,3.92,-40.12,65.12000380671527
0.0,0.0,4.24,-43.98,171.07997744695106
0.0,0.0,4.56,-53.04,-84.93763307574216
0.0,0.0,4.88,-44.97,148.0142332850081
0.0,0.0,5.2,-37.78,-164.38616194761985
0.0,0.0,5.52,-39.03,-62.05799555238405
0.0,0.0,5.84,-39.17,6.6695018845691365
0.0,0.0,6.16,-45.18,98.08108347942789
0.0,0.0,6.48,-59.81,-165.97496606744113
0.0,0.0,6.8,-52.97,62.34414855821048
0.0,0.0,7.12,-46.24,-150.6764325177921
0.0,0.0,7.44,-45.41,-57.03116022428179
0.0,0.0,7.76,-43.18,22.596881881119344
0.0,0.0,8.08,-44.27,81.21455957413679
0.0,0.0,8.4,-59.18,-99.67618554772817
0.0,0.0,8.72,-54.79,50.16825473061942
0.0,0.0,9.04,-52.75,-148.97131308048287
0.0,0.0,9.36,-55.64,-12.580159936001431
0.0,0.0,9.68,-57.2,-3.0197787668840506
0.0,0.0,10.0,-49.15,91.3394160607239
0.0,0.0,10.32,-52.52,-179.9138882378617
0.0,0.0,10.64,-62.18,-100.19062958263345
0.0,0.0,10.96,-56.9,91.72940397146954
0.0,0.0,11.28,-63.66,-179.495555148912
0.0,0.0,11.6,-59.91,-47.207648516703784
0.0,0.0,11.92,-55.28,53.55749696212046
0.0,0.0,12.24,-55.48,118.89270203907262
0.0,0.0,12.56,-61.95,-174.52409815892887
0.0,0.0,12.88,-70.15,-47.49377833752971
0.0,0.0,13.2,-68.04,105.70298315202638
0.0,0.0,13.52,-72.03,-151.2553416375028
0.0,0.0,13.84,-61.49,-39.38278828033545
0.0,0.0,14.16,-58.62,30.568740354270705
0.0,0.0,14.48,-63.52,-24.821978942587204
0.0,0.0,14.8,-62.41,-156.01000473979047
0.0,0.0,15.12,-64.64,-137.24641723346596
0.0,0.0,15.44,-65.4,20.228775447741246
0.0,0.0,15.76,-66.68,87.63634980064447
0.0,0.0,16.08,-63.19,-130.43508505553459
0.0,0.0,16.4,-64.67,-68.07802584980195
0.0,0.0,16.72,-63.99,-48.063586120077545
0.0,0.0,17.04,-80.62,-28.341462490630068
0.0,0.0,17.36,-86.25,135.259122864916
0.0,0.0,17.68,-78.93,120.67792916971003
0.0,0.0,18.0,-71.6,-31.258997365506673
0.0,1.0,2.0,-29.08,-35.77394897205827
0.0,1.0,2.32,-36.06,-107.27669254979305
0.0,1.0,2.64,-55.08,-4.045490099181127
0.0,1.0,2.96,-31.76,-171.11449398058554
0.0,1.0,3.28,-33.82,-98.4628370235142
0.0,1.0,3.6,-34.46,-62.9131564611528
0.0,1.0,3.92,-39.71,64.0798992471737
0.0,1.0,4.24,-43.72,170.43494692002014
0.0,1.0,4.56,-53.72,-87.64401585664775
0.0,1.0,4.88,-45.11,145.4846434117666
0.0,1.0,5.2,-37.69,-164.10689897886553
0.0,1.0,5.52,-39.01,-59.87251696389163
0.0,1.0,5.84,-38.89,7.200341081676943
0.0,1.0,6.16,-45.03,104.62375707440323
0.0,1.0,6.48,-60.52,161.79573715713278
0.0,1.0,6.8,-53.31,52.03156494053658
0.0,1.0,7.12,-46.18,-151.2880852412957
0.0,1.0,7.44,-43.73,-61.27745578395685
0.0,1.0,7.76,-42.69,24.67827935862858
0.0,1.0,8.08,-44.68,76.86738373509856
0.0,1.0,8.4,-60.28,-149.42557710257574
0.0,1.0,8.72,-53.36,15.265727126676678
0.0,1.0,9.04,-49.73,-174.41902902800987
0.0,1.0,9.36,-50.07,-38.163218522105
0.0,1.0,9.68,-55.27,52.33301983882447
0.0,1.0,10.0,-50.34,95.26998140595522
0.0,1.0,10.32,-51.21,167.52784600222233
0.0,1.0,10.64,-55.01,-98.91496707763926
0.0,1.0,10.96,-56.07,80.32741573160395
0.0,1.0,11.28,-63.02,171.9176407662573
0.0,1.0,11.6,-59.67,-43.24450763557007
0.0,1.0,11.92,-54.93,48.811876991243174
0.0,1.0,12.24,-54.68,122.57548110534806
0.0,1.0,12.56,-59.21,-168.49814724800063
0.0,1.0,12.88,-74.52,-28.537250220800814
0.0,1.0,13.2,-62.79,99.92780375483864
0.0,1.0,13.52,-69.6,-177.5727020811909
0.0,1.0,13.84,-63.2,-20.575859284569052
0.0,1.0,14.16,-61.72,27.988992804912737
0.0,1.0,14.48,-62.96,-50.63727099728599
0.0,1.0,14.8,-59.46,-145.99350020493208
0.0,1.0,15.12,-69.04,-160.1096212847711
0.0,1.0,15.44,-85.21,-51.35718478468964
0.0,1.0,15.76,-68.23,98.17267012810088
0.0,1.0,16.08,-70.11,-172.83892452366868
0.0,1.0,16.4,-62.69,-82.17437247309688
0.0,1.0,16.72,-65.26,-34.48676219681815
0.0,1.0,17.04,-65.91,-12.538449262557059
0.0,1.0,17.36,-75.73,117.0244816121073
0.0,1.0,17.68,-72.9,-158.1187970660793
0.0,1.0,18.0,-78.49,-68.74980692189948
0.0,2.0,2.0,-29.07,-35.80278626730125
0.0,2.0,2.32,-35.93,-108.60711092082286
0.0,2.0,2.64,-54.07,-11.641781827443374
0.0,2.0,2.96,-31.9,-168.50940643099148
0.0,2.0,3.28,-33.73,-100.46656008082034
0.0,2.0,3.6,-34.06,-63.960770485457104
0.0,2.0,3.92,-39.17,63.66753933052102
0.0,2.0,4.24,-43.11,170.85965021697214
0.0,2.0,4.56,-55.98,-94.71461954655675
0.0,2.0,4.88,-45.32,146.9107058591814
0.0,2.0,5.2,-37.84,-162.80639714905865
0.0,2.0,5.52,-39.19,-58.14587837971503
0.0,2.0,5.84,-38.6,6.849055622894754
0.0,2.0,6.16,-44.13,106.72482494989407
0.0,2.0,6.48,-62.01,160.7349342157442
0.0,2.0,6.8,-52.9,48.18844017355282
0.0,2.0,7.12,-45.78,-154.02370956312762
0.0,2.0,7.44,-43.02,-66.62334053555833
0.0,2.0,7.76,-42.3,26.487193713225775
0.0,2.0,8.08,-45.1,77.9865314760679
0.0,2.0,8.4,-62.06,152.63186142187905
0.0,2.0,8.72,-51.36,-19.464536272414673
0.0,2.0,9.04,-48.8,156.201207015099
0.0,2.0,9.36,-47.15,-68.36009553996959
0.0,2.0,9.68,-50.17,48.17735848297902
0.0,2.0,10.0,-50.53,101.01670530360074
0.0,2.0,10.32,-51.84,162.23772074653985
0.0,2.0,10.64,-55.25,-108.98138173820068
0.0,2.0,10.96,-55.84,65.08216781886493
0.0,2.0,11.28,-61.39,163.0646663382047
0.0,2.0,11.6,-62.14,-32.402764283166334
0.0,2.0,11.92,-55.95,47.80471966664085
0.0,2.0,12.24,-54.81,120.32992796460945
0.0,2.0,12.56,-57.85,-175.07454867170347
0.0,2.0,12.88,-71.21,-76.95762728957217
0.0,2.0,13.2,-66.11,87.62266969712233
0.0,2.0,13.52,-73.74,-177.20532857638486
0.0,2.0,13.84,-62.76,-51.63523527296784
0.0,2.0,14.16,-59.03,5.053311392040547
0.0,2.0,14.48,-63.6,-38.229751150581805
0.0,2.0,14.8,-58.98,-148.11651111426156
0.0,2.0,15.12,-71.19,-93.51223966446881
0.0,2.0,15.44,-69.88,82.15092634167108
0.0,2.0,15.76,-73.8,144.0106747098125
0.0,2.0,16.08,-71.97,-149.90063195323577
0.0,2.0,16.4,-65.05,-92.6654748021639
0.0,2.0,16.72,-64.19,-36.799797058402426
0.0,2.0,17.04,-70.14,35.42382698639193
0.0,2.0,17.36,-69.57,102.21847291719801
0.0,2.0,17.68,-83.49,-103.45601177575433
0.0,2.0,18.0,-77.46,-62.11115941390649
0.0,3.0,2.0,-29.06,-36.52448142403336
0.0,3.0,2.32,-35.81,-109.71278419737854
0.0,3.0,2.64,-52.44,-23.18698521972349
0.0,3.0,2.96,-31.85,-165.38933183459778
0.0,3.0,3.28,-33.77,-102.01402203539824
