# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":7.0,"stop_ghz":13.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-03-27 15:32:07","created_utc":"2026-03-27T19:32:07.856113Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,7.0,-44.46,89.6793221276221
0.0,0.0,7.12,-44.6,-1.2658160905909894
0.0,0.0,7.24,-47.52,-93.84237247628286
0.0,0.0,7.36,-46.32,178.1486533924429
0.0,0.0,7.48,-47.11,104.61624510790381
0.0,0.0,7.6,-47.08,17.692742864303515
0.0,0.0,7.72,-48.29,-69.92484838883537
0.0,0.0,7.84,-47.75,-144.43835028009153
0.0,0.0,7.96,-49.42,135.1577295448573
0.0,0.0,8.08,-49.85,63.87359987347057
0.0,0.0,8.2,-47.69,-11.400078616410568
0.0,0.0,8.32,-46.03,-102.72434375535954
0.0,0.0,8.44,-46.92,170.1440424643856
0.0,0.0,8.56,-47.25,97.21375670608423
0.0,0.0,8.68,-46.73,19.275810416748858
0.0,0.0,8.8,-45.35,-63.682458668823216
0.0,0.0,8.92,-44.24,-152.97914573990832
0.0,0.0,9.04,-44.46,124.76160916113085
0.0,0.0,9.16,-44.24,34.86677077896027
0.0,0.0,9.28,-43.4,-53.523545623248566
0.0,0.0,9.4,-43.43,-145.55867566903297
0.0,0.0,9.52,-44.17,125.76243867066653
0.0,0.0,9.64,-45.54,41.40730155706002
0.0,0.0,9.76,-45.79,-39.502518319168196
0.0,0.0,9.88,-48.02,-137.89446287380602
0.0,0.0,10.0,-47.99,149.98334852089314
0.0,0.0,10.12,-49.49,68.18974769526736
0.0,0.0,10.24,-48.45,-4.039442084102829
0.0,0.0,10.36,-48.63,-96.8913011248808
0.0,0.0,10.48,-48.06,-173.1465768559448
0.0,0.0,10.6,-48.15,99.7088242304253
0.0,0.0,10.72,-48.67,6.770796474418532
0.0,0.0,10.84,-49.93,-80.54531945517863
0.0,0.0,10.96,-49.06,-161.87952080877392
0.0,0.0,11.08,-51.29,117.74074192228049
0.0,0.0,11.2,-52.76,27.938703109584743
0.0,0.0,11.32,-55.16,-54.322526610532655
0.0,0.0,11.44,-55.52,-129.60313396640578
0.0,0.0,11.56,-56.3,157.58548073114127
0.0,0.0,11.68,-57.0,84.25858076901383
0.0,0.0,11.8,-56.38,3.275907843141226
0.0,0.0,11.92,-56.69,-84.41530985914818
0.0,0.0,12.04,-57.38,-149.3755359322308
0.0,0.0,12.16,-54.93,131.02728742636734
0.0,0.0,12.28,-56.07,43.727238955281095
0.0,0.0,12.4,-55.93,-48.8628194189768
0.0,0.0,12.52,-54.95,-128.13834403165188
0.0,0.0,12.64,-57.1,142.4092154054838
0.0,0.0,12.76,-60.38,78.79970543748452
0.0,0.0,12.88,-58.03,6.97164166770944
0.0,0.0,13.0,-56.34,-80.71149013098824
0.0,1.0,7.0,-44.26,88.40031849220293
0.0,1.0,7.12,-44.82,2.307062083813185
0.0,1.0,7.24,-47.62,-87.9499056930699
0.0,1.0,7.36,-46.76,-172.51653337747143
0.0,1.0,7.48,-47.21,110.80147786684974
0.0,1.0,7.6,-46.9,25.62976918166166
0.0,1.0,7.72,-47.59,-60.58192865648487
0.0,1.0,7.84,-46.95,-140.39117617811564
