# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":7.0,"stop_ghz":13.0,"points":51,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-03-27 15:55:02","created_utc":"2026-03-27T19:55:02.381139Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,7.0,-44.56,88.64050808101706
0.0,0.0,7.12,-44.85,-0.44815598583037286
0.0,0.0,7.24,-47.78,-92.58940520138229
0.0,0.0,7.36,-46.37,-177.96151268382621
0.0,0.0,7.48,-47.46,103.56706733621756
0.0,0.0,7.6,-47.13,19.197257829385507
0.0,0.0,7.72,-48.01,-68.45679238389663
0.0,0.0,7.84,-47.46,-143.29486641031485
0.0,0.0,7.96,-49.4,137.57886639104356
0.0,0.0,8.08,-49.76,65.16457964312555
0.0,0.0,8.2,-47.71,-7.48241506427513
0.0,0.0,8.32,-45.67,-103.50776237982349
0.0,0.0,8.44,-46.37,173.09171230301405
0.0,0.0,8.56,-47.24,99.5520980925423
0.0,0.0,8.68,-46.56,21.57147068208692
0.0,0.0,8.8,-45.43,-61.67060698945851
0.0,0.0,8.92,-44.13,-151.74650989771126
0.0,0.0,9.04,-44.47,127.1105860710791
0.0,0.0,9.16,-44.13,38.889240223043416
0.0,0.0,9.28,-43.54,-53.16991230459048
0.0,0.0,9.4,-43.27,-143.2652690720304
0.0,0.0,9.52,-44.08,129.21554567552832
0.0,0.0,9.64,-45.36,43.87151028519429
0.0,0.0,9.76,-45.93,-40.124574686200596
0.0,0.0,9.88,-47.84,-137.04164534716057
0.0,0.0,10.0,-47.77,149.60241462533475
0.0,0.0,10.12,-49.3,68.46853437813303
0.0,0.0,10.24,-48.16,-1.8437819150625354
0.0,0.0,10.36,-48.87,-99.14138092678051
0.0,0.0,10.48,-47.86,-177.6783297310148
0.0,0.0,10.6,-47.84,97.49817943338064
0.0,0.0,10.72,-49.04,12.252479325617525
0.0,0.0,10.84,-49.7,-77.45076674270726
0.0,0.0,10.96,-49.03,-159.81460390862674
0.0,0.0,11.08,-51.72,109.40300506528575
0.0,0.0,11.2,-53.08,32.00075595179384
0.0,0.0,11.32,-54.55,-53.62099151556089
0.0,0.0,11.44,-54.74,-124.15564460104818
0.0,0.0,11.56,-55.6,157.6915938459751
0.0,0.0,11.68,-55.99,85.5750454636343
0.0,0.0,11.8,-57.78,2.1496506351222577
0.0,0.0,11.92,-57.17,-78.09100318859645
0.0,0.0,12.04,-56.75,-145.18796347132263
0.0,0.0,12.16,-54.56,132.96555282821316
0.0,0.0,12.28,-56.04,46.46858774493273
0.0,0.0,12.4,-55.52,-45.0388993504608
0.0,0.0,12.52,-56.08,-128.17023198094535
0.0,0.0,12.64,-58.24,146.2794186570465
0.0,0.0,12.76,-60.81,65.68316546873406
0.0,0.0,12.88,-57.11,6.680972825952743
0.0,0.0,13.0,-56.2,-82.70911347914517
0.0,1.0,7.0,-44.35,87.22708710666552
0.0,1.0,7.12,-44.91,0.9905707110505326
0.0,1.0,7.24,-47.54,-87.85527170955761
0.0,1.0,7.36,-46.49,-173.03037095370667
0.0,1.0,7.48,-47.21,110.79382674541789
0.0,1.0,7.6,-47.03,23.517172547444183
0.0,1.0,7.72,-48.02,-63.41522675200655
0.0,1.0,7.84,-47.09,-139.83527731452295
0.0,1.0,7.96,-49.08,142.1474447646833
0.0,1.0,8.08,-49.2,70.39376893350205
0.0,1.0,8.2,-47.57,-6.802924356903147
0.0,1.0,8.32,-46.5,-98.58136263801799
0.0,1.0,8.44,-47.31,-177.16779202735083
0.0,1.0,8.56,-47.79,110.6631469177857
0.0,1.0,8.68,-46.24,33.483999288218094
0.0,1.0,8.8,-45.18,-50.371463774339055
0.0,1.0,8.92,-44.06,-141.45392518961927
0.0,1.0,9.04,-44.44,136.27821931070653
0.0,1.0,9.16,-44.06,50.64944009319809
0.0,1.0,9.28,-43.03,-39.71730781818547
0.0,1.0,9.4,-43.59,-132.16882862718822
0.0,1.0,9.52,-43.9,139.1677568554369
0.0,1.0,9.64,-45.29,56.74364855709084
0.0,1.0,9.76,-45.24,-31.14172166284347
0.0,1.0,9.88,-47.86,-126.01336418476228
0.0,1.0,10.0,-48.06,163.98805558560449
0.0,1.0,10.12,-49.1,79.79784678475082
0.0,1.0,10.24,-47.47,6.452966739137128
0.0,1.0,10.36,-48.95,-88.04659982539782
0.0,1.0,10.48,-48.23,-165.3462195525527
0.0,1.0,10.6,-47.93,106.11628459052048
0.0,1.0,10.72,-48.65,20.943693945566565
0.0,1.0,10.84,-49.21,-68.23554567305423
0.0,1.0,10.96,-48.9,-153.61519218844353
0.0,1.0,11.08,-52.05,123.15426724625986
0.0,1.0,11.2,-52.91,44.55937114813886
0.0,1.0,11.32,-53.66,-34.27694787706656
0.0,1.0,11.44,-54.3,-117.57537266604103
0.0,1.0,11.56,-55.13,170.14751783534226
0.0,1.0,11.68,-55.92,90.03693032477723
0.0,1.0,11.8,-55.83,13.305623512745516
0.0,1.0,11.92,-56.88,-58.99770414220299
0.0,1.0,12.04,-55.89,-137.8711810476635
0.0,1.0,12.16,-55.14,131.70481691043582
0.0,1.0,12.28,-56.31,46.91999214614214
0.0,1.0,12.4,-55.95,-36.405565958810165
0.0,1.0,12.52,-58.38,-123.47272805673143
0.0,1.0,12.64,-58.51,157.7276204695402
0.0,1.0,12.76,-57.31,96.51869996245472
0.0,1.0,12.88,-57.71,16.785374625666442
0.0,1.0,13.0,-56.17,-69.65650392377086
0.0,2.0,7.0,-44.55,83.65182311717211
0.0,2.0,7.12,-44.82,9.161452526058703
0.0,2.0,7.24,-47.73,-83.3627440105731
0.0,2.0,7.36,-46.42,-162.84482527398828
0.0,2.0,7.48,-47.13,118.31136879868029
0.0,2.0,7.6,-46.48,32.33907656477589
0.0,2.0,7.72,-47.06,-52.687140396160004
0.0,2.0,7.84,-47.04,-137.0745892241698
0.0,2.0,7.96,-49.58,146.96561807033305
0.0,2.0,8.08,-49.11,71.90730555846692
0.0,2.0,8.2,-48.02,-2.5553648233155783
0.0,2.0,8.32,-47.1,-95.50428903624388
0.0,2.0,8.44,-48.13,-168.7724617353552
0.0,2.0,8.56,-47.72,125.94052033908868
0.0,2.0,8.68,-46.0,43.390105510614305
0.0,2.0,8.8,-44.65,-43.40058495254834
0.0,2.0,8.92,-44.39,-133.88773266934876
0.0,2.0,9.04,-44.61,148.19379764984922
0.0,2.0,9.16,-43.92,60.74052622809981
0.0,2.0,9.28,-43.36,-30.31624371660966
0.0,2.0,9.4,-43.22,-122.696469347318
0.0,2.0,9.52,-43.66,149.9845275649782
0.0,2.0,9.64,-44.94,65.34953386668123
0.0,2.0,9.76,-44.72,-22.091516487585544
0.0,2.0,9.88,-47.9,-117.53001395607154
0.0,2.0,10.0,-47.52,172.7500506982839
0.0,2.0,10.12,-48.7,91.44316447923003
0.0,2.0,10.24,-47.32,10.488359023951615
0.0,2.0,10.36,-49.46,-77.24965128887642
0.0,2.0,10.48,-47.87,-151.79802941525585
0.0,2.0,10.6,-47.27,116.87187378512863
0.0,2.0,10.72,-47.89,31.824942242409026
0.0,2.0,10.84,-49.56,-59.61180820252685
0.0,2.0,10.96,-49.97,-147.55244994545382
0.0,2.0,11.08,-52.47,131.3803184965007
0.0,2.0,11.2,-52.62,58.90433180955311
0.0,2.0,11.32,-53.32,-22.45792688958925
0.0,2.0,11.44,-53.64,-109.6326090914481
0.0,2.0,11.56,-55.1,173.8095090159028
0.0,2.0,11.68,-54.74,99.61309308027697
0.0,2.0,11.8,-56.69,23.375359044072702
0.0,2.0,11.92,-55.71,-51.384416270476535
0.0,2.0,12.04,-55.63,-131.59807751839364
0.0,2.0,12.16,-55.12,142.44607738765185
0.0,2.0,12.28,-56.96,62.086470523843694
0.0,2.0,12.4,-56.69,-23.414603469061994
0.0,2.0,12.52,-58.01,-113.14324038173969
0.0,2.0,12.64,-57.52,171.7306108410049
0.0,2.0,12.76,-57.81,104.25362834973313
0.0,2.0,12.88,-56.85,37.560350408908626
0.0,2.0,13.0,-56.98,-52.4207526233106
0.0,3.0,7.0,-44.71,76.73955404340326
0.0,3.0,7.12,-44.58,13.814773688959304
0.0,3.0,7.24,-47.89,-75.00665559524984
0.0,3.0,7.36,-46.34,-152.932117637258
0.0,3.0,7.48,-46.61,127.5565437027001
0.0,3.0,7.6,-45.64,37.03302065799855
0.0,3.0,7.72,-47.35,-54.391056313777405
0.0,3.0,7.84,-46.73,-136.89274371894052
0.0,3.0,7.96,-49.8,145.54597621499292
0.0,3.0,8.08,-49.43,75.52664487051103
0.0,3.0,8.2,-48.47,-0.6001674867104158
0.0,3.0,8.32,-47.88,-85.2790606506149
0.0,3.0,8.44,-48.17,-156.61199574116014
0.0,3.0,8.56,-47.37,137.8586729399011
0.0,3.0,8.68,-45.86,52.07030222335893
0.0,3.0,8.8,-44.6,-34.32143642521234
0.0,3.0,8.92,-44.81,-120.42849164413074
0.0,3.0,9.04,-44.3,158.5423165764832
0.0,3.0,9.16,-43.54,69.30804589392025
0.0,3.0,9.28,-43.27,-22.615677125902838
0.0,3.0,9.4,-42.72,-110.3553221781496
0.0,3.0,9.52,-43.4,158.104558664079
0.0,3.0,9.64,-44.42,71.11629376435661
0.0,3.0,9.76,-45.07,-14.218734621820298
0.0,3.0,9.88,-48.2,-102.38886817832046
0.0,3.0,10.0,-47.21,-176.0310944966913
0.0,3.0,10.12,-48.08,96.38125442760331
0.0,3.0,10.24,-47.55,20.10152715315271
0.0,3.0,10.36,-48.99,-66.70627922520177
0.0,3.0,10.48,-47.49,-144.03406733777985
0.0,3.0,10.6,-47.57,127.70688985894104
0.0,3.0,10.72,-48.06,42.43911728641735
0.0,3.0,10.84,-49.85,-53.4733540749666
0.0,3.0,10.96,-50.06,-130.6351710379721
0.0,3.0,11.08,-52.05,148.1426145485153
0.0,3.0,11.2,-51.87,69.61552791542856
0.0,3.0,11.32,-53.34,-16.0756414452927
0.0,3.0,11.44,-53.08,-98.60107710059901
0.0,3.0,11.56,-54.13,-173.46182307848414
0.0,3.0,11.68,-55.49,115.58531351194931
0.0,3.0,11.8,-56.95,30.062068231116506
0.0,3.0,11.92,-55.56,-47.173895839285926
