# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":8.0,"stop_ghz":12.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-12-16 13:03:48","created_utc":"2025-12-16T18:03:48.284144Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,8.0,-43.57,48.50108558599066
0.0,0.0,8.04,-42.9,24.43112755100086
0.0,0.0,8.08,-43.11,-9.900956335072186
0.0,0.0,8.12,-43.8,-36.126719304162435
0.0,0.0,8.16,-44.1,-64.97761403667636
0.0,0.0,8.2,-45.65,-82.12132893968567
0.0,0.0,8.24,-45.03,-106.58269443469838
0.0,0.0,8.28,-44.83,-123.31575163185829
0.0,0.0,8.32,-43.97,-159.38563659524874
0.0,0.0,8.36,-45.33,175.92861678654765
0.0,0.0,8.4,-47.6,146.06740861577092
0.0,0.0,8.44,-50.04,140.4515978363504
0.0,0.0,8.48,-50.72,141.40090924113133
0.0,0.0,8.52,-48.29,145.8915729028352
0.0,0.0,8.56,-45.08,122.01628736923723
0.0,0.0,8.6,-43.09,94.15153040811403
0.0,0.0,8.64,-42.55,59.70013298201598
0.0,0.0,8.68,-41.15,36.5058617402483
0.0,0.0,8.72,-40.96,8.060318692109822
0.0,0.0,8.76,-40.32,-19.126697434389275
0.0,0.0,8.8,-40.43,-48.02213105118529
0.0,0.0,8.84,-39.49,-77.24603487156298
0.0,0.0,8.88,-40.59,-108.4815306099866
0.0,0.0,8.92,-41.99,-132.1625273964281
0.0,0.0,8.96,-42.89,-156.77219047970482
0.0,0.0,9.0,-42.45,-174.3919923737471
0.0,0.0,9.04,-44.35,168.39478296450505
0.0,0.0,9.08,-43.79,153.85479471251372
0.0,0.0,9.12,-44.16,133.82038333851116
0.0,0.0,9.16,-43.63,121.52422110601002
0.0,0.0,9.2,-42.48,109.22080124097315
0.0,0.0,9.24,-40.41,89.39224757133333
0.0,0.0,9.28,-38.68,64.95532284919017
0.0,0.0,9.32,-36.91,33.10281351119945
0.0,0.0,9.36,-35.4,3.2935970617236645
0.0,0.0,9.4,-35.49,-27.925075145906202
0.0,0.0,9.44,-35.49,-59.50209657993457
0.0,0.0,9.48,-34.96,-91.05508526464901
0.0,0.0,9.52,-34.49,-117.55984859326173
0.0,0.0,9.56,-34.68,-146.13024326904215
0.0,0.0,9.6,-35.82,-174.66847333175053
0.0,0.0,9.64,-35.67,158.3613068572916
0.0,0.0,9.68,-35.85,130.7288405651198
0.0,0.0,9.72,-35.73,110.35318884091738
0.0,0.0,9.76,-35.52,89.13263744758387
0.0,0.0,9.8,-35.09,57.005495724260896
