# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":8.0,"stop_ghz":12.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-12-16 13:22:52","created_utc":"2025-12-16T18:22:52.514730Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,8.0,-43.43,51.46616205504427
0.0,0.0,8.04,-43.13,22.89871470958144
0.0,0.0,8.08,-43.18,-9.465691804623514
0.0,0.0,8.12,-44.0,-37.886575725625285
0.0,0.0,8.16,-44.3,-65.07796242848634
0.0,0.0,8.2,-45.52,-81.65870897778284
0.0,0.0,8.24,-44.9,-104.91439848892323
0.0,0.0,8.28,-45.02,-123.02764253356868
0.0,0.0,8.32,-43.79,-160.02164320629458
0.0,0.0,8.36,-45.0,174.01614381243164
0.0,0.0,8.4,-47.28,145.56349225382704
0.0,0.0,8.44,-50.21,138.49700669801274
0.0,0.0,8.48,-51.15,135.848654084439
0.0,0.0,8.52,-48.3,144.69854727172327
0.0,0.0,8.56,-45.01,121.61156620046714
0.0,0.0,8.6,-43.12,94.68177626378616
0.0,0.0,8.64,-42.49,59.93870576553182
0.0,0.0,8.68,-41.25,36.21886075984434
0.0,0.0,8.72,-41.0,7.029057870848404
0.0,0.0,8.76,-40.38,-18.769397099532576
0.0,0.0,8.8,-40.83,-48.34033409362029
0.0,0.0,8.84,-39.53,-78.709261344416
0.0,0.0,8.88,-40.49,-108.83394178784118
0.0,0.0,8.92,-42.06,-132.19874109742722
0.0,0.0,8.96,-42.68,-158.33238358530377
0.0,0.0,9.0,-42.97,-173.3342176969062
