# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":2.0,"stop_ghz":18.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2026-03-31 16:42:03","created_utc":"2026-03-31T20:42:03.135030Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,90.0,2.0,-17.8,-18.71989259068436
0.0,90.0,2.16,-16.85,71.01029403781324
0.0,90.0,2.32,-19.97,-44.70611638850974
0.0,90.0,2.48,-20.3,-147.75070613938294
0.0,90.0,2.64,-22.01,127.42500738048547
0.0,90.0,2.8,-18.01,29.353204658855145
0.0,90.0,2.96,-16.88,-92.28527845789145
0.0,90.0,3.12,-18.97,154.83675245957747
0.0,90.0,3.28,-21.13,69.18501231921748
0.0,90.0,3.44,-19.22,-30.422246936970147
0.0,90.0,3.6,-19.03,-142.95263743335778
0.0,90.0,3.76,-21.78,128.91512170632228
0.0,90.0,3.92,-19.84,31.25677767375512
0.0,90.0,4.08,-19.19,-75.54496377800308
0.0,90.0,4.24,-20.74,-169.60131332019782
0.0,90.0,4.4,-19.99,93.65683723265037
0.0,90.0,4.56,-19.71,-9.566454818909687
0.0,90.0,4.72,-20.17,-108.34183649912748
0.0,90.0,4.88,-19.84,161.8291155611465
0.0,90.0,5.04,-20.87,57.81513481040705
0.0,90.0,5.2,-21.78,-31.369885424653
0.0,90.0,5.36,-21.13,-124.16440786781624
0.0,90.0,5.52,-22.32,131.72053161149321
0.0,90.0,5.68,-22.15,39.5457971168828
0.0,90.0,5.84,-23.05,-53.272693373678294
0.0,90.0,6.0,-23.36,-148.7538429248472
0.0,90.0,6.16,-24.35,110.99677798320555
0.0,90.0,6.32,-25.76,22.12475029895709
0.0,90.0,6.48,-25.95,-64.67644819854169
0.0,90.0,6.64,-25.54,-159.49299123868778
0.0,90.0,6.8,-25.13,107.45644803483133
0.0,90.0,6.96,-25.64,6.273924461394745
0.0,90.0,7.12,-25.57,-85.86304667069264
0.0,90.0,7.28,-26.02,178.56313160767075
0.0,90.0,7.44,-26.16,80.11590193274182
0.0,90.0,7.6,-25.83,-16.81271678104019
0.0,90.0,7.76,-27.12,-109.99338696679455
0.0,90.0,7.92,-27.17,155.45433240899249
0.0,90.0,8.08,-26.72,67.60881578875959
0.0,90.0,8.24,-26.69,-27.184150356332943
0.0,90.0,8.4,-26.91,-131.00455353469027
0.0,90.0,8.56,-27.19,138.9622429493156
0.0,90.0,8.72,-27.84,40.600375995491724
0.0,90.0,8.88,-27.71,-57.68813653069981
0.0,90.0,9.04,-28.67,-151.7984231382169
0.0,90.0,9.2,-29.78,113.4583470598493
0.0,90.0,9.36,-29.03,17.742453508868838
0.0,90.0,9.52,-29.29,-81.59411357578854
0.0,90.0,9.68,-30.33,-176.52687438629133
0.0,90.0,9.84,-30.12,79.20435457786803
0.0,90.0,10.0,-29.8,-11.658197566678174
0.0,90.0,10.16,-30.92,-113.81523079601729
0.0,90.0,10.32,-30.78,146.58857918251107
0.0,90.0,10.48,-30.62,51.62038832758155
0.0,90.0,10.64,-30.94,-45.553070289258734
0.0,90.0,10.8,-30.87,-149.59266007166133
0.0,90.0,10.96,-30.26,115.37464971103817
0.0,90.0,11.12,-30.77,14.998237031649651
0.0,90.0,11.28,-30.32,-91.44242585459553
0.0,90.0,11.44,-30.79,166.6065290253553
0.0,90.0,11.6,-32.38,66.43342739045876
0.0,90.0,11.76,-31.82,-32.86791521332489
0.0,90.0,11.92,-32.31,-136.42320664519198
0.0,90.0,12.08,-33.25,125.80593701338115
0.0,90.0,12.24,-33.42,15.102694460560395
0.0,90.0,12.4,-34.06,-86.24598396158576
0.0,90.0,12.56,-35.08,171.10464278397637
0.0,90.0,12.72,-38.64,64.64022616749851
0.0,90.0,12.88,-38.62,-15.806567803430704
0.0,90.0,13.04,-37.62,-111.26207214363303
0.0,90.0,13.2,-36.75,138.83561337874235
0.0,90.0,13.36,-38.97,24.006191376785807
0.0,90.0,13.52,-39.13,-72.0505901379176
0.0,90.0,13.68,-37.76,-165.2334184448743
0.0,90.0,13.84,-37.58,84.15766802641237
0.0,90.0,14.0,-37.19,-26.199527123094466
0.0,90.0,14.16,-37.15,-134.24966997734674
0.0,90.0,14.32,-36.16,104.42884607397694
0.0,90.0,14.48,-40.4,-133.05619956552493
0.0,90.0,14.64,-36.45,0.038980485748970055
0.0,90.0,14.8,-34.67,-153.72402273639233
0.0,90.0,14.96,-34.47,73.64394635236849
0.0,90.0,15.12,-34.63,-43.036266563695484
0.0,90.0,15.28,-35.77,-154.31378558077822
0.0,90.0,15.44,-35.06,92.24658425799214
0.0,90.0,15.6,-36.04,-21.0489518686809
0.0,90.0,15.76,-37.44,-142.11216917516668
0.0,90.0,15.92,-36.83,105.5530754270834
0.0,90.0,16.08,-36.94,-3.1651740431943014
0.0,90.0,16.24,-38.44,-124.84000585787597
0.0,90.0,16.4,-40.91,130.71091536965417
0.0,90.0,16.56,-39.79,9.42151886427142
0.0,90.0,16.72,-40.35,-107.97340671796279
0.0,90.0,16.88,-40.83,130.9066018614047
0.0,90.0,17.04,-42.15,15.401264725715968
0.0,90.0,17.2,-43.59,-98.12140437461971
0.0,90.0,17.36,-44.24,135.60340823951532
0.0,90.0,17.52,-45.35,22.6178396705744
0.0,90.0,17.68,-47.54,-78.92653864646944
0.0,90.0,17.84,-47.38,172.56524988744397
0.0,90.0,18.0,-46.79,64.71611800553934
1.0,90.0,2.0,-17.76,-18.26261758020171
1.0,90.0,2.16,-16.88,70.26871155447199
1.0,90.0,2.32,-19.99,-45.22146707906609
1.0,90.0,2.48,-20.33,-148.14636173364175
1.0,90.0,2.64,-21.96,126.99541097644953
1.0,90.0,2.8,-17.97,28.690416543366275
1.0,90.0,2.96,-16.93,-92.72713256704716
1.0,90.0,3.12,-18.97,154.82466158354023
1.0,90.0,3.28,-21.19,68.38097788464098
1.0,90.0,3.44,-19.25,-30.83006510026597
1.0,90.0,3.6,-19.09,-143.69673496898452
1.0,90.0,3.76,-21.79,128.41651346221298
1.0,90.0,3.92,-19.93,30.918243653286837
1.0,90.0,4.08,-19.19,-76.32539309752963
1.0,90.0,4.24,-20.73,-170.07127034713923
1.0,90.0,4.4,-20.0,93.59684229970675
1.0,90.0,4.56,-19.67,-10.434279232888123
1.0,90.0,4.72,-20.19,-108.70062798429272
1.0,90.0,4.88,-19.85,161.46673090423076
1.0,90.0,5.04,-20.9,57.823816914063556
1.0,90.0,5.2,-21.78,-32.1381268718355
1.0,90.0,5.36,-21.15,-123.97186775032843
1.0,90.0,5.52,-22.31,131.56243949847146
1.0,90.0,5.68,-22.25,39.986303565564285
1.0,90.0,5.84,-23.01,-52.787071037293344
1.0,90.0,6.0,-23.39,-148.63239233981233
1.0,90.0,6.16,-24.32,112.36123464046854
1.0,90.0,6.32,-25.8,22.567332496725715
1.0,90.0,6.48,-25.91,-63.93030105514614
1.0,90.0,6.64,-25.51,-158.8997789062363
1.0,90.0,6.8,-25.18,107.86015676381129
1.0,90.0,6.96,-25.56,6.4661975574866055
1.0,90.0,7.12,-25.61,-85.32780219166158
1.0,90.0,7.28,-25.85,178.99364481950124
1.0,90.0,7.44,-26.19,80.24170709320056
1.0,90.0,7.6,-25.76,-16.969212732828247
1.0,90.0,7.76,-27.08,-110.45758651873635
1.0,90.0,7.92,-27.14,154.88984246957628
1.0,90.0,8.08,-26.76,67.42767969521768
1.0,90.0,8.24,-26.7,-27.273377127772704
1.0,90.0,8.4,-26.94,-131.34835827323658
1.0,90.0,8.56,-27.15,137.73393881787706
1.0,90.0,8.72,-27.88,39.32966097436881
1.0,90.0,8.88,-27.72,-58.487366318289766
1.0,90.0,9.04,-28.73,-153.35589423162227
1.0,90.0,9.2,-29.93,112.68982638191363
1.0,90.0,9.36,-28.99,16.6173067310422
1.0,90.0,9.52,-29.28,-82.87576045955878
1.0,90.0,9.68,-30.3,-177.5821411456517
1.0,90.0,9.84,-30.31,78.84289871895115
1.0,90.0,10.0,-29.78,-13.561213947359404
1.0,90.0,10.16,-30.94,-114.71210594488434
1.0,90.0,10.32,-30.8,144.85882895814228
1.0,90.0,10.48,-30.73,51.47894959536015
1.0,90.0,10.64,-30.82,-47.11058767291459
1.0,90.0,10.8,-30.83,-151.56073864472273
1.0,90.0,10.96,-30.3,114.3058774754851
1.0,90.0,11.12,-30.8,13.732539197207972
1.0,90.0,11.28,-30.45,-92.55062649479055
1.0,90.0,11.44,-30.84,166.7286589046647
1.0,90.0,11.6,-32.27,65.7882865929015
1.0,90.0,11.76,-31.86,-35.17354645934052
1.0,90.0,11.92,-32.29,-136.81829808476937
1.0,90.0,12.08,-33.28,124.31273416663122
1.0,90.0,12.24,-33.52,14.70975804575686
1.0,90.0,12.4,-33.91,-87.27215889077384
1.0,90.0,12.56,-35.21,171.33392342329464
1.0,90.0,12.72,-38.77,64.8344103901162
1.0,90.0,12.88,-38.7,-15.227955198542462
1.0,90.0,13.04,-37.57,-112.41077678420062
1.0,90.0,13.2,-36.7,137.7740020287863
1.0,90.0,13.36,-38.89,23.696514013521465
1.0,90.0,13.52,-39.1,-70.62878513993371
1.0,90.0,13.68,-37.77,-165.34912095420236
1.0,90.0,13.84,-37.5,83.81876899234187
1.0,90.0,14.0,-37.36,-25.206161131792076
1.0,90.0,14.16,-37.06,-133.31294455089284
1.0,90.0,14.32,-36.17,105.83264559834322
1.0,90.0,14.48,-40.3,-131.93751169870055
1.0,90.0,14.64,-36.57,-1.066411228576891
1.0,90.0,14.8,-34.81,-152.4247449954775
1.0,90.0,14.96,-34.55,75.05559233880274
1.0,90.0,15.12,-34.65,-43.2156419786452
1.0,90.0,15.28,-35.53,-155.38611168678614
1.0,90.0,15.44,-35.14,92.56931612924114
1.0,90.0,15.6,-36.05,-21.359463393543617
1.0,90.0,15.76,-37.4,-143.75187411600578
1.0,90.0,15.92,-37.01,104.77433169928896
1.0,90.0,16.08,-36.89,-4.512312698068435
1.0,90.0,16.24,-38.43,-126.43372649065587
1.0,90.0,16.4,-40.94,131.3759766066712
1.0,90.0,16.56,-39.63,8.531173549311417
1.0,90.0,16.72,-40.13,-109.98804783960314
1.0,90.0,16.88,-40.85,129.85821068830435
1.0,90.0,17.04,-42.11,12.616745262419427
1.0,90.0,17.2,-43.65,-101.38159592923539
1.0,90.0,17.36,-44.04,135.4965057105339
1.0,90.0,17.52,-45.29,20.26973070467454
