# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":1.0,"stop_ghz":20.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-11-21 12:20:26","created_utc":"2025-11-21T17:20:26.007108Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,1.0,-70.71,59.01293373348638
0.0,0.0,1.19,-73.64,115.86872019508397
0.0,0.0,1.38,-66.28,150.19106543704592
0.0,0.0,1.57,-51.56,8.840140055965025
0.0,0.0,1.76,-55.94,-109.67849044609807
0.0,0.0,1.95,-44.1,149.69796607741256
0.0,0.0,2.14,-50.6,44.902711339869406
0.0,0.0,2.33,-56.1,26.965556978127985
0.0,0.0,2.52,-65.56,55.54081168952873
0.0,0.0,2.71,-61.81,-63.52876549387371
0.0,0.0,2.9,-52.78,-99.20372212260727
0.0,0.0,3.09,-57.91,-167.54251676681588
0.0,0.0,3.28,-57.51,136.04910431742383
0.0,0.0,3.47,-55.55,95.57531255025593
0.0,0.0,3.66,-59.63,75.50610953915681
0.0,0.0,3.85,-65.71,96.67113645732756
0.0,0.0,4.04,-61.5,-19.772094513765666
0.0,0.0,4.23,-54.56,-61.498208782431696
0.0,0.0,4.42,-65.49,-106.66677374916915
0.0,0.0,4.61,-58.49,-170.8893244186083
0.0,0.0,4.8,-60.32,-176.2854348650108
0.0,0.0,4.99,-55.99,104.38605324617834
0.0,0.0,5.18,-62.3,38.50687782607532
0.0,0.0,5.37,-55.31,56.80357494270365
0.0,0.0,5.56,-68.89,66.07217094779514
0.0,0.0,5.75,-62.69,44.8721581106665
0.0,0.0,5.94,-66.12,6.4014426201970815
0.0,0.0,6.13,-66.55,-100.99090217493453
0.0,0.0,6.32,-71.21,143.3234840339531
0.0,0.0,6.51,-67.4,135.8672054367345
0.0,0.0,6.7,-69.31,91.44483404914827
0.0,0.0,6.89,-73.45,121.74213946199872
0.0,0.0,7.08,-63.23,59.60188958257445
0.0,0.0,7.27,-64.53,3.6634190576408643
0.0,0.0,7.46,-65.6,-0.9628431559342835
0.0,0.0,7.65,-76.71,-123.25101403977136
0.0,0.0,7.84,-73.15,68.60096609102814
0.0,0.0,8.03,-72.16,-164.88334809749637
0.0,0.0,8.22,-74.78,150.2329878358124
0.0,0.0,8.41,-69.24,109.12610098921827
0.0,0.0,8.6,-68.31,42.86987337532968
0.0,0.0,8.79,-76.63,49.36746768957118
0.0,0.0,8.98,-70.06,-47.21106055476157
0.0,0.0,9.17,-73.18,-4.46611219174483
0.0,0.0,9.36,-69.38,-179.80487634846045
0.0,0.0,9.55,-71.13,115.43960848054822
0.0,0.0,9.74,-69.92,73.99189876164701
0.0,0.0,9.93,-76.45,31.128487850072244
0.0,0.0,10.12,-74.8,-39.66651193224285
0.0,0.0,10.31,-70.99,42.11770070312295
0.0,0.0,10.5,-67.8,-69.90761963036343
0.0,0.0,10.69,-83.15,-68.46269088172177
0.0,0.0,10.88,-73.22,-140.18210231519768
0.0,0.0,11.07,-64.81,-127.7707738808536
0.0,0.0,11.26,-83.49,100.8622354461168
0.0,0.0,11.45,-75.98,89.47210912600477
0.0,0.0,11.64,-73.4,117.78972341298861
0.0,0.0,11.83,-75.59,2.0140923679845
0.0,0.0,12.02,-71.78,-29.362133883604756
0.0,0.0,12.21,-79.01,-65.27622343209009
0.0,0.0,12.4,-75.52,-125.56932418513846
0.0,0.0,12.59,-70.6,-150.81612821024464
0.0,0.0,12.78,-71.6,-162.68822955399023
0.0,0.0,12.97,-73.54,-135.45063098104416
0.0,0.0,13.16,-78.36,-153.03420083176226
0.0,0.0,13.35,-84.4,9.323571889827997
0.0,0.0,13.54,-79.02,-123.37970172610208
0.0,0.0,13.73,-70.72,-85.52911888033904
0.0,0.0,13.92,-73.08,-119.23824398406933
0.0,0.0,14.11,-68.86,-173.69300830328243
0.0,0.0,14.3,-70.66,115.30318536897643
0.0,0.0,14.49,-72.93,-114.20043705788974
0.0,0.0,14.68,-72.22,72.71486289454067
0.0,0.0,14.87,-79.81,-130.95930073020318
0.0,0.0,15.06,-79.29,112.5013328286274
0.0,0.0,15.25,-80.94,145.37308578913397
0.0,0.0,15.44,-95.85,60.7269586322391
0.0,0.0,15.63,-88.31,162.46333549663197
0.0,0.0,15.82,-86.61,-148.54850022390323
0.0,0.0,16.01,-75.44,-41.95950847981192
0.0,0.0,16.2,-81.75,150.1053800275509
0.0,0.0,16.39,-76.67,79.4259128237541
