# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":1.0,"stop_ghz":20.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-11-21 11:42:24","created_utc":"2025-11-21T16:42:24.109890Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,90.0,1.0,-70.78,88.91785070046274
0.0,90.0,1.19,-73.41,114.38451636712993
0.0,90.0,1.38,-59.36,65.97155266804229
0.0,90.0,1.57,-37.34,-35.27943971604919
0.0,90.0,1.76,-36.01,-134.43053119775564
0.0,90.0,1.95,-31.4,153.7716808770189
0.0,90.0,2.14,-34.57,141.7690528482966
0.0,90.0,2.33,-43.75,91.82797263480848
0.0,90.0,2.52,-44.25,129.24581204194772
0.0,90.0,2.71,-37.54,140.00288111036895
0.0,90.0,2.9,-40.02,140.55865466007518
0.0,90.0,3.09,-39.69,130.01532551063585
0.0,90.0,3.28,-43.35,168.56341139824457
0.0,90.0,3.47,-38.99,179.57133749889925
0.0,90.0,3.66,-42.85,173.0282882699455
0.0,90.0,3.85,-41.47,-114.84114178013382
0.0,90.0,4.04,-41.45,-149.3191666799717
0.0,90.0,4.23,-40.62,-96.28765809537401
0.0,90.0,4.42,-40.77,-95.21614249769323
0.0,90.0,4.61,-39.94,-70.69604686440971
0.0,90.0,4.8,-40.28,-57.99697389511141
0.0,90.0,4.99,-39.57,-33.54135941808477
0.0,90.0,5.18,-40.36,-8.883215356787565
0.0,90.0,5.37,-37.46,8.13970058561431
0.0,90.0,5.56,-40.18,7.304910193909848
0.0,90.0,5.75,-42.99,58.97193353762981
0.0,90.0,5.94,-40.4,66.66908626498548
0.0,90.0,6.13,-41.95,95.03174078993784
0.0,90.0,6.32,-43.36,115.25464972270379
0.0,90.0,6.51,-42.42,141.1335711413857
0.0,90.0,6.7,-43.51,158.4302599636837
0.0,90.0,6.89,-42.33,175.13229985609567
0.0,90.0,7.08,-42.36,-157.32320643760008
0.0,90.0,7.27,-43.61,-136.5526041961168
0.0,90.0,7.46,-43.29,-124.98207537070833
0.0,90.0,7.65,-43.07,-99.57284586113876
0.0,90.0,7.84,-44.13,-71.69109196170155
0.0,90.0,8.03,-44.28,-53.78884203470101
0.0,90.0,8.22,-45.5,-28.04951129147028
0.0,90.0,8.41,-44.46,-12.125589534068352
0.0,90.0,8.6,-44.77,1.3615148916667266
0.0,90.0,8.79,-46.02,37.38565906114547
0.0,90.0,8.98,-47.75,50.034852581010725
0.0,90.0,9.17,-48.77,86.15899770674318
0.0,90.0,9.36,-46.6,96.43411979975512
0.0,90.0,9.55,-50.03,112.30019106206461
0.0,90.0,9.74,-48.7,139.66677881806075
0.0,90.0,9.93,-50.62,169.0287249296231
0.0,90.0,10.12,-48.12,-173.45636224101446
0.0,90.0,10.31,-50.48,-162.0549238918104
0.0,90.0,10.5,-47.93,-136.77310523505835
0.0,90.0,10.69,-49.51,-146.381960025812
0.0,90.0,10.88,-52.03,-119.02230470996642
0.0,90.0,11.07,-55.31,-109.85313430264587
0.0,90.0,11.26,-57.44,-73.02746796359807
0.0,90.0,11.45,-57.23,-30.455593085262407
0.0,90.0,11.64,-63.19,-26.697297129438464
0.0,90.0,11.83,-54.83,69.65098834032588
0.0,90.0,12.02,-51.44,59.21160315434886
0.0,90.0,12.21,-50.92,64.67137710259215
0.0,90.0,12.4,-52.39,70.20487326539809
0.0,90.0,12.59,-51.84,89.11150380563251
0.0,90.0,12.78,-51.29,112.34742540951905
0.0,90.0,12.97,-53.63,121.91139265449002
0.0,90.0,13.16,-51.76,146.59761279002996
0.0,90.0,13.35,-48.99,161.39288711953898
0.0,90.0,13.54,-48.27,156.94700200474117
0.0,90.0,13.73,-48.53,169.5395245067246
0.0,90.0,13.92,-46.33,-177.11441559678568
0.0,90.0,14.11,-42.26,-179.37434562353155
0.0,90.0,14.3,-39.81,158.49221850736004
