# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":1.0,"stop_ghz":20.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"phi","custom_angle_deg":0.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-11-21 09:32:59","created_utc":"2025-11-21T14:32:59.214426Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,0.0,1.0,-70.46,59.75044442691265
0.0,0.0,1.19,-92.0,42.40873095403053
0.0,0.0,1.38,-48.33,145.99358288474036
0.0,0.0,1.57,-34.93,43.21987050672882
0.0,0.0,1.76,-32.18,-67.04395202809357
0.0,0.0,1.95,-27.94,-165.53112395176785
0.0,0.0,2.14,-31.26,137.59475860611818
0.0,0.0,2.33,-35.83,65.03268033357084
0.0,0.0,2.52,-39.15,63.262606758321084
0.0,0.0,2.71,-42.96,58.56804500295961
0.0,0.0,2.9,-40.13,152.12011844200114
0.0,0.0,3.09,-34.61,80.64912464107367
0.0,0.0,3.28,-36.39,62.359536121951756
0.0,0.0,3.47,-34.47,35.271108535895834
0.0,0.0,3.66,-35.21,-21.75895097766924
0.0,0.0,3.85,-41.76,5.756489744760711
0.0,0.0,4.04,-40.16,-28.253566919450915
0.0,0.0,4.23,-46.15,-56.98337360545833
0.0,0.0,4.42,-42.85,-45.56576477392907
0.0,0.0,4.61,-48.61,-123.72638416964043
0.0,0.0,4.8,-47.06,104.54137645643088
0.0,0.0,4.99,-39.05,60.62163381405763
0.0,0.0,5.18,-39.24,11.604331122260152
0.0,0.0,5.37,-38.3,5.158381375685368
0.0,0.0,5.56,-38.0,-13.67079916323325
0.0,0.0,5.75,-38.55,-49.29821520134475
0.0,0.0,5.94,-41.22,-70.90672062074961
0.0,0.0,6.13,-45.49,-66.31846427862325
0.0,0.0,6.32,-51.13,-70.5130011761103
0.0,0.0,6.51,-52.57,-57.55793086117943
0.0,0.0,6.7,-60.66,-11.546276629479259
0.0,0.0,6.89,-53.05,34.93121957556363
0.0,0.0,7.08,-45.69,18.126933141627937
0.0,0.0,7.27,-43.82,-8.262105482980852
0.0,0.0,7.46,-45.61,-29.473972883844137
0.0,0.0,7.65,-42.24,-28.66077335619256
0.0,0.0,7.84,-42.04,-63.711385135122406
0.0,0.0,8.03,-43.82,-92.38943258751935
0.0,0.0,8.22,-49.39,-121.03401328003154
0.0,0.0,8.41,-60.6,-56.92703674884484
0.0,0.0,8.6,-52.81,-70.48322775585319
0.0,0.0,8.79,-60.64,-78.01572372861997
0.0,0.0,8.98,-59.93,-38.27375900933901
0.0,0.0,9.17,-54.54,-26.628307338524102
0.0,0.0,9.36,-52.46,-28.881790121274303
0.0,0.0,9.55,-49.53,-48.49094005954156
0.0,0.0,9.74,-48.81,-52.13773244308459
0.0,0.0,9.93,-49.44,-76.58726756993916
0.0,0.0,10.12,-50.23,-100.46163787749362
0.0,0.0,10.31,-52.49,-125.24740774339753
0.0,0.0,10.5,-56.05,-132.75130539346543
0.0,0.0,10.69,-58.05,-128.54404144557117
0.0,0.0,10.88,-54.89,-100.29864336452522
0.0,0.0,11.07,-56.11,-135.5177092116267
0.0,0.0,11.26,-61.5,-136.3657094104559
0.0,0.0,11.45,-66.18,-52.16917981479104
0.0,0.0,11.64,-55.37,-68.08295377312884
0.0,0.0,11.83,-54.98,-125.69059847293616
0.0,0.0,12.02,-53.85,-131.99730763352423
0.0,0.0,12.21,-52.38,-167.50771621695486
0.0,0.0,12.4,-53.19,173.73783710677986
0.0,0.0,12.59,-55.77,167.28163580720087
0.0,0.0,12.78,-59.57,132.06361467314355
0.0,0.0,12.97,-68.91,163.24017139228303
0.0,0.0,13.16,-64.14,171.9474579170933
0.0,0.0,13.35,-62.71,150.59846578174245
0.0,0.0,13.54,-65.97,133.30325657239666
0.0,0.0,13.73,-61.03,144.39970688640022
0.0,0.0,13.92,-60.13,124.52424406706159
0.0,0.0,14.11,-57.37,92.67893669937219
0.0,0.0,14.3,-58.73,59.031577596652
0.0,0.0,14.49,-67.46,-146.5965846266366
0.0,0.0,14.68,-60.31,89.27351785150184
0.0,0.0,14.87,-62.21,40.446764055153594
0.0,0.0,15.06,-64.34,14.604956216686746
0.0,0.0,15.25,-67.69,15.71822082637019
0.0,0.0,15.44,-61.99,-15.129827936514806
0.0,0.0,15.63,-63.14,-29.04860603368948
0.0,0.0,15.82,-66.31,-44.02416195443191
0.0,0.0,16.01,-66.24,-42.46848946577828
0.0,0.0,16.2,-61.4,-74.71912980463685
0.0,0.0,16.39,-61.15,-98.66472010776462
0.0,0.0,16.58,-59.51,-148.25615975205534
0.0,0.0,16.77,-61.74,166.64780436313723
0.0,0.0,16.96,-65.18,138.0050316829217
0.0,0.0,17.15,-74.53,60.28628717222907
0.0,0.0,17.34,-74.16,82.69585982664415
0.0,0.0,17.53,-73.0,84.8238178801789
0.0,0.0,17.72,-70.94,76.89341837314117
0.0,0.0,17.91,-77.28,26.410734448816243
0.0,0.0,18.1,-65.5,51.13125230192136
0.0,0.0,18.29,-66.21,5.062716240584539
0.0,0.0,18.48,-66.06,-47.660931516167246
0.0,0.0,18.67,-62.09,-86.09221141534226
0.0,0.0,18.86,-66.24,-142.03765003615933
0.0,0.0,19.05,-62.94,159.31521535371868
0.0,0.0,19.24,-65.02,132.50750139044476
0.0,0.0,19.43,-65.88,130.186944521272
0.0,0.0,19.62,-72.52,76.0223293163947
0.0,0.0,19.81,-73.77,42.17168837842073
0.0,0.0,20.0,-71.07,-38.879925889424804
0.0,1.0,1.0,-79.81,-35.97483486922892
0.0,1.0,1.19,-71.02,154.31944582002419
0.0,1.0,1.38,-47.87,147.1307703789078
0.0,1.0,1.57,-34.9,47.66875000440315
0.0,1.0,1.76,-32.12,-60.45825553377935
0.0,1.0,1.95,-27.81,-160.80734875499323
0.0,1.0,2.14,-31.45,143.35660879997232
0.0,1.0,2.33,-36.15,75.36072386072698
0.0,1.0,2.52,-38.56,73.2593781283991
0.0,1.0,2.71,-42.44,61.82922191375454
0.0,1.0,2.9,-40.28,165.62432305001738
0.0,1.0,3.09,-34.07,90.37029533165409
0.0,1.0,3.28,-36.42,75.62542697860405
0.0,1.0,3.47,-33.7,45.64343536159295
0.0,1.0,3.66,-35.35,-12.069041351412798
0.0,1.0,3.85,-40.8,21.850333741198682
0.0,1.0,4.04,-40.53,-16.570653017982735
0.0,1.0,4.23,-45.79,-21.427866443931713
0.0,1.0,4.42,-41.62,-36.14390757294998
0.0,1.0,4.61,-47.31,-118.77624749026504
0.0,1.0,4.8,-45.51,124.11599657987233
0.0,1.0,4.99,-38.81,72.60313061131934
0.0,1.0,5.18,-39.58,29.23251571338866
0.0,1.0,5.37,-38.43,29.121871761829347
0.0,1.0,5.56,-37.65,6.570353775664704
0.0,1.0,5.75,-38.13,-28.987802535669143
0.0,1.0,5.94,-41.25,-49.71779045931327
0.0,1.0,6.13,-44.76,-43.977186588405665
0.0,1.0,6.32,-49.54,-58.79163470807932
0.0,1.0,6.51,-53.43,-37.662524830817524
0.0,1.0,6.7,-60.31,9.546645622382771
0.0,1.0,6.89,-52.88,47.97013721316275
0.0,1.0,7.08,-46.18,43.79627633543131
0.0,1.0,7.27,-44.33,16.558842717230043
0.0,1.0,7.46,-44.61,-2.7652591409787624
0.0,1.0,7.65,-41.59,-5.014439667226904
0.0,1.0,7.84,-41.93,-40.262282652924675
0.0,1.0,8.03,-43.71,-68.57268357532368
0.0,1.0,8.22,-49.35,-90.15406099496678
0.0,1.0,8.41,-55.61,-37.92439735410815
0.0,1.0,8.6,-54.67,-51.80178905310056
0.0,1.0,8.79,-60.28,-26.696135492222915
0.0,1.0,8.98,-58.58,-12.323631072651533
0.0,1.0,9.17,-55.3,1.0098501771322774
0.0,1.0,9.36,-51.94,7.772659310605329
0.0,1.0,9.55,-49.95,-16.222082313852493
0.0,1.0,9.74,-49.07,-21.204504237866875
0.0,1.0,9.93,-49.82,-43.107378463131575
0.0,1.0,10.12,-49.4,-75.07989028076857
0.0,1.0,10.31,-54.21,-94.2463012565632
0.0,1.0,10.5,-55.01,-101.61000597471303
0.0,1.0,10.69,-61.0,-112.85549330423548
0.0,1.0,10.88,-56.81,-71.62864023367146
0.0,1.0,11.07,-56.25,-102.41058148829511
0.0,1.0,11.26,-64.97,-96.14240908764378
0.0,1.0,11.45,-67.74,-29.76114590173263
0.0,1.0,11.64,-55.26,-38.128172572711975
0.0,1.0,11.83,-54.86,-72.44543420654287
0.0,1.0,12.02,-53.52,-92.91365399058982
0.0,1.0,12.21,-53.41,-118.43645451267736
0.0,1.0,12.4,-52.57,-150.79805326423508
0.0,1.0,12.59,-55.22,-177.9685319295327
0.0,1.0,12.78,-57.73,175.67354319885854
0.0,1.0,12.97,-61.55,-156.42215965331997
0.0,1.0,13.16,-62.65,-155.83910208558885
0.0,1.0,13.35,-62.89,179.4229109850075
0.0,1.0,13.54,-66.1,-164.36272124907094
0.0,1.0,13.73,-63.69,-161.11564467950754
0.0,1.0,13.92,-60.37,170.43778557335185
0.0,1.0,14.11,-59.65,138.10014959424828
0.0,1.0,14.3,-58.8,98.11778549954417
0.0,1.0,14.49,-65.26,-106.91764608977779
0.0,1.0,14.68,-60.05,146.98545993649472
0.0,1.0,14.87,-61.15,98.84330791129797
0.0,1.0,15.06,-64.95,60.02785493950913
0.0,1.0,15.25,-64.54,65.70948651740417
