# --- TEST-START ---
# CONFIG_JSON: {"name":"Custom 2D Slice","mode":"custom","polarization":"vertical","sweep":{"start_ghz":1.0,"stop_ghz":20.0,"points":101,"format":"MAG","power_dbm":0.0},"grid":{"phi_step_deg":null,"theta_step_deg":null,"custom_axis":"theta","custom_angle_deg":90.0,"custom_step_deg":1.0},"plot_options":{"title":"Live Pattern","grid":false,"y_limits":[-60.0,0.0],"do_not_modify_vna":false},"created_local":"2025-11-21 10:46:35","created_utc":"2025-11-21T15:46:35.047521Z"}
# META: vna=VNAController
# META: positioner=SerialController
# META: polarization=vertical
Phi (deg),Theta (deg),Frequency (GHz),Magnitude (dB)
0.0,90.0,1.0,-92.36,-0.5330970399836121
0.0,90.0,1.19,-73.89,171.2892313484539
0.0,90.0,1.38,-40.95,56.93390887238199
0.0,90.0,1.57,-22.26,-11.466096399065329
0.0,90.0,1.76,-17.84,-98.38210254467539
0.0,90.0,1.95,-13.07,-176.19640808645002
0.0,90.0,2.14,-16.08,171.2038596951745
0.0,90.0,2.33,-17.81,126.83949413804066
0.0,90.0,2.52,-15.7,141.97100692896836
0.0,90.0,2.71,-18.0,166.03346970044703
0.0,90.0,2.9,-17.49,151.5585641744566
0.0,90.0,3.09,-15.44,154.62712775241536
0.0,90.0,3.28,-19.52,179.98367886337937
0.0,90.0,3.47,-18.41,-166.4057174363143
0.0,90.0,3.66,-17.17,-167.58783042200014
0.0,90.0,3.85,-18.25,-120.39590239202506
0.0,90.0,4.04,-16.32,-134.4590235601941
0.0,90.0,4.23,-16.34,-109.32173577655963
0.0,90.0,4.42,-16.52,-90.20827576940457
0.0,90.0,4.61,-16.95,-80.04932749401395
0.0,90.0,4.8,-15.96,-57.338330391221604
0.0,90.0,4.99,-16.03,-36.217253930490756
0.0,90.0,5.18,-17.67,-32.25823608141441
0.0,90.0,5.37,-16.52,8.231521620863287
0.0,90.0,5.56,-17.95,21.63234404029525
0.0,90.0,5.75,-18.13,45.21837960703323
0.0,90.0,5.94,-17.32,67.42249755039163
0.0,90.0,6.13,-17.92,89.9895659281339
0.0,90.0,6.32,-19.02,104.2257743487209
0.0,90.0,6.51,-18.48,135.66902663792982
0.0,90.0,6.7,-19.66,157.50351825071073
0.0,90.0,6.89,-18.18,166.98253421158287
0.0,90.0,7.08,-18.65,-163.32919012515123
0.0,90.0,7.27,-19.17,-143.36866475828643
0.0,90.0,7.46,-19.62,-128.8677274295335
0.0,90.0,7.65,-18.29,-104.55769492020266
0.0,90.0,7.84,-20.17,-79.93119494338802
0.0,90.0,8.03,-19.1,-59.37486303651973
0.0,90.0,8.22,-19.1,-36.25774915012488
0.0,90.0,8.41,-19.29,-22.907060012962717
0.0,90.0,8.6,-19.2,2.1833378891851662
0.0,90.0,8.79,-20.01,25.52554939989626
0.0,90.0,8.98,-20.21,41.13555966582918
0.0,90.0,9.17,-21.17,59.84097118636174
0.0,90.0,9.36,-21.18,84.84314803880876
0.0,90.0,9.55,-21.33,98.17242374402427
0.0,90.0,9.74,-21.66,122.85045662656499
0.0,90.0,9.93,-23.24,140.382898542129
0.0,90.0,10.12,-22.12,155.12010550919902
0.0,90.0,10.31,-22.67,169.41783301754765
0.0,90.0,10.5,-22.57,-170.8810118006129
0.0,90.0,10.69,-23.06,-154.39664670883
0.0,90.0,10.88,-23.78,-139.4189097051475
0.0,90.0,11.07,-24.1,-129.5357784866172
0.0,90.0,11.26,-26.45,-115.3284025412278
0.0,90.0,11.45,-27.7,-61.64109528676858
0.0,90.0,11.64,-24.05,-55.275628339481074
0.0,90.0,11.83,-25.22,-42.59273244853111
0.0,90.0,12.02,-24.66,-30.041626979512657
0.0,90.0,12.21,-23.82,-14.871064224961465
0.0,90.0,12.4,-24.6,-9.155720971989133
0.0,90.0,12.59,-25.53,7.519883588444906
0.0,90.0,12.78,-25.82,12.4402003851994
0.0,90.0,12.97,-29.09,28.2723975441511
0.0,90.0,13.16,-28.68,44.5906241832329
0.0,90.0,13.35,-28.01,69.12835890409892
0.0,90.0,13.54,-26.97,66.3688324874854
0.0,90.0,13.73,-27.64,73.43166763837051
0.0,90.0,13.92,-28.24,83.41296897708742
0.0,90.0,14.11,-28.24,90.59012201897968
0.0,90.0,14.3,-28.24,91.74062306959304
0.0,90.0,14.49,-35.29,-71.69573670909706
0.0,90.0,14.68,-27.91,-165.7321255482423
0.0,90.0,14.87,-25.35,-178.16220490859385
0.0,90.0,15.06,-26.1,174.26903355109053
0.0,90.0,15.25,-25.22,170.24469842442693
0.0,90.0,15.44,-24.51,168.71779498944653
0.0,90.0,15.63,-25.28,166.82827966533992
0.0,90.0,15.82,-25.46,171.79815423084503
0.0,90.0,16.01,-26.68,164.77797470500096
0.0,90.0,16.2,-26.1,158.4215383503388
0.0,90.0,16.39,-28.36,167.1362975902619
0.0,90.0,16.58,-26.85,146.6678562998264
0.0,90.0,16.77,-28.09,133.63881912200208
0.0,90.0,16.96,-30.05,132.53813006516367
0.0,90.0,17.15,-30.05,125.64366935616856
0.0,90.0,17.34,-31.95,123.69032523992463
0.0,90.0,17.53,-31.85,122.37765236059157
0.0,90.0,17.72,-33.19,121.11787735570591
0.0,90.0,17.91,-34.09,124.07883823006138
0.0,90.0,18.1,-33.52,115.81314547465851
0.0,90.0,18.29,-33.38,116.9519532709232
0.0,90.0,18.48,-34.01,103.70925265034056
0.0,90.0,18.67,-36.02,94.43373978081992
0.0,90.0,18.86,-36.14,89.0993120549067
0.0,90.0,19.05,-37.37,73.1864490226791
0.0,90.0,19.24,-36.22,72.30891948670885
0.0,90.0,19.43,-37.71,53.57465270367856
0.0,90.0,19.62,-38.61,33.64639137950496
0.0,90.0,19.81,-39.16,22.666526571046038
0.0,90.0,20.0,-39.9,9.56838990136632
1.0,90.0,1.0,-72.19,63.50900386090315
1.0,90.0,1.19,-72.52,126.20601505841879
1.0,90.0,1.38,-41.06,57.27661332937741
1.0,90.0,1.57,-22.26,-11.331498329310952
1.0,90.0,1.76,-17.91,-98.55266197965194
1.0,90.0,1.95,-13.06,-176.26459986336278
1.0,90.0,2.14,-16.12,171.3587559410749
1.0,90.0,2.33,-17.84,127.24463391738769
1.0,90.0,2.52,-15.72,142.00933435071207
1.0,90.0,2.71,-18.01,166.29358224786853
1.0,90.0,2.9,-17.52,151.60315687684292
1.0,90.0,3.09,-15.48,154.85731753795483
1.0,90.0,3.28,-19.5,-179.964333196961
1.0,90.0,3.47,-18.36,-166.2465645206942
1.0,90.0,3.66,-17.2,-167.33904746131003
1.0,90.0,3.85,-18.26,-120.3488839065904
1.0,90.0,4.04,-16.36,-134.22095034004207
1.0,90.0,4.23,-16.34,-109.14753674985289
1.0,90.0,4.42,-16.54,-89.99088802358884
1.0,90.0,4.61,-16.98,-79.99463836495744
1.0,90.0,4.8,-15.95,-57.33738987681208
1.0,90.0,4.99,-16.04,-36.00480017270513
1.0,90.0,5.18,-17.71,-32.12741165957583
1.0,90.0,5.37,-16.53,8.256476755811917
