Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,90,2,-10.13,-31.92
-179,90,2.32,-8.906,-34.56
-179,90,2.64,-5.688,-34.4
-179,90,2.96,-3.078,-31.39
-179,90,3.28,-1.952,-31.97
-179,90,3.6,-6.75,-34.2
-179,90,3.92,-10.602,-38.15
-179,90,4.24,-13.086,-42.11
-179,90,4.56,-10.766,-40.58
-179,90,4.88,-9.48,-39.61
-179,90,5.2,-8.23,-39.65
-179,90,5.52,-11.128,-41.41
-179,90,5.84,-10.722,-42.17
-179,90,6.16,-11.18,-43.22
-179,90,6.48,-11.716,-45.8
-179,90,6.8,-13.27,-46.77
-179,90,7.12,-14.486,-49.08
-179,90,7.44,-12.956,-47.29
-179,90,7.76,-8.558,-43.78
-179,90,8.08,-11.386,-46.19
-179,90,8.4,-17.21,-52.59
-179,90,8.72,-13.448,-50.75
-179,90,9.04,-17.464,-55.25
-179,90,9.36,-14.864,-52.93
-179,90,9.68,-15.86,-54.75
-179,90,10,-11.87,-50.94
-179,90,10.32,-14.082,-53.71
-179,90,10.64,-17.318,-57.33
-179,90,10.96,-15.476,-55.46
-179,90,11.28,-20.116,-60.56
-179,90,11.6,-24.18,-65.05
-179,90,11.92,-18.184,-59.31
-179,90,12.24,-23.574,-65.83
-179,90,12.56,-18.03,-62.1
-179,90,12.88,-24.406,-69.61
-179,90,13.2,-31.22,-78
-179,90,13.52,-18.592,-64.6
-179,90,13.84,-20.728,-68.21
-179,90,14.16,-16.896,-65.12
-179,90,14.48,-24.034,-75.86
-179,90,14.8,-18.17,-66.18
-179,90,15.12,-21.98,-68.41
-179,90,15.44,-25.476,-71.79
-179,90,15.76,-21.278,-68.47
-179,90,16.08,-28.462,-75.92
-179,90,16.4,-25.31,-75.12
-179,90,16.72,-27.228,-76.71
-179,90,17.04,-32.416,-83.67
-179,90,17.36,-23.646,-76.29
-179,90,17.68,-24.862,-77.94
-179,90,18,-23.57,-76.38
-178,90,2,-10.06,-31.85
-178,90,2.32,-9.026,-34.68
-178,90,2.64,-5.978,-34.69
-178,90,2.96,-3.028,-31.34
-178,90,3.28,-1.942,-31.96
-178,90,3.6,-6.88,-34.33
-178,90,3.92,-10.382,-37.93
