Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-179,2,-3.78,-25.57
0,-179,2.32,-13.496,-39.15
0,-179,2.64,-19.228,-47.94
0,-179,2.96,-5.768,-34.08
0,-179,3.28,0.0279999999999987,-29.99
0,-179,3.6,-8.15,-35.6
0,-179,3.92,-7.692,-35.24
0,-179,4.24,-27.516,-56.54
0,-179,4.56,-10.656,-40.47
0,-179,4.88,-5.5,-35.63
0,-179,5.2,-5.19,-36.61
0,-179,5.52,-12.998,-43.28
0,-179,5.84,-14.502,-45.95
0,-179,6.16,-8.84,-40.88
0,-179,6.48,-24.376,-58.46
0,-179,6.8,-15.74,-49.24
0,-179,7.12,-10.786,-45.38
0,-179,7.44,-19.266,-53.6
0,-179,7.76,-3.758,-38.98
0,-179,8.08,-8.806,-43.61
0,-179,8.4,-28.86,-64.24
0,-179,8.72,-4.978,-42.28
0,-179,9.04,-11.674,-49.46
0,-179,9.36,-9.66399999999999,-47.73
0,-179,9.68,-8.99,-47.88
0,-179,10,-10.48,-49.55
0,-179,10.32,-7.582,-47.21
0,-179,10.64,-12.708,-52.72
0,-179,10.96,-8.606,-48.59
0,-179,11.28,-11.236,-51.68
0,-179,11.6,-6.56,-47.43
0,-179,11.92,-1.14400000000001,-42.27
0,-179,12.24,-11.884,-54.14
0,-179,12.56,-3.60999999999999,-47.68
0,-179,12.88,-18.596,-63.8
0,-179,13.2,-2.21,-48.99
0,-179,13.52,-2.772,-48.78
0,-179,13.84,-5.918,-53.4
0,-179,14.16,-4.546,-52.77
0,-179,14.48,-10.224,-62.05
0,-179,14.8,-6.01000000000001,-54.02
0,-179,15.12,-8.7,-55.13
0,-179,15.44,-11.626,-57.94
0,-179,15.76,-22.898,-70.09
0,-179,16.08,-13.362,-60.82
0,-179,16.4,-18.89,-68.7
0,-179,16.72,-25.918,-75.4
0,-179,17.04,-9.92600000000001,-61.18
0,-179,17.36,-20.186,-72.83
0,-179,17.68,-18.612,-71.69
0,-179,18,-16.16,-68.97
0,-178,2,-3.93,-25.72
0,-178,2.32,-13.526,-39.18
0,-178,2.64,-19.338,-48.05
0,-178,2.96,-5.258,-33.57
0,-178,3.28,0.0779999999999959,-29.94
0,-178,3.6,-8.42,-35.87
0,-178,3.92,-7.632,-35.18
0,-178,4.24,-29.526,-58.55
0,-178,4.56,-8.916,-38.73
0,-178,4.88,-5.39,-35.52
0,-178,5.2,-5.97,-37.39
0,-178,5.52,-11.198,-41.48
0,-178,5.84,-13.272,-44.72
0,-178,6.16,-10.2,-42.24
0,-178,6.48,-22.696,-56.78
0,-178,6.8,-13.8,-47.3
0,-178,7.12,-10.696,-45.29
0,-178,7.44,-18.366,-52.7
0,-178,7.76,-4.368,-39.59
0,-178,8.08,-7.096,-41.9
0,-178,8.4,-25.3,-60.68
0,-178,8.72,-5.328,-42.63
0,-178,9.04,-10.314,-48.1
0,-178,9.36,-8.764,-46.83
0,-178,9.68,-8.24,-47.13
0,-178,10,-11.35,-50.42
0,-178,10.32,-7.902,-47.53
0,-178,10.64,-12.898,-52.91
0,-178,10.96,-8.686,-48.67
0,-178,11.28,-11.546,-51.99
0,-178,11.6,-7,-47.87
0,-178,11.92,-1.434,-42.56
0,-178,12.24,-12.094,-54.35
0,-178,12.56,-4.93999999999999,-49.01
0,-178,12.88,-17.846,-63.05
0,-178,13.2,-1.86,-48.64
0,-178,13.52,-3.22199999999999,-49.23
0,-178,13.84,-5.598,-53.08
0,-178,14.16,-5.526,-53.75
0,-178,14.48,-14.934,-66.76
0,-178,14.8,-5.48,-53.49
0,-178,15.12,-8.08,-54.51
0,-178,15.44,-10.666,-56.98
0,-178,15.76,-22.128,-69.32
0,-178,16.08,-10.002,-57.46
0,-178,16.4,-23.25,-73.06
0,-178,16.72,-21.808,-71.29
0,-178,17.04,-8.52600000000001,-59.78
0,-178,17.36,-23.416,-76.06
0,-178,17.68,-15.732,-68.81
0,-178,18,-19.3,-72.11
0,-177,2,-4.13,-25.92
0,-177,2.32,-13.776,-39.43
0,-177,2.64,-18.098,-46.81
0,-177,2.96,-4.848,-33.16
0,-177,3.28,0.0679999999999978,-29.95
0,-177,3.6,-8.82,-36.27
0,-177,3.92,-7.492,-35.04
0,-177,4.24,-26.876,-55.9
0,-177,4.56,-7.636,-37.45
0,-177,4.88,-4.84,-34.97
0,-177,5.2,-7.02,-38.44
0,-177,5.52,-9.318,-39.6
0,-177,5.84,-12.482,-43.93
0,-177,6.16,-11.38,-43.42
0,-177,6.48,-20.176,-54.26
0,-177,6.8,-12.68,-46.18
0,-177,7.12,-11.426,-46.02
0,-177,7.44,-17.206,-51.54
0,-177,7.76,-5.658,-40.88
0,-177,8.08,-5.916,-40.72
0,-177,8.4,-23.18,-58.56
0,-177,8.72,-5.548,-42.85
0,-177,9.04,-9.63400000000001,-47.42
0,-177,9.36,-8.374,-46.44
0,-177,9.68,-9.16,-48.05
0,-177,10,-11.56,-50.63
0,-177,10.32,-6.912,-46.54
0,-177,10.64,-12.098,-52.11
0,-177,10.96,-10.456,-50.44
0,-177,11.28,-9.366,-49.81
0,-177,11.6,-6.54,-47.41
0,-177,11.92,-1.504,-42.63
0,-177,12.24,-12.674,-54.93
0,-177,12.56,-5.64999999999999,-49.72
0,-177,12.88,-15.246,-60.45
0,-177,13.2,-1.7,-48.48
0,-177,13.52,-3.462,-49.47
0,-177,13.84,-6.018,-53.5
0,-177,14.16,-7.456,-55.68
0,-177,14.48,-13.734,-65.56
0,-177,14.8,-6.52,-54.53
0,-177,15.12,-8.59,-55.02
0,-177,15.44,-16.676,-62.99
0,-177,15.76,-15.298,-62.49
0,-177,16.08,-13.032,-60.49
0,-177,16.4,-10.14,-59.95
0,-177,16.72,-24.208,-73.69
0,-177,17.04,-12.876,-64.13
0,-177,17.36,-27.576,-80.22
0,-177,17.68,-22.222,-75.3
0,-177,18,-14.32,-67.13
0,-176,2,-4.28,-26.07
0,-176,2.32,-13.766,-39.42
0,-176,2.64,-17.898,-46.61
0,-176,2.96,-4.508,-32.82
0,-176,3.28,0.0879999999999974,-29.93
0,-176,3.6,-9.45,-36.9
0,-176,3.92,-7.292,-34.84
0,-176,4.24,-23.396,-52.42
0,-176,4.56,-6.616,-36.43
0,-176,4.88,-4.36,-34.49
0,-176,5.2,-7.14,-38.56
0,-176,5.52,-7.998,-38.28
0,-176,5.84,-11.912,-43.36
0,-176,6.16,-12.06,-44.1
0,-176,6.48,-19.216,-53.3
0,-176,6.8,-13.16,-46.66
0,-176,7.12,-12.876,-47.47
0,-176,7.44,-15.686,-50.02
0,-176,7.76,-7.548,-42.77
0,-176,8.08,-6.016,-40.82
0,-176,8.4,-19.24,-54.62
0,-176,8.72,-6.358,-43.66
0,-176,9.04,-9.654,-47.44
0,-176,9.36,-9.254,-47.32
0,-176,9.68,-11.68,-50.57
0,-176,10,-11.52,-50.59
0,-176,10.32,-6.992,-46.62
0,-176,10.64,-10.328,-50.34
0,-176,10.96,-10.866,-50.85
0,-176,11.28,-9.646,-50.09
0,-176,11.6,-5.68,-46.55
0,-176,11.92,-1.944,-43.07
0,-176,12.24,-14.124,-56.38
0,-176,12.56,-5.39999999999999,-49.47
0,-176,12.88,-12.556,-57.76
0,-176,13.2,-1.09,-47.87
0,-176,13.52,-3.36199999999999,-49.37
0,-176,13.84,-7.698,-55.18
0,-176,14.16,-7.296,-55.52
0,-176,14.48,-17.814,-69.64
0,-176,14.8,-6.63,-54.64
0,-176,15.12,-6.98,-53.41
0,-176,15.44,-17.226,-63.54
0,-176,15.76,-11.928,-59.12
0,-176,16.08,-24.842,-72.3
0,-176,16.4,-10.9,-60.71
0,-176,16.72,-21.678,-71.16
0,-176,17.04,-10.966,-62.22
0,-176,17.36,-25.496,-78.14
0,-176,17.68,-26.082,-79.16
0,-176,18,-11.91,-64.72
0,-175,2,-4.48,-26.27
0,-175,2.32,-13.886,-39.54
0,-175,2.64,-17.368,-46.08
0,-175,2.96,-4.338,-32.65
0,-175,3.28,0.0779999999999959,-29.94
0,-175,3.6,-9.95,-37.4
0,-175,3.92,-7.122,-34.67
0,-175,4.24,-21.126,-50.15
0,-175,4.56,-6.096,-35.91
0,-175,4.88,-3.93,-34.06
0,-175,5.2,-6.38,-37.8
0,-175,5.52,-7.708,-37.99
0,-175,5.84,-11.592,-43.04
0,-175,6.16,-11.13,-43.17
0,-175,6.48,-19.386,-53.47
0,-175,6.8,-13.85,-47.35
0,-175,7.12,-14.926,-49.52
0,-175,7.44,-15.396,-49.73
0,-175,7.76,-8.788,-44.01
0,-175,8.08,-6.566,-41.37
0,-175,8.4,-17.66,-53.04
0,-175,8.72,-8.198,-45.5
0,-175,9.04,-11.304,-49.09
0,-175,9.36,-9.634,-47.7
