Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
-179,90,2,-5.9,-27.69
-179,90,2.16,-4.558,-27.97
-179,90,2.32,-10.466,-36.12
-179,90,2.48,-19.054,-46.3
-179,90,2.64,-13.328,-42.04
-179,90,2.8,-10.45,-37.51
-179,90,2.96,-12.378,-40.69
-179,90,3.12,-19.036,-47.27
-179,90,3.28,-16.822,-46.84
-179,90,3.44,-9.212,-37.86
-179,90,3.6,-14.97,-42.42
-179,90,3.76,-14.224,-43.71
-179,90,3.92,-9.152,-36.7
-179,90,4.08,-14.172,-41.84
-179,90,4.24,-13.856,-42.88
-179,90,4.4,-14.08,-43.89
-179,90,4.56,-14.896,-44.71
-179,90,4.72,-24.214,-54.2
-179,90,4.88,-18.27,-48.4
-179,90,5.04,-8.45999999999999,-38.51
-179,90,5.2,-10.42,-41.84
-179,90,5.36,-14.72,-45.52
-179,90,5.52,-7.098,-37.38
-179,90,5.68,-25.2,-56.57
-179,90,5.84,-13.132,-44.58
-179,90,6,-20.92,-52.46
-179,90,6.16,-22.63,-54.67
-179,90,6.32,-18.448,-51.94
-179,90,6.48,-18.116,-52.2
-179,90,6.64,-31.778,-66.17
-179,90,6.8,-13.82,-47.32
-179,90,6.96,-27.882,-62.21
-179,90,7.12,-23.206,-57.8
-179,90,7.28,-19.032,-53.41
-179,90,7.44,-21.596,-55.93
-179,90,7.6,-18.22,-51.62
-179,90,7.76,-25.538,-60.76
-179,90,7.92,-35.272,-69.9
-179,90,8.08,-31.026,-65.83
-179,90,8.24,-23.502,-58.61
-179,90,8.4,-18.54,-53.92
-179,90,8.56,-16.272,-52.55
-179,90,8.72,-16.538,-53.84
-179,90,8.88,-39.068,-76.21
-179,90,9.04,-21.954,-59.74
-179,90,9.2,-20.34,-59.2
-179,90,9.36,-19.304,-57.37
-179,90,9.52,-24.062,-62.44
-179,90,9.68,-34.04,-72.93
-179,90,9.84,-18.886,-58
-179,90,10,-18.57,-57.64
-179,90,10.16,-17.788,-57.43
-179,90,10.32,-15.952,-55.58
-179,90,10.48,-24.218,-63.75
-179,90,10.64,-17.128,-57.14
-179,90,10.8,-20.47,-60.74
-179,90,10.96,-26.346,-66.33
-179,90,11.12,-19.776,-60.02
-179,90,11.28,-23.466,-63.91
-179,90,11.44,-23.142,-63.89
-179,90,11.6,-26.29,-67.16
-179,90,11.76,-23.734,-64.85
-179,90,11.92,-23.124,-64.25
-179,90,12.08,-30.52,-72.71
-179,90,12.24,-28.264,-70.52
-179,90,12.4,-40.22,-82.88
-179,90,12.56,-26.05,-70.12
-179,90,12.72,-25.894,-70.45
-179,90,12.88,-25.766,-70.97
-179,90,13.04,-18.488,-64.99
-179,90,13.2,-23.74,-70.52
-179,90,13.36,-23.644,-69.86
-179,90,13.52,-19.102,-65.11
-179,90,13.68,-16.98,-63.66
-179,90,13.84,-23.138,-70.62
-179,90,14,-19.19,-67.04
-179,90,14.16,-13.936,-62.16
-179,90,14.32,-15.616,-64.57
-179,90,14.48,-20.294,-72.12
-179,90,14.64,-22.444,-71.9
-179,90,14.8,-13.34,-61.35
-179,90,14.96,-16.392,-63.52
-179,90,15.12,-21.26,-67.69
-179,90,15.28,-20.65,-67.2
-179,90,15.44,-17.906,-64.22
-179,90,15.6,-19.96,-66.59
-179,90,15.76,-17.188,-64.38
-179,90,15.92,-19.182,-66.36
-179,90,16.08,-20.862,-68.32
-179,90,16.24,-23.534,-71.66
-179,90,16.4,-21.67,-71.48
-179,90,16.56,-18.948,-67.88
-179,90,16.72,-20.558,-70.04
-179,90,16.88,-20.424,-70.89
-179,90,17.04,-16.226,-67.48
-179,90,17.2,-28.98,-81.41
-179,90,17.36,-29.426,-82.07
-179,90,17.52,-18.456,-70.99
-179,90,17.68,-18.382,-71.46
-179,90,17.84,-23.658,-76.57
-179,90,18,-17.74,-70.55
-178,90,2,-6.23,-28.02
-178,90,2.16,-4.678,-28.09
-178,90,2.32,-10.436,-36.09
-178,90,2.48,-16.944,-44.19
-178,90,2.64,-13.188,-41.9
-178,90,2.8,-11.54,-38.6
-178,90,2.96,-12.828,-41.14
-178,90,3.12,-20.086,-48.32
-178,90,3.28,-16.872,-46.89
-178,90,3.44,-10.442,-39.09
-178,90,3.6,-16.18,-43.63
-178,90,3.76,-13.374,-42.86
-178,90,3.92,-8.412,-35.96
-178,90,4.08,-14.372,-42.04
-178,90,4.24,-15.026,-44.05
-178,90,4.4,-15.35,-45.16
-178,90,4.56,-15.306,-45.12
-178,90,4.72,-22.774,-52.76
-178,90,4.88,-20.4,-50.53
-178,90,5.04,-10.07,-40.12
-178,90,5.2,-11.44,-42.86
-178,90,5.36,-13.42,-44.22
-178,90,5.52,-7.028,-37.31
-178,90,5.68,-24.26,-55.63
-178,90,5.84,-12.892,-44.34
-178,90,6,-20.45,-51.99
-178,90,6.16,-18.95,-50.99
-178,90,6.32,-18.158,-51.65
-178,90,6.48,-16.056,-50.14
-178,90,6.64,-21.278,-55.67
-178,90,6.8,-17.23,-50.73
-178,90,6.96,-23.642,-57.97
-178,90,7.12,-17.836,-52.43
-178,90,7.28,-19.762,-54.14
-178,90,7.44,-22.726,-57.06
-178,90,7.6,-22.87,-56.27
-178,90,7.76,-28.108,-63.33
-178,90,7.92,-36.862,-71.49
-178,90,8.08,-25.646,-60.45
-178,90,8.24,-32.222,-67.33
-178,90,8.4,-26.65,-62.03
-178,90,8.56,-18.682,-54.96
-178,90,8.72,-19.478,-56.78
-178,90,8.88,-28.918,-66.06
-178,90,9.04,-23.194,-60.98
-178,90,9.2,-24.08,-62.94
-178,90,9.36,-20.154,-58.22
-178,90,9.52,-24.172,-62.55
-178,90,9.68,-25.37,-64.26
-178,90,9.84,-20.456,-59.57
-178,90,10,-27.18,-66.25
-178,90,10.16,-21.318,-60.96
-178,90,10.32,-19.062,-58.69
-178,90,10.48,-18.898,-58.43
-178,90,10.64,-17.598,-57.61
-178,90,10.8,-25.14,-65.41
-178,90,10.96,-17.496,-57.48
-178,90,11.12,-16.266,-56.51
-178,90,11.28,-20.576,-61.02
-178,90,11.44,-24.442,-65.19
-178,90,11.6,-24.14,-65.01
-178,90,11.76,-29.794,-70.91
-178,90,11.92,-30.594,-71.72
-178,90,12.08,-27.33,-69.52
-178,90,12.24,-25.774,-68.03
-178,90,12.4,-32.41,-75.07
-178,90,12.56,-26.36,-70.43
-178,90,12.72,-27.804,-72.36
-178,90,12.88,-28.026,-73.23
-178,90,13.04,-18.088,-64.59
-178,90,13.2,-28.28,-75.06
-178,90,13.36,-23.364,-69.58
-178,90,13.52,-19.192,-65.2
-178,90,13.68,-18.97,-65.65
-178,90,13.84,-32.718,-80.2
-178,90,14,-24.05,-71.9
-178,90,14.16,-16.866,-65.09
-178,90,14.32,-23.426,-72.38
-178,90,14.48,-24.014,-75.84
-178,90,14.64,-20.314,-69.77
-178,90,14.8,-15.99,-64
-178,90,14.96,-17.992,-65.12
-178,90,15.12,-23.22,-69.65
-178,90,15.28,-22.9,-69.45
-178,90,15.44,-23.516,-69.83
-178,90,15.6,-31.47,-78.1
-178,90,15.76,-15.938,-63.13
-178,90,15.92,-23.572,-70.75
-178,90,16.08,-24.142,-71.6
-178,90,16.24,-25.574,-73.7
-178,90,16.4,-27.63,-77.44
-178,90,16.56,-23.768,-72.7
-178,90,16.72,-22.878,-72.36
-178,90,16.88,-24.444,-74.91
-178,90,17.04,-28.416,-79.67
-178,90,17.2,-20.95,-73.38
-178,90,17.36,-19.956,-72.6
-178,90,17.52,-16.846,-69.38
-178,90,17.68,-18.672,-71.75
-178,90,17.84,-19.028,-71.94
-178,90,18,-26.86,-79.67
-177,90,2,-6.79,-28.58
-177,90,2.16,-4.988,-28.4
-177,90,2.32,-10.596,-36.25
-177,90,2.48,-14.484,-41.73
-177,90,2.64,-13.338,-42.05
-177,90,2.8,-13.71,-40.77
-177,90,2.96,-12.968,-41.28
-177,90,3.12,-18.406,-46.64
-177,90,3.28,-16.382,-46.4
-177,90,3.44,-12.282,-40.93
